"Residential and non-residential floor space within localities, by region by region, type of property, observations and every fifth year",,,,,,,,,,,
,,,,,,,,,,,
region,type of property,Residential floor space in 1000 sq.m 2000,Residential floor space in 1000 sq.m 2005,Residential floor space in 1000 sq.m 2010,Residential floor space in 1000 sq.m 2015,Residential floor space in 1000 sq.m 2020,Non-residential floor space in 1000 sq.m 2000,Non-residential floor space in 1000 sq.m 2005,Non-residential floor space in 1000 sq.m 2010,Non-residential floor space in 1000 sq.m 2015,Non-residential floor space in 1000 sq.m 2020
1484 Lysekil,multi-dwelling and commercial buildings,195,208,215,223,232,86,82,89,95,91
1484 Lysekil,industrial buildings,..,..,..,3,4,146,149,145,164,152
1484 Lysekil,total,564,585,605,641,659,232,231,234,260,243
1485 Uddevalla,one- or two dwelling buildings,736,778,830,986,1060,..,..,..,..,..
1485 Uddevalla,multi-dwelling and commercial buildings,863,875,881,911,964,418,408,409,484,430
1485 Uddevalla,industrial buildings,..,..,..,1,5,505,512,523,554,584
1485 Uddevalla,total,1598,1653,1711,1899,2029,922,919,932,1038,1013
1486 Strömstad,one- or two dwelling buildings,159,166,183,240,260,..,..,..,..,..
1486 Strömstad,multi-dwelling and commercial buildings,149,153,163,176,181,86,91,110,147,131
1486 Strömstad,industrial buildings,..,..,..,..,..,82,151,164,164,159
1486 Strömstad,total,307,319,346,417,441,168,242,274,311,290
1487 Vänersborg,one- or two dwelling buildings,709,723,748,769,796,..,..,..,..,..
1487 Vänersborg,multi-dwelling and commercial buildings,546,566,568,576,610,238,248,251,288,298
1487 Vänersborg,industrial buildings,..,..,..,..,..,344,347,363,311,303
1487 Vänersborg,total,1255,1289,1316,1345,1406,581,595,614,599,602
1488 Trollhättan,one- or two dwelling buildings,1001,1030,1063,1101,1140,..,..,..,..,..
1488 Trollhättan,multi-dwelling and commercial buildings,953,965,1006,1022,1095,345,368,383,402,528
1488 Trollhättan,industrial buildings,..,..,..,..,..,976,977,975,1001,1013
1488 Trollhättan,total,1953,1995,2069,2123,2235,1321,1345,1357,1403,1541
1489 Alingsås,one- or two dwelling buildings,711,745,789,910,951,..,..,..,..,..
1489 Alingsås,multi-dwelling and commercial buildings,449,470,508,548,591,186,198,215,287,312
1489 Alingsås,industrial buildings,..,..,..,..,..,368,367,388,364,373
1489 Alingsås,total,1160,1215,1297,1458,1542,554,565,603,651,685
1490 Borås,one- or two dwelling buildings,1785,1843,1917,2023,2116,..,..,..,..,..
1490 Borås,multi-dwelling and commercial buildings,1864,1890,1936,2028,2116,781,860,953,997,1044
1490 Borås,industrial buildings,..,..,..,..,..,1533,1604,1925,1990,2219
1490 Borås,total,3649,3733,3852,4051,4232,2314,2465,2878,2987,3263
1491 Ulricehamn,one- or two dwelling buildings,483,481,494,518,538,..,..,..,..,..
1491 Ulricehamn,multi-dwelling and commercial buildings,217,219,228,244,261,96,111,125,123,129
1491 Ulricehamn,industrial buildings,..,..,..,..,..,317,331,354,351,399
1491 Ulricehamn,total,700,699,722,761,799,413,442,479,474,528
1492 Åmål,one- or two dwelling buildings,311,313,315,316,321,..,..,..,..,..
1492 Åmål,multi-dwelling and commercial buildings,179,181,178,181,179,74,80,92,104,100
1492 Åmål,industrial buildings,..,..,..,..,..,171,173,166,185,191
1492 Åmål,total,490,494,494,497,500,244,253,258,289,290
1493 Mariestad,one- or two dwelling buildings,486,496,512,523,544,..,..,..,..,..
1493 Mariestad,multi-dwelling and commercial buildings,347,354,364,370,381,184,202,203,222,208
1493 Mariestad,industrial buildings,..,..,..,..,..,530,418,420,433,455
1493 Mariestad,total,832,850,875,893,925,714,620,623,654,663
1494 Lidköping,one- or two dwelling buildings,680,718,757,792,851,..,..,..,..,..
1494 Lidköping,multi-dwelling and commercial buildings,531,541,547,564,594,178,225,246,282,293
1494 Lidköping,industrial buildings,..,..,..,..,..,621,649,610,606,657
1494 Lidköping,total,1211,1259,1304,1357,1445,798,874,856,888,950
1495 Skara,one- or two dwelling buildings,348,351,361,370,380,..,..,..,..,..
1495 Skara,multi-dwelling and commercial buildings,298,301,303,303,304,132,152,154,155,154
1495 Skara,industrial buildings,..,..,..,..,..,296,331,358,481,465
1495 Skara,total,646,653,663,673,683,429,483,511,636,618
1496 Skövde,one- or two dwelling buildings,955,975,1011,1086,1158,..,..,..,..,..
1496 Skövde,multi-dwelling and commercial buildings,876,893,923,970,1050,403,433,478,553,611
1496 Skövde,industrial buildings,..,..,..,..,..,775,834,853,859,869
1496 Skövde,total,1831,1868,1934,2056,2208,1179,1267,1331,1412,1480
1497 Hjo,one- or two dwelling buildings,212,226,231,225,231,..,..,..,..,..
1497 Hjo,multi-dwelling and commercial buildings,98,99,101,99,105,28,30,30,36,34
1497 Hjo,industrial buildings,..,..,..,..,..,107,116,121,119,127
1497 Hjo,total,310,325,332,324,335,135,146,151,155,161
1498 Tidaholm,one- or two dwelling buildings,268,263,271,284,289,..,..,..,..,..
1498 Tidaholm,multi-dwelling and commercial buildings,157,155,153,149,152,52,56,59,60,59
1498 Tidaholm,industrial buildings,..,..,..,..,..,257,260,263,246,265
1498 Tidaholm,total,425,418,424,433,442,309,316,321,305,325
1499 Falköping,one- or two dwelling buildings,609,618,631,648,660,..,..,..,..,..
1499 Falköping,multi-dwelling and commercial buildings,443,448,449,446,462,196,197,222,218,225
1499 Falköping,industrial buildings,..,..,..,..,..,521,542,555,590,603
1499 Falköping,total,1053,1066,1080,1095,1121,717,738,777,808,828
1715 Kil,one- or two dwelling buildings,281,282,286,311,320,..,..,..,..,..
1715 Kil,multi-dwelling and commercial buildings,104,103,107,106,108,34,33,38,46,45
1715 Kil,industrial buildings,..,..,..,..,..,93,100,108,114,117
1715 Kil,total,384,386,393,418,428,127,133,146,160,162
1730 Eda,one- or two dwelling buildings,157,159,162,163,169,..,..,..,..,..
1730 Eda,multi-dwelling and commercial buildings,63,62,65,66,70,39,56,69,132,150
1730 Eda,industrial buildings,..,..,..,..,..,114,116,112,109,116
1730 Eda,total,220,221,227,229,239,153,173,180,241,265
1737 Torsby,one- or two dwelling buildings,202,194,197,189,191,..,..,..,..,..
1737 Torsby,multi-dwelling and commercial buildings,102,99,99,98,102,37,39,44,51,59
1737 Torsby,industrial buildings,..,..,..,..,..,105,110,120,114,117
1737 Torsby,total,304,293,296,287,293,142,149,164,165,176
1760 Storfors,one- or two dwelling buildings,93,91,90,91,92,..,..,..,..,..
1760 Storfors,multi-dwelling and commercial buildings,35,34,33,30,30,12,13,16,16,15
1760 Storfors,industrial buildings,..,..,..,..,..,98,98,109,103,103
1760 Storfors,total,128,126,123,121,122,110,110,125,120,118
1761 Hammarö,one- or two dwelling buildings,405,420,439,497,556,..,..,..,..,..
1761 Hammarö,multi-dwelling and commercial buildings,146,149,155,154,166,32,34,39,39,46
1761 Hammarö,industrial buildings,..,..,..,..,..,306,309,303,259,265
1761 Hammarö,total,551,569,594,651,721,338,342,342,298,312
1762 Munkfors,one- or two dwelling buildings,130,131,132,122,123,..,..,..,..,..
1762 Munkfors,multi-dwelling and commercial buildings,57,42,45,45,46,20,18,22,28,28
1762 Munkfors,industrial buildings,..,..,..,..,..,106,106,109,107,116
1762 Munkfors,total,187,172,177,167,170,126,124,131,135,144
1763 Forshaga,one- or two dwelling buildings,360,365,361,363,367,..,..,..,..,..
1763 Forshaga,multi-dwelling and commercial buildings,88,87,88,90,94,30,28,29,29,30
1763 Forshaga,industrial buildings,..,..,..,..,..,66,75,77,81,78
1763 Forshaga,total,448,451,448,453,460,97,103,106,111,108
1764 Grums,one- or two dwelling buildings,213,213,216,216,218,..,..,..,..,..
1764 Grums,multi-dwelling and commercial buildings,106,104,103,101,102,25,24,24,28,30
1764 Grums,industrial buildings,..,..,..,..,..,221,234,240,237,342
1764 Grums,total,319,317,318,317,320,246,259,264,265,372
1765 Årjäng,one- or two dwelling buildings,142,132,135,137,138,..,..,..,..,..
1765 Årjäng,multi-dwelling and commercial buildings,81,82,84,84,88,55,85,54,142,135
1765 Årjäng,industrial buildings,..,..,..,..,..,132,132,132,141,143
1765 Årjäng,total,223,213,219,221,227,187,216,185,283,278
1766 Sunne,one- or two dwelling buildings,211,213,219,227,227,..,..,..,..,..
1766 Sunne,multi-dwelling and commercial buildings,88,92,94,95,98,74,74,75,60,68
1766 Sunne,industrial buildings,..,..,..,..,..,131,135,136,148,151
1766 Sunne,total,299,305,313,322,324,205,210,211,208,219
1780 Karlstad,one- or two dwelling buildings,1458,1511,1568,1652,1707,..,..,..,..,..
1780 Karlstad,multi-dwelling and commercial buildings,1730,1792,1861,1947,2088,908,952,991,1051,1146
1780 Karlstad,industrial buildings,..,..,..,..,..,1035,1045,1068,1057,1060
1780 Karlstad,total,3189,3303,3430,3598,3794,1943,1996,2058,2109,2206
1781 Kristinehamn,one- or two dwelling buildings,503,506,512,540,554,..,..,..,..,..
1781 Kristinehamn,multi-dwelling and commercial buildings,410,402,405,412,418,156,174,211,210,221
1781 Kristinehamn,industrial buildings,..,..,..,..,..,312,311,319,293,294
1781 Kristinehamn,total,913,908,917,953,973,469,485,530,503,515
1782 Filipstad,one- or two dwelling buildings,294,296,295,271,270,..,..,..,..,..
1782 Filipstad,multi-dwelling and commercial buildings,163,147,150,150,150,60,62,61,67,68
1782 Filipstad,industrial buildings,..,..,..,..,..,222,224,214,212,210
1782 Filipstad,total,457,442,446,421,421,282,286,276,280,278
1783 Hagfors,one- or two dwelling buildings,299,303,283,295,289,..,..,..,..,..
1783 Hagfors,multi-dwelling and commercial buildings,154,144,139,121,120,69,76,81,83,96
1783 Hagfors,industrial buildings,..,..,..,..,..,250,253,254,260,258
1783 Hagfors,total,452,447,422,416,409,319,329,335,343,354
1784 Arvika,one- or two dwelling buildings,429,434,432,451,453,..,..,..,..,..
1784 Arvika,multi-dwelling and commercial buildings,343,345,354,363,362,145,150,144,155,165
1784 Arvika,industrial buildings,..,..,..,..,..,334,337,335,351,389
1784 Arvika,total,772,779,786,815,814,479,487,479,506,554
1785 Säffle,one- or two dwelling buildings,333,336,340,330,333,..,..,..,..,..
1785 Säffle,multi-dwelling and commercial buildings,181,181,183,182,186,96,97,116,129,132
1785 Säffle,industrial buildings,..,..,..,..,..,288,299,292,275,280
1785 Säffle,total,515,518,523,512,519,385,396,407,404,412
1814 Lekeberg,one- or two dwelling buildings,99,102,108,146,190,..,..,..,..,..
1814 Lekeberg,multi-dwelling and commercial buildings,34,34,36,37,39,14,14,14,18,20
1814 Lekeberg,industrial buildings,..,..,..,..,..,39,37,39,43,45
1814 Lekeberg,total,133,136,144,183,229,53,51,53,61,65
1860 Laxå,one- or two dwelling buildings,159,161,162,151,153,..,..,..,..,..
1860 Laxå,multi-dwelling and commercial buildings,87,76,61,59,60,41,39,37,44,45
1860 Laxå,industrial buildings,..,..,..,..,..,229,239,225,176,183
1860 Laxå,total,247,237,223,210,214,270,277,262,220,227
1861 Hallsberg,one- or two dwelling buildings,379,382,388,404,412,..,..,..,..,..
1861 Hallsberg,multi-dwelling and commercial buildings,184,166,161,167,172,77,75,72,86,94
1861 Hallsberg,industrial buildings,..,..,..,..,..,295,300,342,350,363
1861 Hallsberg,total,564,548,549,571,584,372,374,415,436,457
1862 Degerfors,one- or two dwelling buildings,270,275,277,272,274,..,..,..,..,..
1862 Degerfors,multi-dwelling and commercial buildings,131,117,102,100,102,55,55,49,49,48
1862 Degerfors,industrial buildings,..,..,..,..,..,200,203,197,204,203
1862 Degerfors,total,401,392,379,372,376,255,258,246,253,251
1863 Hällefors,one- or two dwelling buildings,172,174,175,177,177,..,..,..,..,..
1863 Hällefors,multi-dwelling and commercial buildings,110,87,85,86,88,52,54,47,56,56
1863 Hällefors,industrial buildings,..,..,..,..,..,142,144,147,146,148
1863 Hällefors,total,281,261,260,263,265,194,198,194,202,204
1864 Ljusnarsberg,one- or two dwelling buildings,142,139,141,135,137,..,..,..,..,..
1864 Ljusnarsberg,multi-dwelling and commercial buildings,69,62,59,57,57,28,31,30,29,29
1864 Ljusnarsberg,industrial buildings,..,..,..,..,..,83,86,88,95,95
1864 Ljusnarsberg,total,211,201,200,192,194,111,116,118,124,124
1880 Örebro,one- or two dwelling buildings,1781,1876,1980,2143,2345,..,..,..,..,..
1880 Örebro,multi-dwelling and commercial buildings,2747,2792,3001,3106,3476,1231,1282,1389,1540,1666
1880 Örebro,industrial buildings,..,..,..,..,..,1264,1381,1453,1364,1765
1880 Örebro,total,4528,4668,4980,5249,5822,2495,2663,2842,2904,3431
1881 Kumla,one- or two dwelling buildings,433,445,479,522,567,..,..,..,..,..
1881 Kumla,multi-dwelling and commercial buildings,247,250,266,271,281,73,68,78,84,88
1881 Kumla,industrial buildings,..,..,..,..,..,286,300,307,299,329
1881 Kumla,total,679,695,745,793,848,360,368,385,383,417
1882 Askersund,one- or two dwelling buildings,238,234,238,255,269,..,..,..,..,..
1882 Askersund,multi-dwelling and commercial buildings,114,114,113,114,122,44,45,47,50,58
1882 Askersund,industrial buildings,..,..,..,..,..,118,125,144,140,163
1882 Askersund,total,352,348,351,369,391,162,170,190,190,222
1883 Karlskoga,one- or two dwelling buildings,714,721,730,745,756,..,..,..,..,..
1883 Karlskoga,multi-dwelling and commercial buildings,556,528,504,504,515,318,282,328,350,344
1883 Karlskoga,industrial buildings,..,..,..,..,..,628,663,641,480,496
1883 Karlskoga,total,1269,1249,1233,1249,1271,946,946,969,831,840
1884 Nora,one- or two dwelling buildings,256,265,270,278,282,..,..,..,..,..
1884 Nora,multi-dwelling and commercial buildings,105,102,104,107,112,43,47,49,63,65
1884 Nora,industrial buildings,..,..,..,..,..,114,95,94,101,102
1884 Nora,total,360,367,374,386,394,157,141,143,165,167
1885 Lindesberg,one- or two dwelling buildings,540,547,554,559,564,..,..,..,..,..
1885 Lindesberg,multi-dwelling and commercial buildings,269,257,264,268,282,126,125,138,140,157
1885 Lindesberg,industrial buildings,..,..,..,..,..,397,404,395,312,330
1885 Lindesberg,total,809,804,818,827,847,523,528,533,452,488
1904 Skinnskatteberg,one- or two dwelling buildings,104,106,106,101,101,..,..,..,..,..
1904 Skinnskatteberg,multi-dwelling and commercial buildings,43,42,41,36,37,12,12,13,12,20
1904 Skinnskatteberg,industrial buildings,..,..,..,..,..,68,68,72,75,76
1904 Skinnskatteberg,total,146,148,147,137,139,80,80,85,87,97
1907 Surahammar,one- or two dwelling buildings,307,311,315,305,304,..,..,..,..,..
1907 Surahammar,multi-dwelling and commercial buildings,130,126,120,112,113,57,59,52,40,41
1907 Surahammar,industrial buildings,..,..,..,..,..,179,178,193,138,113
1907 Surahammar,total,437,437,435,416,417,237,237,245,178,154
1960 Kungsör,one- or two dwelling buildings,209,211,214,224,233,..,..,..,..,..
1960 Kungsör,multi-dwelling and commercial buildings,82,87,85,85,87,44,50,49,44,45
1960 Kungsör,industrial buildings,..,..,..,..,..,109,112,116,118,124
1960 Kungsör,total,291,298,299,309,320,153,162,165,162,168
1961 Hallstahammar,one- or two dwelling buildings,347,354,368,372,385,..,..,..,..,..
1961 Hallstahammar,multi-dwelling and commercial buildings,240,243,217,216,222,92,93,83,88,85
1961 Hallstahammar,industrial buildings,..,..,..,..,..,207,304,314,301,302
1961 Hallstahammar,total,587,597,585,588,607,298,397,398,389,387
1962 Norberg,one- or two dwelling buildings,135,137,141,141,140,..,..,..,..,..
1962 Norberg,multi-dwelling and commercial buildings,98,97,96,98,95,31,35,32,32,27
1962 Norberg,industrial buildings,..,..,..,..,..,70,71,71,72,81
1962 Norberg,total,233,234,237,239,235,100,106,103,105,108
1980 Västerås,one- or two dwelling buildings,2400,2501,2580,2711,2863,..,..,..,..,..
1980 Västerås,multi-dwelling and commercial buildings,2673,2821,2924,3072,3297,1473,1533,1595,1778,1897
1980 Västerås,industrial buildings,..,..,..,4,4,1321,1349,1389,1444,1456
1980 Västerås,total,5073,5322,5504,5787,6164,2794,2882,2985,3222,3353
1981 Sala,one- or two dwelling buildings,403,407,422,435,448,..,..,..,..,..
1981 Sala,multi-dwelling and commercial buildings,261,272,280,279,284,139,150,158,160,158
1981 Sala,industrial buildings,..,..,..,..,..,168,171,172,149,151
1981 Sala,total,664,679,702,715,732,307,321,329,309,309
1982 Fagersta,one- or two dwelling buildings,244,246,247,259,254,..,..,..,..,..
1982 Fagersta,multi-dwelling and commercial buildings,280,279,280,272,271,109,100,105,104,110
1982 Fagersta,industrial buildings,..,..,..,..,..,252,252,267,299,293
1982 Fagersta,total,524,526,528,531,525,361,352,372,403,403
1983 Köping,one- or two dwelling buildings,430,435,445,447,452,..,..,..,..,..
1983 Köping,multi-dwelling and commercial buildings,479,468,469,469,476,197,205,207,212,209
1983 Köping,industrial buildings,..,..,..,..,..,554,558,581,520,517
1983 Köping,total,909,903,915,916,928,751,764,788,733,726
1984 Arboga,one- or two dwelling buildings,270,274,278,280,295,..,..,..,..,..
1984 Arboga,multi-dwelling and commercial buildings,259,260,260,249,257,95,99,102,112,120
1984 Arboga,industrial buildings,..,..,..,..,..,195,188,189,135,140
1984 Arboga,total,529,534,538,530,552,291,287,291,246,260
2021 Vansbro,one- or two dwelling buildings,167,173,174,237,221,..,..,..,..,..
2021 Vansbro,multi-dwelling and commercial buildings,58,58,56,56,57,32,35,35,39,35
2021 Vansbro,industrial buildings,..,..,..,..,..,107,101,107,154,157
2021 Vansbro,total,225,231,231,294,277,139,135,142,193,192
2023 Malung-Sälen,one- or two dwelling buildings,340,336,336,332,350,..,..,..,..,..
2023 Malung-Sälen,multi-dwelling and commercial buildings,87,79,78,75,78,62,73,85,86,90
2023 Malung-Sälen,industrial buildings,..,..,..,..,..,160,168,169,175,183
2023 Malung-Sälen,total,427,415,414,407,428,222,241,255,261,274
2026 Gagnef,one- or two dwelling buildings,332,338,346,372,376,..,..,..,..,..
2026 Gagnef,multi-dwelling and commercial buildings,29,32,33,34,37,26,27,29,27,28
2026 Gagnef,industrial buildings,..,..,..,..,..,124,127,127,127,129
2026 Gagnef,total,361,370,379,406,413,150,153,156,153,156
2029 Leksand,one- or two dwelling buildings,468,510,530,632,651,..,..,..,..,..
2029 Leksand,multi-dwelling and commercial buildings,127,128,131,127,133,105,131,142,137,147
2029 Leksand,industrial buildings,..,..,..,..,..,187,242,278,213,295
2029 Leksand,total,595,638,661,759,784,292,373,419,350,442
2031 Rättvik,one- or two dwelling buildings,302,312,323,409,427,..,..,..,..,..
2031 Rättvik,multi-dwelling and commercial buildings,115,112,120,116,120,67,65,69,73,75
2031 Rättvik,industrial buildings,..,..,..,..,..,91,93,99,114,124
2031 Rättvik,total,417,425,443,524,547,159,158,168,186,199
2034 Orsa,one- or two dwelling buildings,217,219,227,249,271,..,..,..,..,..
2034 Orsa,multi-dwelling and commercial buildings,77,78,77,75,73,28,29,32,39,39
2034 Orsa,industrial buildings,..,..,..,..,..,55,54,66,63,61
2034 Orsa,total,294,298,305,324,344,83,83,98,102,100
2039 Älvdalen,one- or two dwelling buildings,212,219,224,214,220,..,..,..,..,..
2039 Älvdalen,multi-dwelling and commercial buildings,46,43,45,46,45,34,36,38,52,48
2039 Älvdalen,industrial buildings,..,..,..,..,..,42,50,48,47,47
2039 Älvdalen,total,258,262,268,259,265,76,86,86,99,95
2061 Smedjebacken,one- or two dwelling buildings,270,274,276,295,302,..,..,..,..,..
2061 Smedjebacken,multi-dwelling and commercial buildings,111,86,84,81,84,52,53,51,52,54
2061 Smedjebacken,industrial buildings,..,..,..,..,..,174,177,173,180,181
2061 Smedjebacken,total,380,360,360,377,386,226,230,224,231,235
2062 Mora,one- or two dwelling buildings,610,640,665,722,748,..,..,..,..,..
2062 Mora,multi-dwelling and commercial buildings,186,185,195,198,205,145,148,165,189,201
2062 Mora,industrial buildings,..,..,..,..,..,277,283,293,293,310
2062 Mora,total,796,825,860,920,953,422,431,458,482,511
2080 Falun,one- or two dwelling buildings,1142,1176,1225,1380,1471,..,..,..,..,..
2080 Falun,multi-dwelling and commercial buildings,896,899,914,919,958,554,580,627,630,643
2080 Falun,industrial buildings,..,..,..,..,..,468,511,468,571,641
2080 Falun,total,2038,2075,2139,2300,2429,1022,1092,1095,1200,1284
2081 Borlänge,one- or two dwelling buildings,1017,1038,1076,1115,1134,..,..,..,..,..
2081 Borlänge,multi-dwelling and commercial buildings,876,860,861,878,910,553,586,621,688,696
2081 Borlänge,industrial buildings,..,..,..,..,..,861,996,1005,1004,989
2081 Borlänge,total,1893,1898,1937,1993,2044,1414,1581,1626,1692,1684
2082 Säter,one- or two dwelling buildings,218,211,222,238,252,..,..,..,..,..
2082 Säter,multi-dwelling and commercial buildings,106,100,104,101,106,43,43,46,43,41
2082 Säter,industrial buildings,..,..,..,..,..,73,71,76,73,74
2082 Säter,total,324,311,326,339,357,116,114,121,117,116
2083 Hedemora,one- or two dwelling buildings,345,350,353,341,353,..,..,..,..,..
2083 Hedemora,multi-dwelling and commercial buildings,209,200,203,193,198,121,126,122,134,125
2083 Hedemora,industrial buildings,..,..,..,..,..,198,212,223,252,253
2083 Hedemora,total,554,549,556,534,551,319,338,344,386,378
2084 Avesta,one- or two dwelling buildings,459,467,470,502,499,..,..,..,..,..
2084 Avesta,multi-dwelling and commercial buildings,364,367,371,364,368,178,191,190,189,199
2084 Avesta,industrial buildings,..,..,..,..,..,501,520,538,547,554
2084 Avesta,total,823,834,840,866,867,679,711,728,735,753
2085 Ludvika,one- or two dwelling buildings,638,649,660,666,672,..,..,..,..,..
2085 Ludvika,multi-dwelling and commercial buildings,470,448,442,442,444,221,230,246,256,265
2085 Ludvika,industrial buildings,..,..,..,..,..,368,376,379,422,452
2085 Ludvika,total,1108,1096,1102,1108,1116,589,606,625,678,717
2101 Ockelbo,one- or two dwelling buildings,154,148,153,149,141,..,..,..,..,..
2101 Ockelbo,multi-dwelling and commercial buildings,44,42,42,39,39,26,26,24,26,25
2101 Ockelbo,industrial buildings,..,..,..,..,..,59,57,53,60,48
2101 Ockelbo,total,198,190,196,188,180,85,83,78,86,73
2104 Hofors,one- or two dwelling buildings,218,220,221,223,227,..,..,..,..,..
2104 Hofors,multi-dwelling and commercial buildings,151,139,133,126,126,81,78,74,73,72
2104 Hofors,industrial buildings,..,..,..,..,..,278,284,290,291,290
2104 Hofors,total,369,359,354,349,353,359,361,364,364,362
2121 Ovanåker,one- or two dwelling buildings,233,238,240,244,245,..,..,..,..,..
2121 Ovanåker,multi-dwelling and commercial buildings,130,129,129,128,131,66,66,64,73,76
2121 Ovanåker,industrial buildings,..,..,..,..,..,277,279,285,268,300
2121 Ovanåker,total,363,366,369,372,376,343,346,349,340,375
2132 Nordanstig,one- or two dwelling buildings,168,170,173,182,186,..,..,..,..,..
2132 Nordanstig,multi-dwelling and commercial buildings,78,74,69,66,67,33,32,36,32,32
2132 Nordanstig,industrial buildings,..,..,..,..,..,72,75,69,61,78
2132 Nordanstig,total,246,244,242,249,254,106,107,105,93,110
2161 Ljusdal,one- or two dwelling buildings,322,317,332,367,372,..,..,..,..,..
2161 Ljusdal,multi-dwelling and commercial buildings,235,235,216,209,212,117,131,132,140,146
2161 Ljusdal,industrial buildings,..,..,..,..,..,175,141,139,135,131
2161 Ljusdal,total,557,552,548,576,585,292,272,271,276,278
2180 Gävle,one- or two dwelling buildings,1935,2040,2092,2250,2315,..,..,..,..,..
2180 Gävle,multi-dwelling and commercial buildings,1715,1707,1733,1783,1872,983,1037,1065,1176,1220
2180 Gävle,industrial buildings,..,..,..,2,2,1044,1261,1311,1237,1395
2180 Gävle,total,3650,3747,3825,4035,4189,2027,2298,2376,2413,2615
2181 Sandviken,one- or two dwelling buildings,838,854,867,892,910,..,..,..,..,..
2181 Sandviken,multi-dwelling and commercial buildings,612,581,584,579,588,282,297,309,335,341
2181 Sandviken,industrial buildings,..,..,..,..,..,734,742,775,717,772
2181 Sandviken,total,1451,1436,1451,1471,1498,1015,1040,1084,1052,1112
2182 Söderhamn,one- or two dwelling buildings,591,590,600,603,614,..,..,..,..,..
2182 Söderhamn,multi-dwelling and commercial buildings,456,407,382,361,361,219,216,200,187,178
2182 Söderhamn,industrial buildings,..,..,..,..,..,391,381,380,340,351
2182 Söderhamn,total,1047,997,982,964,975,610,597,580,528,529
2183 Bollnäs,one- or two dwelling buildings,507,494,505,526,528,..,..,..,..,..
2183 Bollnäs,multi-dwelling and commercial buildings,360,353,357,372,366,212,228,226,223,236
2183 Bollnäs,industrial buildings,..,..,..,..,..,218,205,212,225,224
2183 Bollnäs,total,867,847,862,898,894,429,433,438,448,460
2184 Hudiksvall,one- or two dwelling buildings,636,632,655,718,736,..,..,..,..,..
2184 Hudiksvall,multi-dwelling and commercial buildings,532,532,537,533,547,260,289,300,297,311
2184 Hudiksvall,industrial buildings,..,..,..,..,..,544,515,540,626,573
2184 Hudiksvall,total,1168,1164,1192,1251,1284,804,805,840,923,884
2260 Ånge,one- or two dwelling buildings,213,210,210,211,211,..,..,..,..,..
2260 Ånge,multi-dwelling and commercial buildings,124,121,119,109,108,62,71,80,65,65
2260 Ånge,industrial buildings,..,..,..,..,..,151,146,137,127,126
2260 Ånge,total,337,331,330,321,319,214,217,217,191,191
2262 Timrå,one- or two dwelling buildings,384,386,389,414,421,..,..,..,..,..
2262 Timrå,multi-dwelling and commercial buildings,248,244,243,246,250,72,73,70,72,73
2262 Timrå,industrial buildings,..,..,..,..,..,273,299,304,267,296
2262 Timrå,total,632,630,631,659,671,345,371,374,339,368
2280 Härnösand,one- or two dwelling buildings,505,511,511,504,509,..,..,..,..,..
2280 Härnösand,multi-dwelling and commercial buildings,473,443,448,437,452,282,264,258,306,308
2280 Härnösand,industrial buildings,..,..,..,..,..,238,248,234,201,193
2280 Härnösand,total,978,954,959,941,961,520,512,492,507,501
2281 Sundsvall,one- or two dwelling buildings,1593,1624,1666,1915,1972,..,..,..,..,..
2281 Sundsvall,multi-dwelling and commercial buildings,1845,1875,1894,1913,1974,1020,1038,1180,1215,1302
2281 Sundsvall,industrial buildings,..,..,..,..,..,1291,1303,1274,1117,1090
2281 Sundsvall,total,3438,3498,3561,3827,3946,2312,2342,2454,2332,2392
2282 Kramfors,one- or two dwelling buildings,498,484,481,501,503,..,..,..,..,..
2282 Kramfors,multi-dwelling and commercial buildings,203,187,179,185,189,113,114,126,130,136
2282 Kramfors,industrial buildings,..,..,..,..,..,285,292,289,300,293
2282 Kramfors,total,701,671,660,686,692,398,406,415,430,429
2283 Sollefteå,one- or two dwelling buildings,399,395,400,397,402,..,..,..,..,..
2283 Sollefteå,multi-dwelling and commercial buildings,264,247,248,246,251,157,155,158,162,170
2283 Sollefteå,industrial buildings,..,..,..,..,..,170,177,175,147,147
2283 Sollefteå,total,664,642,648,644,653,327,332,332,309,316
2284 Örnsköldsvik,one- or two dwelling buildings,1297,1292,1306,1344,1381,..,..,..,..,..
2284 Örnsköldsvik,multi-dwelling and commercial buildings,652,647,653,668,698,345,371,392,427,432
2284 Örnsköldsvik,industrial buildings,..,..,..,3,3,1676,1719,1052,1009,1095
2284 Örnsköldsvik,total,1950,1939,1959,2015,2082,2022,2090,1444,1436,1527
2303 Ragunda,one- or two dwelling buildings,97,96,95,95,95,..,..,..,..,..
2303 Ragunda,multi-dwelling and commercial buildings,38,34,34,36,37,23,29,31,38,37
2303 Ragunda,industrial buildings,..,..,..,..,..,65,59,63,72,72
2303 Ragunda,total,136,130,129,130,132,88,89,94,110,109
2305 Bräcke,one- or two dwelling buildings,117,115,115,116,116,..,..,..,..,..
2305 Bräcke,multi-dwelling and commercial buildings,61,56,50,48,47,28,27,25,30,24
2305 Bräcke,industrial buildings,..,..,..,..,..,57,94,98,94,88
2305 Bräcke,total,178,171,166,164,164,86,121,123,124,112
2309 Krokom,one- or two dwelling buildings,231,227,245,304,327,..,..,..,..,..
2309 Krokom,multi-dwelling and commercial buildings,92,87,85,80,78,39,39,39,46,43
