"Residential and non-residential floor space within localities, by region by region, type of property, observations and every fifth year",,,,,,,,,,,
,,,,,,,,,,,
region,type of property,Residential floor space in 1000 sq.m 2000,Residential floor space in 1000 sq.m 2005,Residential floor space in 1000 sq.m 2010,Residential floor space in 1000 sq.m 2015,Residential floor space in 1000 sq.m 2020,Non-residential floor space in 1000 sq.m 2000,Non-residential floor space in 1000 sq.m 2005,Non-residential floor space in 1000 sq.m 2010,Non-residential floor space in 1000 sq.m 2015,Non-residential floor space in 1000 sq.m 2020
0562 Finspång,multi-dwelling and commercial buildings,350,332,337,329,331,152,172,168,182,185
0562 Finspång,industrial buildings,..,..,..,..,..,333,336,355,326,357
0562 Finspång,total,799,788,802,807,817,485,509,523,508,542
0563 Valdemarsvik,one- or two dwelling buildings,151,151,153,196,200,..,..,..,..,..
0563 Valdemarsvik,multi-dwelling and commercial buildings,92,94,94,96,94,38,39,40,45,43
0563 Valdemarsvik,industrial buildings,..,..,..,..,..,103,104,102,71,72
0563 Valdemarsvik,total,242,245,247,292,294,142,142,142,116,116
0580 Linköping,one- or two dwelling buildings,2047,2160,2317,2464,2614,..,..,..,..,..
0580 Linköping,multi-dwelling and commercial buildings,2982,3098,3217,3338,3639,1416,1499,1576,1702,1868
0580 Linköping,industrial buildings,..,..,..,..,1,1284,1322,1384,1414,1415
0580 Linköping,total,5029,5258,5534,5802,6253,2700,2821,2960,3116,3283
0581 Norrköping,one- or two dwelling buildings,1939,2015,2162,2270,2399,..,..,..,..,..
0581 Norrköping,multi-dwelling and commercial buildings,2742,2734,2773,2863,3032,1124,1198,1257,1376,1480
0581 Norrköping,industrial buildings,..,..,..,..,7,1699,1737,1859,1871,1864
0581 Norrköping,total,4681,4749,4935,5133,5438,2823,2935,3115,3247,3344
0582 Söderköping,one- or two dwelling buildings,215,223,233,260,268,..,..,..,..,..
0582 Söderköping,multi-dwelling and commercial buildings,146,151,152,156,161,53,61,65,69,67
0582 Söderköping,industrial buildings,..,..,..,2,3,70,79,78,81,89
0582 Söderköping,total,362,374,385,419,432,123,140,144,150,157
0583 Motala,one- or two dwelling buildings,870,889,916,973,986,..,..,..,..,..
0583 Motala,multi-dwelling and commercial buildings,647,660,663,660,668,252,269,281,311,329
0583 Motala,industrial buildings,..,..,..,..,..,582,588,611,616,619
0583 Motala,total,1516,1549,1579,1633,1654,833,856,892,927,948
0584 Vadstena,one- or two dwelling buildings,150,156,151,156,163,..,..,..,..,..
0584 Vadstena,multi-dwelling and commercial buildings,120,127,127,126,126,46,49,52,50,53
0584 Vadstena,industrial buildings,..,..,..,..,..,78,82,87,90,96
0584 Vadstena,total,270,283,278,282,289,124,131,138,141,149
0586 Mjölby,one- or two dwelling buildings,499,524,548,569,602,..,..,..,..,..
0586 Mjölby,multi-dwelling and commercial buildings,387,409,410,414,418,124,171,165,200,170
0586 Mjölby,industrial buildings,..,..,..,..,..,547,511,542,545,585
0586 Mjölby,total,887,933,957,983,1020,672,682,707,745,755
0604 Aneby,one- or two dwelling buildings,147,148,149,153,155,..,..,..,..,..
0604 Aneby,multi-dwelling and commercial buildings,50,53,53,48,51,23,25,28,26,30
0604 Aneby,industrial buildings,..,..,..,..,..,139,142,133,162,156
0604 Aneby,total,197,201,202,201,205,163,166,161,189,186
0617 Gnosjö,one- or two dwelling buildings,253,255,247,243,245,..,..,..,..,..
0617 Gnosjö,multi-dwelling and commercial buildings,71,81,78,73,75,33,35,41,32,27
0617 Gnosjö,industrial buildings,..,..,..,..,..,485,541,562,589,649
0617 Gnosjö,total,323,336,325,316,320,518,577,602,620,676
0642 Mullsjö,one- or two dwelling buildings,227,233,239,242,248,..,..,..,..,..
0642 Mullsjö,multi-dwelling and commercial buildings,55,57,56,58,66,32,32,31,34,34
0642 Mullsjö,industrial buildings,..,..,..,..,..,109,114,118,162,163
0642 Mullsjö,total,283,290,295,300,313,142,146,149,196,196
0643 Habo,one- or two dwelling buildings,223,237,269,324,361,..,..,..,..,..
0643 Habo,multi-dwelling and commercial buildings,59,62,61,67,76,17,18,19,21,20
0643 Habo,industrial buildings,..,..,..,..,..,148,156,160,182,174
0643 Habo,total,282,298,330,391,436,164,174,180,202,193
0662 Gislaved,one- or two dwelling buildings,756,767,775,793,801,..,..,..,..,..
0662 Gislaved,multi-dwelling and commercial buildings,284,291,293,292,299,119,135,138,147,146
0662 Gislaved,industrial buildings,..,..,..,..,..,1250,1343,1381,1452,1511
0662 Gislaved,total,1041,1058,1069,1085,1100,1369,1478,1519,1599,1657
0665 Vaggeryd,one- or two dwelling buildings,314,321,333,358,375,..,..,..,..,..
0665 Vaggeryd,multi-dwelling and commercial buildings,108,111,113,115,125,42,41,42,42,40
0665 Vaggeryd,industrial buildings,..,..,..,..,..,383,433,451,527,540
0665 Vaggeryd,total,421,431,446,473,500,426,475,493,569,580
0680 Jönköping,one- or two dwelling buildings,2370,2479,2587,2728,2858,..,..,..,..,..
0680 Jönköping,multi-dwelling and commercial buildings,2164,2287,2403,2492,2700,1111,1239,1318,1414,1497
0680 Jönköping,industrial buildings,..,..,1,2,2,1405,1418,1494,1490,2576
0680 Jönköping,total,4534,4766,4991,5222,5560,2516,2657,2812,2903,4073
0682 Nässjö,one- or two dwelling buildings,701,711,724,745,774,..,..,..,..,..
0682 Nässjö,multi-dwelling and commercial buildings,412,417,418,424,440,150,166,187,181,202
0682 Nässjö,industrial buildings,..,..,..,..,..,722,740,770,859,894
0682 Nässjö,total,1113,1128,1141,1168,1214,873,905,957,1041,1097
0683 Värnamo,one- or two dwelling buildings,701,716,734,767,778,..,..,..,..,..
0683 Värnamo,multi-dwelling and commercial buildings,391,415,431,440,465,220,232,245,250,261
0683 Värnamo,industrial buildings,..,..,..,..,..,727,831,887,995,1005
0683 Värnamo,total,1093,1131,1166,1207,1243,947,1063,1132,1246,1266
0684 Sävsjö,one- or two dwelling buildings,283,287,289,296,302,..,..,..,..,..
0684 Sävsjö,multi-dwelling and commercial buildings,108,112,111,113,121,55,56,61,59,55
0684 Sävsjö,industrial buildings,..,..,..,..,..,337,327,332,335,354
0684 Sävsjö,total,391,399,401,410,423,392,383,393,395,409
0685 Vetlanda,one- or two dwelling buildings,660,670,677,707,716,..,..,..,..,..
0685 Vetlanda,multi-dwelling and commercial buildings,299,295,292,299,308,141,145,161,173,181
0685 Vetlanda,industrial buildings,..,..,..,..,..,701,753,810,802,841
0685 Vetlanda,total,959,965,969,1006,1024,842,899,971,976,1022
0686 Eksjö,one- or two dwelling buildings,407,415,425,436,459,..,..,..,..,..
0686 Eksjö,multi-dwelling and commercial buildings,241,242,245,251,264,122,122,128,129,142
0686 Eksjö,industrial buildings,..,..,..,..,..,260,280,268,269,265
0686 Eksjö,total,648,657,670,687,724,382,402,395,397,407
0687 Tranås,one- or two dwelling buildings,364,371,379,400,432,..,..,..,..,..
0687 Tranås,multi-dwelling and commercial buildings,343,340,345,343,354,137,151,162,168,171
0687 Tranås,industrial buildings,..,..,..,..,..,388,403,404,411,408
0687 Tranås,total,706,711,724,743,786,525,555,566,578,579
0760 Uppvidinge,one- or two dwelling buildings,290,278,281,286,292,..,..,..,..,..
0760 Uppvidinge,multi-dwelling and commercial buildings,78,75,74,71,75,38,40,41,43,42
0760 Uppvidinge,industrial buildings,..,..,..,..,..,289,314,328,365,384
0760 Uppvidinge,total,368,353,356,357,367,327,355,368,407,427
0761 Lessebo,one- or two dwelling buildings,294,296,297,302,307,..,..,..,..,..
0761 Lessebo,multi-dwelling and commercial buildings,73,70,71,67,68,40,37,81,65,62
0761 Lessebo,industrial buildings,..,..,..,..,..,128,159,190,162,162
0761 Lessebo,total,366,366,368,369,375,167,196,271,228,224
0763 Tingsryd,one- or two dwelling buildings,315,320,325,322,326,..,..,..,..,..
0763 Tingsryd,multi-dwelling and commercial buildings,104,103,108,97,99,67,69,72,68,69
0763 Tingsryd,industrial buildings,..,..,..,..,..,267,270,310,311,316
0763 Tingsryd,total,419,423,433,420,425,334,339,382,379,386
0764 Alvesta,one- or two dwelling buildings,446,450,458,465,478,..,..,..,..,..
0764 Alvesta,multi-dwelling and commercial buildings,151,154,156,148,159,88,90,89,81,80
0764 Alvesta,industrial buildings,..,..,..,..,..,383,403,397,410,425
0764 Alvesta,total,597,604,614,614,638,471,492,486,491,505
0765 Älmhult,one- or two dwelling buildings,352,360,381,378,417,..,..,..,..,..
0765 Älmhult,multi-dwelling and commercial buildings,138,143,147,153,183,143,152,162,183,210
0765 Älmhult,industrial buildings,..,..,..,..,..,609,621,659,662,675
0765 Älmhult,total,490,503,528,531,600,752,774,821,845,886
0767 Markaryd,one- or two dwelling buildings,285,286,294,296,310,..,..,..,..,..
0767 Markaryd,multi-dwelling and commercial buildings,97,101,103,99,102,49,57,68,69,67
0767 Markaryd,industrial buildings,..,..,..,..,..,356,376,415,359,431
0767 Markaryd,total,382,387,398,395,412,404,433,483,429,498
0780 Växjö,one- or two dwelling buildings,1601,1680,1799,1894,1984,..,..,..,..,..
0780 Växjö,multi-dwelling and commercial buildings,1240,1347,1442,1505,1703,765,856,907,904,975
0780 Växjö,industrial buildings,..,..,..,2,2,900,972,1015,965,1088
0780 Växjö,total,2841,3027,3240,3401,3689,1665,1828,1921,1869,2063
0781 Ljungby,one- or two dwelling buildings,569,585,605,603,631,..,..,..,..,..
0781 Ljungby,multi-dwelling and commercial buildings,293,301,310,325,330,155,159,172,190,196
0781 Ljungby,industrial buildings,..,..,..,..,..,559,613,675,685,716
0781 Ljungby,total,862,887,915,927,962,714,772,847,875,912
0821 Högsby,one- or two dwelling buildings,191,192,192,192,175,..,..,..,..,..
0821 Högsby,multi-dwelling and commercial buildings,32,33,33,33,32,22,29,32,34,34
0821 Högsby,industrial buildings,..,..,..,..,..,129,98,98,97,96
0821 Högsby,total,224,225,226,225,206,151,128,130,131,131
0834 Torsås,one- or two dwelling buildings,154,165,162,176,188,..,..,..,..,..
0834 Torsås,multi-dwelling and commercial buildings,39,38,40,42,42,29,30,30,24,24
0834 Torsås,industrial buildings,..,..,..,..,..,91,99,100,113,114
0834 Torsås,total,193,202,201,217,230,120,129,130,137,138
0840 Mörbylånga,one- or two dwelling buildings,405,399,428,581,642,..,..,..,..,..
0840 Mörbylånga,multi-dwelling and commercial buildings,57,58,64,68,75,51,54,55,70,73
0840 Mörbylånga,industrial buildings,..,..,..,1,1,81,76,79,90,110
