"region","type of property","variable","value","year"
"0483 Katrineholm","industrial buildings","residential",NA,2020
"0483 Katrineholm","total","residential","1237",2020
"0484 Eskilstuna","one- or two dwelling buildings","residential","1834",2020
"0484 Eskilstuna","multi-dwelling and commercial buildings","residential","2149",2020
"0484 Eskilstuna","industrial buildings","residential",NA,2020
"0484 Eskilstuna","total","residential","3982",2020
"0486 Strängnäs","one- or two dwelling buildings","residential","797",2020
"0486 Strängnäs","multi-dwelling and commercial buildings","residential","576",2020
"0486 Strängnäs","industrial buildings","residential",NA,2020
"0486 Strängnäs","total","residential","1373",2020
"0488 Trosa","one- or two dwelling buildings","residential","471",2020
"0488 Trosa","multi-dwelling and commercial buildings","residential","166",2020
"0488 Trosa","industrial buildings","residential",NA,2020
"0488 Trosa","total","residential","636",2020
"0509 Ödeshög","one- or two dwelling buildings","residential","113",2020
"0509 Ödeshög","multi-dwelling and commercial buildings","residential","41",2020
"0509 Ödeshög","industrial buildings","residential",NA,2020
"0509 Ödeshög","total","residential","153",2020
"0512 Ydre","one- or two dwelling buildings","residential","75",2020
"0512 Ydre","multi-dwelling and commercial buildings","residential","12",2020
"0512 Ydre","industrial buildings","residential",NA,2020
"0512 Ydre","total","residential","86",2020
"0513 Kinda","one- or two dwelling buildings","residential","247",2020
"0513 Kinda","multi-dwelling and commercial buildings","residential","81",2020
"0513 Kinda","industrial buildings","residential",NA,2020
"0513 Kinda","total","residential","329",2020
"0560 Boxholm","one- or two dwelling buildings","residential","117",2020
"0560 Boxholm","multi-dwelling and commercial buildings","residential","57",2020
"0560 Boxholm","industrial buildings","residential",NA,2020
"0560 Boxholm","total","residential","174",2020
"0561 Åtvidaberg","one- or two dwelling buildings","residential","325",2020
"0561 Åtvidaberg","multi-dwelling and commercial buildings","residential","131",2020
"0561 Åtvidaberg","industrial buildings","residential",NA,2020
"0561 Åtvidaberg","total","residential","455",2020
"0562 Finspång","one- or two dwelling buildings","residential","486",2020
"0562 Finspång","multi-dwelling and commercial buildings","residential","331",2020
"0562 Finspång","industrial buildings","residential",NA,2020
"0562 Finspång","total","residential","817",2020
"0563 Valdemarsvik","one- or two dwelling buildings","residential","200",2020
"0563 Valdemarsvik","multi-dwelling and commercial buildings","residential","94",2020
"0563 Valdemarsvik","industrial buildings","residential",NA,2020
"0563 Valdemarsvik","total","residential","294",2020
"0580 Linköping","one- or two dwelling buildings","residential","2614",2020
"0580 Linköping","multi-dwelling and commercial buildings","residential","3639",2020
"0580 Linköping","industrial buildings","residential","1",2020
"0580 Linköping","total","residential","6253",2020
"0581 Norrköping","one- or two dwelling buildings","residential","2399",2020
"0581 Norrköping","multi-dwelling and commercial buildings","residential","3032",2020
"0581 Norrköping","industrial buildings","residential","7",2020
"0581 Norrköping","total","residential","5438",2020
"0582 Söderköping","one- or two dwelling buildings","residential","268",2020
"0582 Söderköping","multi-dwelling and commercial buildings","residential","161",2020
"0582 Söderköping","industrial buildings","residential","3",2020
"0582 Söderköping","total","residential","432",2020
"0583 Motala","one- or two dwelling buildings","residential","986",2020
"0583 Motala","multi-dwelling and commercial buildings","residential","668",2020
"0583 Motala","industrial buildings","residential",NA,2020
"0583 Motala","total","residential","1654",2020
"0584 Vadstena","one- or two dwelling buildings","residential","163",2020
"0584 Vadstena","multi-dwelling and commercial buildings","residential","126",2020
"0584 Vadstena","industrial buildings","residential",NA,2020
"0584 Vadstena","total","residential","289",2020
"0586 Mjölby","one- or two dwelling buildings","residential","602",2020
"0586 Mjölby","multi-dwelling and commercial buildings","residential","418",2020
"0586 Mjölby","industrial buildings","residential",NA,2020
"0586 Mjölby","total","residential","1020",2020
"0604 Aneby","one- or two dwelling buildings","residential","155",2020
"0604 Aneby","multi-dwelling and commercial buildings","residential","51",2020
"0604 Aneby","industrial buildings","residential",NA,2020
"0604 Aneby","total","residential","205",2020
"0617 Gnosjö","one- or two dwelling buildings","residential","245",2020
"0617 Gnosjö","multi-dwelling and commercial buildings","residential","75",2020
"0617 Gnosjö","industrial buildings","residential",NA,2020
"0617 Gnosjö","total","residential","320",2020
"0642 Mullsjö","one- or two dwelling buildings","residential","248",2020
"0642 Mullsjö","multi-dwelling and commercial buildings","residential","66",2020
"0642 Mullsjö","industrial buildings","residential",NA,2020
"0642 Mullsjö","total","residential","313",2020
"0643 Habo","one- or two dwelling buildings","residential","361",2020
"0643 Habo","multi-dwelling and commercial buildings","residential","76",2020
"0643 Habo","industrial buildings","residential",NA,2020
"0643 Habo","total","residential","436",2020
"0662 Gislaved","one- or two dwelling buildings","residential","801",2020
"0662 Gislaved","multi-dwelling and commercial buildings","residential","299",2020
"0662 Gislaved","industrial buildings","residential",NA,2020
"0662 Gislaved","total","residential","1100",2020
"0665 Vaggeryd","one- or two dwelling buildings","residential","375",2020
"0665 Vaggeryd","multi-dwelling and commercial buildings","residential","125",2020
"0665 Vaggeryd","industrial buildings","residential",NA,2020
"0665 Vaggeryd","total","residential","500",2020
"0680 Jönköping","one- or two dwelling buildings","residential","2858",2020
"0680 Jönköping","multi-dwelling and commercial buildings","residential","2700",2020
"0680 Jönköping","industrial buildings","residential","2",2020
"0680 Jönköping","total","residential","5560",2020
"0682 Nässjö","one- or two dwelling buildings","residential","774",2020
"0682 Nässjö","multi-dwelling and commercial buildings","residential","440",2020
"0682 Nässjö","industrial buildings","residential",NA,2020
"0682 Nässjö","total","residential","1214",2020
"0683 Värnamo","one- or two dwelling buildings","residential","778",2020
"0683 Värnamo","multi-dwelling and commercial buildings","residential","465",2020
"0683 Värnamo","industrial buildings","residential",NA,2020
"0683 Värnamo","total","residential","1243",2020
"0684 Sävsjö","one- or two dwelling buildings","residential","302",2020
"0684 Sävsjö","multi-dwelling and commercial buildings","residential","121",2020
"0684 Sävsjö","industrial buildings","residential",NA,2020
"0684 Sävsjö","total","residential","423",2020
"0685 Vetlanda","one- or two dwelling buildings","residential","716",2020
"0685 Vetlanda","multi-dwelling and commercial buildings","residential","308",2020
"0685 Vetlanda","industrial buildings","residential",NA,2020
"0685 Vetlanda","total","residential","1024",2020
"0686 Eksjö","one- or two dwelling buildings","residential","459",2020
"0686 Eksjö","multi-dwelling and commercial buildings","residential","264",2020
"0686 Eksjö","industrial buildings","residential",NA,2020
"0686 Eksjö","total","residential","724",2020
"0687 Tranås","one- or two dwelling buildings","residential","432",2020
"0687 Tranås","multi-dwelling and commercial buildings","residential","354",2020
"0687 Tranås","industrial buildings","residential",NA,2020
"0687 Tranås","total","residential","786",2020
"0760 Uppvidinge","one- or two dwelling buildings","residential","292",2020
"0760 Uppvidinge","multi-dwelling and commercial buildings","residential","75",2020
"0760 Uppvidinge","industrial buildings","residential",NA,2020
"0760 Uppvidinge","total","residential","367",2020
"0761 Lessebo","one- or two dwelling buildings","residential","307",2020
"0761 Lessebo","multi-dwelling and commercial buildings","residential","68",2020
"0761 Lessebo","industrial buildings","residential",NA,2020
"0761 Lessebo","total","residential","375",2020
"0763 Tingsryd","one- or two dwelling buildings","residential","326",2020
"0763 Tingsryd","multi-dwelling and commercial buildings","residential","99",2020
"0763 Tingsryd","industrial buildings","residential",NA,2020
"0763 Tingsryd","total","residential","425",2020
"0764 Alvesta","one- or two dwelling buildings","residential","478",2020
"0764 Alvesta","multi-dwelling and commercial buildings","residential","159",2020
"0764 Alvesta","industrial buildings","residential",NA,2020
"0764 Alvesta","total","residential","638",2020
"0765 Älmhult","one- or two dwelling buildings","residential","417",2020
"0765 Älmhult","multi-dwelling and commercial buildings","residential","183",2020
"0765 Älmhult","industrial buildings","residential",NA,2020
"0765 Älmhult","total","residential","600",2020
"0767 Markaryd","one- or two dwelling buildings","residential","310",2020
"0767 Markaryd","multi-dwelling and commercial buildings","residential","102",2020
"0767 Markaryd","industrial buildings","residential",NA,2020
"0767 Markaryd","total","residential","412",2020
"0780 Växjö","one- or two dwelling buildings","residential","1984",2020
"0780 Växjö","multi-dwelling and commercial buildings","residential","1703",2020
"0780 Växjö","industrial buildings","residential","2",2020
"0780 Växjö","total","residential","3689",2020
"0781 Ljungby","one- or two dwelling buildings","residential","631",2020
"0781 Ljungby","multi-dwelling and commercial buildings","residential","330",2020
"0781 Ljungby","industrial buildings","residential",NA,2020
"0781 Ljungby","total","residential","962",2020
"0821 Högsby","one- or two dwelling buildings","residential","175",2020
"0821 Högsby","multi-dwelling and commercial buildings","residential","32",2020
"0821 Högsby","industrial buildings","residential",NA,2020
"0821 Högsby","total","residential","206",2020
"0834 Torsås","one- or two dwelling buildings","residential","188",2020
"0834 Torsås","multi-dwelling and commercial buildings","residential","42",2020
"0834 Torsås","industrial buildings","residential",NA,2020
"0834 Torsås","total","residential","230",2020
"0840 Mörbylånga","one- or two dwelling buildings","residential","642",2020
"0840 Mörbylånga","multi-dwelling and commercial buildings","residential","75",2020
"0840 Mörbylånga","industrial buildings","residential","1",2020
"0840 Mörbylånga","total","residential","717",2020
"0860 Hultsfred","one- or two dwelling buildings","residential","490",2020
"0860 Hultsfred","multi-dwelling and commercial buildings","residential","150",2020
"0860 Hultsfred","industrial buildings","residential",NA,2020
"0860 Hultsfred","total","residential","640",2020
"0861 Mönsterås","one- or two dwelling buildings","residential","428",2020
"0861 Mönsterås","multi-dwelling and commercial buildings","residential","108",2020
"0861 Mönsterås","industrial buildings","residential",NA,2020
"0861 Mönsterås","total","residential","536",2020
"0862 Emmaboda","one- or two dwelling buildings","residential","259",2020
"0862 Emmaboda","multi-dwelling and commercial buildings","residential","85",2020
"0862 Emmaboda","industrial buildings","residential",NA,2020
"0862 Emmaboda","total","residential","344",2020
"0880 Kalmar","one- or two dwelling buildings","residential","1471",2020
"0880 Kalmar","multi-dwelling and commercial buildings","residential","1361",2020
"0880 Kalmar","industrial buildings","residential",NA,2020
"0880 Kalmar","total","residential","2831",2020
"0881 Nybro","one- or two dwelling buildings","residential","502",2020
"0881 Nybro","multi-dwelling and commercial buildings","residential","271",2020
"0881 Nybro","industrial buildings","residential",NA,2020
"0881 Nybro","total","residential","773",2020
"0882 Oskarshamn","one- or two dwelling buildings","residential","696",2020
"0882 Oskarshamn","multi-dwelling and commercial buildings","residential","432",2020
"0882 Oskarshamn","industrial buildings","residential",NA,2020
"0882 Oskarshamn","total","residential","1129",2020
"0883 Västervik","one- or two dwelling buildings","residential","880",2020
"0883 Västervik","multi-dwelling and commercial buildings","residential","602",2020
"0883 Västervik","industrial buildings","residential",NA,2020
"0883 Västervik","total","residential","1482",2020
"0884 Vimmerby","one- or two dwelling buildings","residential","377",2020
"0884 Vimmerby","multi-dwelling and commercial buildings","residential","178",2020
"0884 Vimmerby","industrial buildings","residential",NA,2020
"0884 Vimmerby","total","residential","555",2020
"0885 Borgholm","one- or two dwelling buildings","residential","399",2020
"0885 Borgholm","multi-dwelling and commercial buildings","residential","99",2020
"0885 Borgholm","industrial buildings","residential",NA,2020
"0885 Borgholm","total","residential","498",2020
"0980 Gotland","one- or two dwelling buildings","residential","1156",2020
"0980 Gotland","multi-dwelling and commercial buildings","residential","773",2020
"0980 Gotland","industrial buildings","residential",NA,2020
"0980 Gotland","total","residential","1929",2020
"1060 Olofström","one- or two dwelling buildings","residential","360",2020
"1060 Olofström","multi-dwelling and commercial buildings","residential","159",2020
"1060 Olofström","industrial buildings","residential",NA,2020
"1060 Olofström","total","residential","519",2020
"1080 Karlskrona","one- or two dwelling buildings","residential","1609",2020
"1080 Karlskrona","multi-dwelling and commercial buildings","residential","1022",2020
"1080 Karlskrona","industrial buildings","residential",NA,2020
"1080 Karlskrona","total","residential","2631",2020
"1081 Ronneby","one- or two dwelling buildings","residential","830",2020
"1081 Ronneby","multi-dwelling and commercial buildings","residential","313",2020
"1081 Ronneby","industrial buildings","residential",NA,2020
"1081 Ronneby","total","residential","1143",2020
"1082 Karlshamn","one- or two dwelling buildings","residential","858",2020
"1082 Karlshamn","multi-dwelling and commercial buildings","residential","462",2020
"1082 Karlshamn","industrial buildings","residential",NA,2020
"1082 Karlshamn","total","residential","1319",2020
"1083 Sölvesborg","one- or two dwelling buildings","residential","671",2020
"1083 Sölvesborg","multi-dwelling and commercial buildings","residential","168",2020
"1083 Sölvesborg","industrial buildings","residential",NA,2020
"1083 Sölvesborg","total","residential","839",2020
"1214 Svalöv","one- or two dwelling buildings","residential","357",2020
"1214 Svalöv","multi-dwelling and commercial buildings","residential","83",2020
"1214 Svalöv","industrial buildings","residential",NA,2020
"1214 Svalöv","total","residential","440",2020
"1230 Staffanstorp","one- or two dwelling buildings","residential","845",2020
"1230 Staffanstorp","multi-dwelling and commercial buildings","residential","223",2020
"1230 Staffanstorp","industrial buildings","residential","2",2020
"1230 Staffanstorp","total","residential","1069",2020
"1231 Burlöv","one- or two dwelling buildings","residential","426",2020
"1231 Burlöv","multi-dwelling and commercial buildings","residential","319",2020
"1231 Burlöv","industrial buildings","residential",NA,2020
"1231 Burlöv","total","residential","745",2020
"1233 Vellinge","one- or two dwelling buildings","residential","1847",2020
"1233 Vellinge","multi-dwelling and commercial buildings","residential","216",2020
"1233 Vellinge","industrial buildings","residential",NA,2020
"1233 Vellinge","total","residential","2063",2020
"1256 Östra Göinge","one- or two dwelling buildings","residential","425",2020
"1256 Östra Göinge","multi-dwelling and commercial buildings","residential","128",2020
"1256 Östra Göinge","industrial buildings","residential",NA,2020
"1256 Östra Göinge","total","residential","553",2020
"1257 Örkelljunga","one- or two dwelling buildings","residential","292",2020
"1257 Örkelljunga","multi-dwelling and commercial buildings","residential","93",2020
"1257 Örkelljunga","industrial buildings","residential",NA,2020
"1257 Örkelljunga","total","residential","386",2020
"1260 Bjuv","one- or two dwelling buildings","residential","516",2020
"1260 Bjuv","multi-dwelling and commercial buildings","residential","120",2020
"1260 Bjuv","industrial buildings","residential",NA,2020
"1260 Bjuv","total","residential","636",2020
"1261 Kävlinge","one- or two dwelling buildings","residential","1122",2020
"1261 Kävlinge","multi-dwelling and commercial buildings","residential","247",2020
"1261 Kävlinge","industrial buildings","residential",NA,2020
"1261 Kävlinge","total","residential","1370",2020
"1262 Lomma","one- or two dwelling buildings","residential","870",2020
"1262 Lomma","multi-dwelling and commercial buildings","residential","273",2020
"1262 Lomma","industrial buildings","residential",NA,2020
"1262 Lomma","total","residential","1143",2020
"1263 Svedala","one- or two dwelling buildings","residential","682",2020
"1263 Svedala","multi-dwelling and commercial buildings","residential","173",2020
"1263 Svedala","industrial buildings","residential",NA,2020
"1263 Svedala","total","residential","855",2020
"1264 Skurup","one- or two dwelling buildings","residential","492",2020
"1264 Skurup","multi-dwelling and commercial buildings","residential","98",2020
"1264 Skurup","industrial buildings","residential",NA,2020
"1264 Skurup","total","residential","590",2020
"1265 Sjöbo","one- or two dwelling buildings","residential","553",2020
"1265 Sjöbo","multi-dwelling and commercial buildings","residential","97",2020
"1265 Sjöbo","industrial buildings","residential",NA,2020
"1265 Sjöbo","total","residential","651",2020
"1266 Hörby","one- or two dwelling buildings","residential","343",2020
"1266 Hörby","multi-dwelling and commercial buildings","residential","115",2020
"1266 Hörby","industrial buildings","residential",NA,2020
"1266 Hörby","total","residential","458",2020
"1267 Höör","one- or two dwelling buildings","residential","564",2020
"1267 Höör","multi-dwelling and commercial buildings","residential","106",2020
"1267 Höör","industrial buildings","residential",NA,2020
"1267 Höör","total","residential","670",2020
"1270 Tomelilla","one- or two dwelling buildings","residential","375",2020
"1270 Tomelilla","multi-dwelling and commercial buildings","residential","103",2020
"1270 Tomelilla","industrial buildings","residential",NA,2020
"1270 Tomelilla","total","residential","478",2020
"1272 Bromölla","one- or two dwelling buildings","residential","424",2020
"1272 Bromölla","multi-dwelling and commercial buildings","residential","106",2020
"1272 Bromölla","industrial buildings","residential",NA,2020
"1272 Bromölla","total","residential","530",2020
"1273 Osby","one- or two dwelling buildings","residential","388",2020
"1273 Osby","multi-dwelling and commercial buildings","residential","125",2020
"1273 Osby","industrial buildings","residential",NA,2020
"1273 Osby","total","residential","512",2020
"1275 Perstorp","one- or two dwelling buildings","residential","162",2020
"1275 Perstorp","multi-dwelling and commercial buildings","residential","106",2020
"1275 Perstorp","industrial buildings","residential",NA,2020
"1275 Perstorp","total","residential","268",2020
"1276 Klippan","one- or two dwelling buildings","residential","421",2020
"1276 Klippan","multi-dwelling and commercial buildings","residential","272",2020
"1276 Klippan","industrial buildings","residential",NA,2020
"1276 Klippan","total","residential","693",2020
"1277 Åstorp","one- or two dwelling buildings","residential","475",2020
"1277 Åstorp","multi-dwelling and commercial buildings","residential","153",2020
"1277 Åstorp","industrial buildings","residential",NA,2020
"1277 Åstorp","total","residential","629",2020
"1278 Båstad","one- or two dwelling buildings","residential","905",2020
"1278 Båstad","multi-dwelling and commercial buildings","residential","138",2020
"1278 Båstad","industrial buildings","residential","1",2020
"1278 Båstad","total","residential","1043",2020
"1280 Malmö","one- or two dwelling buildings","residential","3698",2020
"1280 Malmö","multi-dwelling and commercial buildings","residential","9606",2020
"1280 Malmö","industrial buildings","residential","4",2020
"1280 Malmö","total","residential","13307",2020
"1281 Lund","one- or two dwelling buildings","residential","2265",2020
"1281 Lund","multi-dwelling and commercial buildings","residential","2746",2020
"1281 Lund","industrial buildings","residential",NA,2020
"1281 Lund","total","residential","5011",2020
"1282 Landskrona","one- or two dwelling buildings","residential","916",2020
"1282 Landskrona","multi-dwelling and commercial buildings","residential","940",2020
"1282 Landskrona","industrial buildings","residential",NA,2020
"1282 Landskrona","total","residential","1857",2020
"1283 Helsingborg","one- or two dwelling buildings","residential","2752",2020
"1283 Helsingborg","multi-dwelling and commercial buildings","residential","3284",2020
"1283 Helsingborg","industrial buildings","residential","1",2020
"1283 Helsingborg","total","residential","6037",2020
"1284 Höganäs","one- or two dwelling buildings","residential","1171",2020
"1284 Höganäs","multi-dwelling and commercial buildings","residential","244",2020
"1284 Höganäs","industrial buildings","residential","3",2020
"1284 Höganäs","total","residential","1419",2020
"1285 Eslöv","one- or two dwelling buildings","residential","767",2020
"1285 Eslöv","multi-dwelling and commercial buildings","residential","416",2020
"1285 Eslöv","industrial buildings","residential",NA,2020
"1285 Eslöv","total","residential","1183",2020
"1286 Ystad","one- or two dwelling buildings","residential","832",2020
"1286 Ystad","multi-dwelling and commercial buildings","residential","505",2020
"1286 Ystad","industrial buildings","residential","1",2020
"1286 Ystad","total","residential","1337",2020
"1287 Trelleborg","one- or two dwelling buildings","residential","1242",2020
"1287 Trelleborg","multi-dwelling and commercial buildings","residential","608",2020
"1287 Trelleborg","industrial buildings","residential",NA,2020
"1287 Trelleborg","total","residential","1850",2020
"1290 Kristianstad","one- or two dwelling buildings","residential","2367",2020
"1290 Kristianstad","multi-dwelling and commercial buildings","residential","1162",2020
"1290 Kristianstad","industrial buildings","residential","8",2020
"1290 Kristianstad","total","residential","3536",2020
"1291 Simrishamn","one- or two dwelling buildings","residential","766",2020
"1291 Simrishamn","multi-dwelling and commercial buildings","residential","207",2020
"1291 Simrishamn","industrial buildings","residential",NA,2020
"1291 Simrishamn","total","residential","973",2020
"1292 Ängelholm","one- or two dwelling buildings","residential","1270",2020
"1292 Ängelholm","multi-dwelling and commercial buildings","residential","564",2020
"1292 Ängelholm","industrial buildings","residential",NA,2020
"1292 Ängelholm","total","residential","1835",2020
"1293 Hässleholm","one- or two dwelling buildings","residential","1407",2020
"1293 Hässleholm","multi-dwelling and commercial buildings","residential","601",2020
"1293 Hässleholm","industrial buildings","residential","1",2020
"1293 Hässleholm","total","residential","2008",2020
"1315 Hylte","one- or two dwelling buildings","residential","262",2020
"1315 Hylte","multi-dwelling and commercial buildings","residential","80",2020
"1315 Hylte","industrial buildings","residential",NA,2020
"1315 Hylte","total","residential","342",2020
"1380 Halmstad","one- or two dwelling buildings","residential","2802",2020
"1380 Halmstad","multi-dwelling and commercial buildings","residential","1742",2020
"1380 Halmstad","industrial buildings","residential","1",2020
"1380 Halmstad","total","residential","4544",2020
"1381 Laholm","one- or two dwelling buildings","residential","1010",2020
"1381 Laholm","multi-dwelling and commercial buildings","residential","140",2020
"1381 Laholm","industrial buildings","residential",NA,2020
"1381 Laholm","total","residential","1150",2020
"1382 Falkenberg","one- or two dwelling buildings","residential","1401",2020
"1382 Falkenberg","multi-dwelling and commercial buildings","residential","534",2020
"1382 Falkenberg","industrial buildings","residential","3",2020
"1382 Falkenberg","total","residential","1938",2020
"1383 Varberg","one- or two dwelling buildings","residential","1710",2020
"1383 Varberg","multi-dwelling and commercial buildings","residential","928",2020
"1383 Varberg","industrial buildings","residential","3",2020
"1383 Varberg","total","residential","2641",2020
"1384 Kungsbacka","one- or two dwelling buildings","residential","2986",2020
"1384 Kungsbacka","multi-dwelling and commercial buildings","residential","647",2020
"1384 Kungsbacka","industrial buildings","residential",NA,2020
"1384 Kungsbacka","total","residential","3633",2020
"1401 Härryda","one- or two dwelling buildings","residential","1214",2020
"1401 Härryda","multi-dwelling and commercial buildings","residential","289",2020
"1401 Härryda","industrial buildings","residential",NA,2020
"1401 Härryda","total","residential","1502",2020
"1402 Partille","one- or two dwelling buildings","residential","954",2020
"1402 Partille","multi-dwelling and commercial buildings","residential","621",2020
"1402 Partille","industrial buildings","residential",NA,2020
"1402 Partille","total","residential","1575",2020
"1407 Öckerö","one- or two dwelling buildings","residential","609",2020
"1407 Öckerö","multi-dwelling and commercial buildings","residential","39",2020
"1407 Öckerö","industrial buildings","residential","5",2020
"1407 Öckerö","total","residential","654",2020
"1415 Stenungsund","one- or two dwelling buildings","residential","742",2020
"1415 Stenungsund","multi-dwelling and commercial buildings","residential","282",2020
"1415 Stenungsund","industrial buildings","residential",NA,2020
"1415 Stenungsund","total","residential","1024",2020
"1419 Tjörn","one- or two dwelling buildings","residential","652",2020
"1419 Tjörn","multi-dwelling and commercial buildings","residential","84",2020
"1419 Tjörn","industrial buildings","residential",NA,2020
"1419 Tjörn","total","residential","736",2020
"1421 Orust","one- or two dwelling buildings","residential","390",2020
"1421 Orust","multi-dwelling and commercial buildings","residential","67",2020
"1421 Orust","industrial buildings","residential",NA,2020
"1421 Orust","total","residential","457",2020
"1427 Sotenäs","one- or two dwelling buildings","residential","561",2020
"1427 Sotenäs","multi-dwelling and commercial buildings","residential","89",2020
"1427 Sotenäs","industrial buildings","residential","6",2020
"1427 Sotenäs","total","residential","657",2020
"1430 Munkedal","one- or two dwelling buildings","residential","233",2020
"1430 Munkedal","multi-dwelling and commercial buildings","residential","74",2020
"1430 Munkedal","industrial buildings","residential",NA,2020
"1430 Munkedal","total","residential","307",2020
"1435 Tanum","one- or two dwelling buildings","residential","344",2020
"1435 Tanum","multi-dwelling and commercial buildings","residential","78",2020
"1435 Tanum","industrial buildings","residential","4",2020
"1435 Tanum","total","residential","426",2020
"1438 Dals-Ed","one- or two dwelling buildings","residential","100",2020
"1438 Dals-Ed","multi-dwelling and commercial buildings","residential","48",2020
"1438 Dals-Ed","industrial buildings","residential","3",2020
"1438 Dals-Ed","total","residential","151",2020
"1439 Färgelanda","one- or two dwelling buildings","residential","143",2020
"1439 Färgelanda","multi-dwelling and commercial buildings","residential","34",2020
"1439 Färgelanda","industrial buildings","residential",NA,2020
"1439 Färgelanda","total","residential","177",2020
"1440 Ale","one- or two dwelling buildings","residential","754",2020
"1440 Ale","multi-dwelling and commercial buildings","residential","328",2020
"1440 Ale","industrial buildings","residential",NA,2020
"1440 Ale","total","residential","1083",2020
"1441 Lerum","one- or two dwelling buildings","residential","1491",2020
"1441 Lerum","multi-dwelling and commercial buildings","residential","264",2020
"1441 Lerum","industrial buildings","residential",NA,2020
"1441 Lerum","total","residential","1755",2020
"1442 Vårgårda","one- or two dwelling buildings","residential","194",2020
"1442 Vårgårda","multi-dwelling and commercial buildings","residential","88",2020
"1442 Vårgårda","industrial buildings","residential",NA,2020
"1442 Vårgårda","total","residential","283",2020
"1443 Bollebygd","one- or two dwelling buildings","residential","203",2020
"1443 Bollebygd","multi-dwelling and commercial buildings","residential","80",2020
"1443 Bollebygd","industrial buildings","residential",NA,2020
"1443 Bollebygd","total","residential","283",2020
"1444 Grästorp","one- or two dwelling buildings","residential","116",2020
"1444 Grästorp","multi-dwelling and commercial buildings","residential","39",2020
"1444 Grästorp","industrial buildings","residential",NA,2020
"1444 Grästorp","total","residential","155",2020
"1445 Essunga","one- or two dwelling buildings","residential","99",2020
"1445 Essunga","multi-dwelling and commercial buildings","residential","28",2020
"1445 Essunga","industrial buildings","residential",NA,2020
"1445 Essunga","total","residential","126",2020
"1446 Karlsborg","one- or two dwelling buildings","residential","208",2020
"1446 Karlsborg","multi-dwelling and commercial buildings","residential","98",2020
"1446 Karlsborg","industrial buildings","residential",NA,2020
"1446 Karlsborg","total","residential","306",2020
"1447 Gullspång","one- or two dwelling buildings","residential","149",2020
"1447 Gullspång","multi-dwelling and commercial buildings","residential","44",2020
"1447 Gullspång","industrial buildings","residential",NA,2020
"1447 Gullspång","total","residential","192",2020
"1452 Tranemo","one- or two dwelling buildings","residential","336",2020
"1452 Tranemo","multi-dwelling and commercial buildings","residential","81",2020
"1452 Tranemo","industrial buildings","residential",NA,2020
"1452 Tranemo","total","residential","417",2020
"1460 Bengtsfors","one- or two dwelling buildings","residential","259",2020
"1460 Bengtsfors","multi-dwelling and commercial buildings","residential","106",2020
"1460 Bengtsfors","industrial buildings","residential",NA,2020
"1460 Bengtsfors","total","residential","365",2020
"1461 Mellerud","one- or two dwelling buildings","residential","200",2020
"1461 Mellerud","multi-dwelling and commercial buildings","residential","73",2020
"1461 Mellerud","industrial buildings","residential",NA,2020
"1461 Mellerud","total","residential","273",2020
"1462 Lilla Edet","one- or two dwelling buildings","residential","310",2020
"1462 Lilla Edet","multi-dwelling and commercial buildings","residential","117",2020
"1462 Lilla Edet","industrial buildings","residential",NA,2020
"1462 Lilla Edet","total","residential","426",2020
"1463 Mark","one- or two dwelling buildings","residential","761",2020
"1463 Mark","multi-dwelling and commercial buildings","residential","308",2020
"1463 Mark","industrial buildings","residential",NA,2020
"1463 Mark","total","residential","1070",2020
"1465 Svenljunga","one- or two dwelling buildings","residential","277",2020
"1465 Svenljunga","multi-dwelling and commercial buildings","residential","56",2020
"1465 Svenljunga","industrial buildings","residential",NA,2020
"1465 Svenljunga","total","residential","333",2020
"1466 Herrljunga","one- or two dwelling buildings","residential","175",2020
"1466 Herrljunga","multi-dwelling and commercial buildings","residential","77",2020
"1466 Herrljunga","industrial buildings","residential",NA,2020
"1466 Herrljunga","total","residential","252",2020
"1470 Vara","one- or two dwelling buildings","residential","343",2020
"1470 Vara","multi-dwelling and commercial buildings","residential","130",2020
"1470 Vara","industrial buildings","residential",NA,2020
"1470 Vara","total","residential","473",2020
"1471 Götene","one- or two dwelling buildings","residential","320",2020
"1471 Götene","multi-dwelling and commercial buildings","residential","93",2020
"1471 Götene","industrial buildings","residential",NA,2020
"1471 Götene","total","residential","413",2020
"1472 Tibro","one- or two dwelling buildings","residential","330",2020
"1472 Tibro","multi-dwelling and commercial buildings","residential","141",2020
"1472 Tibro","industrial buildings","residential",NA,2020
"1472 Tibro","total","residential","471",2020
"1473 Töreboda","one- or two dwelling buildings","residential","174",2020
"1473 Töreboda","multi-dwelling and commercial buildings","residential","101",2020
"1473 Töreboda","industrial buildings","residential",NA,2020
"1473 Töreboda","total","residential","276",2020
"1480 Göteborg","one- or two dwelling buildings","residential","7245",2020
"1480 Göteborg","multi-dwelling and commercial buildings","residential","14796",2020
"1480 Göteborg","industrial buildings","residential","1",2020
"1480 Göteborg","total","residential","22042",2020
"1481 Mölndal","one- or two dwelling buildings","residential","1559",2020
"1481 Mölndal","multi-dwelling and commercial buildings","residential","1160",2020
"1481 Mölndal","industrial buildings","residential",NA,2020
"1481 Mölndal","total","residential","2720",2020
"1482 Kungälv","one- or two dwelling buildings","residential","1071",2020
"1482 Kungälv","multi-dwelling and commercial buildings","residential","575",2020
"1482 Kungälv","industrial buildings","residential",NA,2020
