"region","type of property","variable","value","year"
"0488 Trosa","one- or two dwelling buildings","residential","271",2000
"0488 Trosa","multi-dwelling and commercial buildings","residential","91",2000
"0488 Trosa","industrial buildings","residential",NA,2000
"0488 Trosa","total","residential","362",2000
"0509 Ödeshög","one- or two dwelling buildings","residential","108",2000
"0509 Ödeshög","multi-dwelling and commercial buildings","residential","36",2000
"0509 Ödeshög","industrial buildings","residential",NA,2000
"0509 Ödeshög","total","residential","144",2000
"0512 Ydre","one- or two dwelling buildings","residential","72",2000
"0512 Ydre","multi-dwelling and commercial buildings","residential","13",2000
"0512 Ydre","industrial buildings","residential",NA,2000
"0512 Ydre","total","residential","85",2000
"0513 Kinda","one- or two dwelling buildings","residential","216",2000
"0513 Kinda","multi-dwelling and commercial buildings","residential","84",2000
"0513 Kinda","industrial buildings","residential",NA,2000
"0513 Kinda","total","residential","300",2000
"0560 Boxholm","one- or two dwelling buildings","residential","111",2000
"0560 Boxholm","multi-dwelling and commercial buildings","residential","111",2000
"0560 Boxholm","industrial buildings","residential",NA,2000
"0560 Boxholm","total","residential","221",2000
"0561 Åtvidaberg","one- or two dwelling buildings","residential","294",2000
"0561 Åtvidaberg","multi-dwelling and commercial buildings","residential","139",2000
"0561 Åtvidaberg","industrial buildings","residential",NA,2000
"0561 Åtvidaberg","total","residential","434",2000
"0562 Finspång","one- or two dwelling buildings","residential","449",2000
"0562 Finspång","multi-dwelling and commercial buildings","residential","350",2000
"0562 Finspång","industrial buildings","residential",NA,2000
"0562 Finspång","total","residential","799",2000
"0563 Valdemarsvik","one- or two dwelling buildings","residential","151",2000
"0563 Valdemarsvik","multi-dwelling and commercial buildings","residential","92",2000
"0563 Valdemarsvik","industrial buildings","residential",NA,2000
"0563 Valdemarsvik","total","residential","242",2000
"0580 Linköping","one- or two dwelling buildings","residential","2047",2000
"0580 Linköping","multi-dwelling and commercial buildings","residential","2982",2000
"0580 Linköping","industrial buildings","residential",NA,2000
"0580 Linköping","total","residential","5029",2000
"0581 Norrköping","one- or two dwelling buildings","residential","1939",2000
"0581 Norrköping","multi-dwelling and commercial buildings","residential","2742",2000
"0581 Norrköping","industrial buildings","residential",NA,2000
"0581 Norrköping","total","residential","4681",2000
"0582 Söderköping","one- or two dwelling buildings","residential","215",2000
"0582 Söderköping","multi-dwelling and commercial buildings","residential","146",2000
"0582 Söderköping","industrial buildings","residential",NA,2000
"0582 Söderköping","total","residential","362",2000
"0583 Motala","one- or two dwelling buildings","residential","870",2000
"0583 Motala","multi-dwelling and commercial buildings","residential","647",2000
"0583 Motala","industrial buildings","residential",NA,2000
"0583 Motala","total","residential","1516",2000
"0584 Vadstena","one- or two dwelling buildings","residential","150",2000
"0584 Vadstena","multi-dwelling and commercial buildings","residential","120",2000
"0584 Vadstena","industrial buildings","residential",NA,2000
"0584 Vadstena","total","residential","270",2000
"0586 Mjölby","one- or two dwelling buildings","residential","499",2000
"0586 Mjölby","multi-dwelling and commercial buildings","residential","387",2000
"0586 Mjölby","industrial buildings","residential",NA,2000
"0586 Mjölby","total","residential","887",2000
"0604 Aneby","one- or two dwelling buildings","residential","147",2000
"0604 Aneby","multi-dwelling and commercial buildings","residential","50",2000
"0604 Aneby","industrial buildings","residential",NA,2000
"0604 Aneby","total","residential","197",2000
"0617 Gnosjö","one- or two dwelling buildings","residential","253",2000
"0617 Gnosjö","multi-dwelling and commercial buildings","residential","71",2000
"0617 Gnosjö","industrial buildings","residential",NA,2000
"0617 Gnosjö","total","residential","323",2000
"0642 Mullsjö","one- or two dwelling buildings","residential","227",2000
"0642 Mullsjö","multi-dwelling and commercial buildings","residential","55",2000
"0642 Mullsjö","industrial buildings","residential",NA,2000
"0642 Mullsjö","total","residential","283",2000
"0643 Habo","one- or two dwelling buildings","residential","223",2000
"0643 Habo","multi-dwelling and commercial buildings","residential","59",2000
"0643 Habo","industrial buildings","residential",NA,2000
"0643 Habo","total","residential","282",2000
"0662 Gislaved","one- or two dwelling buildings","residential","756",2000
"0662 Gislaved","multi-dwelling and commercial buildings","residential","284",2000
"0662 Gislaved","industrial buildings","residential",NA,2000
"0662 Gislaved","total","residential","1041",2000
"0665 Vaggeryd","one- or two dwelling buildings","residential","314",2000
"0665 Vaggeryd","multi-dwelling and commercial buildings","residential","108",2000
"0665 Vaggeryd","industrial buildings","residential",NA,2000
"0665 Vaggeryd","total","residential","421",2000
"0680 Jönköping","one- or two dwelling buildings","residential","2370",2000
"0680 Jönköping","multi-dwelling and commercial buildings","residential","2164",2000
"0680 Jönköping","industrial buildings","residential",NA,2000
"0680 Jönköping","total","residential","4534",2000
"0682 Nässjö","one- or two dwelling buildings","residential","701",2000
"0682 Nässjö","multi-dwelling and commercial buildings","residential","412",2000
"0682 Nässjö","industrial buildings","residential",NA,2000
"0682 Nässjö","total","residential","1113",2000
"0683 Värnamo","one- or two dwelling buildings","residential","701",2000
"0683 Värnamo","multi-dwelling and commercial buildings","residential","391",2000
"0683 Värnamo","industrial buildings","residential",NA,2000
"0683 Värnamo","total","residential","1093",2000
"0684 Sävsjö","one- or two dwelling buildings","residential","283",2000
"0684 Sävsjö","multi-dwelling and commercial buildings","residential","108",2000
"0684 Sävsjö","industrial buildings","residential",NA,2000
"0684 Sävsjö","total","residential","391",2000
"0685 Vetlanda","one- or two dwelling buildings","residential","660",2000
"0685 Vetlanda","multi-dwelling and commercial buildings","residential","299",2000
"0685 Vetlanda","industrial buildings","residential",NA,2000
"0685 Vetlanda","total","residential","959",2000
"0686 Eksjö","one- or two dwelling buildings","residential","407",2000
"0686 Eksjö","multi-dwelling and commercial buildings","residential","241",2000
"0686 Eksjö","industrial buildings","residential",NA,2000
"0686 Eksjö","total","residential","648",2000
"0687 Tranås","one- or two dwelling buildings","residential","364",2000
"0687 Tranås","multi-dwelling and commercial buildings","residential","343",2000
"0687 Tranås","industrial buildings","residential",NA,2000
"0687 Tranås","total","residential","706",2000
"0760 Uppvidinge","one- or two dwelling buildings","residential","290",2000
"0760 Uppvidinge","multi-dwelling and commercial buildings","residential","78",2000
"0760 Uppvidinge","industrial buildings","residential",NA,2000
"0760 Uppvidinge","total","residential","368",2000
"0761 Lessebo","one- or two dwelling buildings","residential","294",2000
"0761 Lessebo","multi-dwelling and commercial buildings","residential","73",2000
"0761 Lessebo","industrial buildings","residential",NA,2000
"0761 Lessebo","total","residential","366",2000
"0763 Tingsryd","one- or two dwelling buildings","residential","315",2000
"0763 Tingsryd","multi-dwelling and commercial buildings","residential","104",2000
"0763 Tingsryd","industrial buildings","residential",NA,2000
"0763 Tingsryd","total","residential","419",2000
"0764 Alvesta","one- or two dwelling buildings","residential","446",2000
"0764 Alvesta","multi-dwelling and commercial buildings","residential","151",2000
"0764 Alvesta","industrial buildings","residential",NA,2000
"0764 Alvesta","total","residential","597",2000
"0765 Älmhult","one- or two dwelling buildings","residential","352",2000
"0765 Älmhult","multi-dwelling and commercial buildings","residential","138",2000
"0765 Älmhult","industrial buildings","residential",NA,2000
"0765 Älmhult","total","residential","490",2000
"0767 Markaryd","one- or two dwelling buildings","residential","285",2000
"0767 Markaryd","multi-dwelling and commercial buildings","residential","97",2000
"0767 Markaryd","industrial buildings","residential",NA,2000
"0767 Markaryd","total","residential","382",2000
"0780 Växjö","one- or two dwelling buildings","residential","1601",2000
