"nuts","year","type","nuts2021","nuts2016","variable","value"
214,2015,"house","EE004","EE004","price_m2",560.935947789462
214,2016,"house","EE004","EE004","price_m2",644.975087981746
214,2017,"house","EE004","EE004","price_m2",789.7654138552
214,2018,"house","EE004","EE004","price_m2",849.504079775016
214,2019,"house","EE004","EE004","price_m2",1042.8953541934
214,2020,"house","EE004","EE004","price_m2",1013.53228111417
214,2021,"house","EE004","EE004","price_m2",958.856214001121
214,2022,"house","EE004","EE004","price_m2",1378.03939520119
214,2023,"house","EE004","EE004","price_m2",1540.04255701764
214,2024,"house","EE004","EE004","price_m2",1563.33051152875
214,2025,"house","EE004","EE004","price_m2",1341.58868379249
245,2007,"house","EE001","EE001","price_m2",1035.25781095089
245,2008,"house","EE001","EE001","price_m2",984.031965556674
245,2009,"house","EE001","EE001","price_m2",778.302360666992
245,2010,"house","EE001","EE001","price_m2",721.292952083104
245,2011,"house","EE001","EE001","price_m2",974.117285802955
245,2012,"house","EE001","EE001","price_m2",841.095332440549
245,2013,"house","EE001","EE001","price_m2",881.580274768238
245,2014,"house","EE001","EE001","price_m2",925.370110347166
245,2015,"house","EE001","EE001","price_m2",947.678139793036
245,2016,"house","EE001","EE001","price_m2",1088.13610297073
245,2017,"house","EE001","EE001","price_m2",1116.22769560627
245,2018,"house","EE001","EE001","price_m2",1218.67938639471
245,2019,"house","EE001","EE001","price_m2",1176.5419974414
245,2020,"house","EE001","EE001","price_m2",1088.13610297073
245,2021,"house","EE001","EE001","price_m2",1693.75779126044
245,2022,"house","EE001","EE001","price_m2",2082.08274828112
245,2023,"house","EE001","EE001","price_m2",2042.42402926625
245,2024,"house","EE001","EE001","price_m2",2001.93908693856
245,2025,"house","EE001","EE001","price_m2",2071.34184521459
247,2007,"house","EE008","EE008","price_m2",476.41535078344
247,2008,"house","EE008","EE008","price_m2",495.392062869153
247,2009,"house","EE008","EE008","price_m2",456.439864377425
247,2010,"house","EE008","EE008","price_m2",424.479086127803
247,2011,"house","EE008","EE008","price_m2",479.411673744342
247,2012,"house","EE008","EE008","price_m2",413.492568604495
247,2013,"house","EE008","EE008","price_m2",384.528113315774
247,2014,"house","EE008","EE008","price_m2",325.600428418032
247,2015,"house","EE008","EE008","price_m2",329.595525699235
247,2016,"house","EE008","EE008","price_m2",307.622490652619
247,2017,"house","EE008","EE008","price_m2",218.731576145856
247,2018,"house","EE008","EE008","price_m2",226.721770708262
247,2019,"house","EE008","EE008","price_m2",402.506051081187
247,2020,"house","EE008","EE008","price_m2",422.481537487201
247,2021,"house","EE008","EE008","price_m2",354.564883706753
247,2022,"house","EE008","EE008","price_m2",303.627393371416
247,2023,"house","EE008","EE008","price_m2",447.450895494719
247,2024,"house","EE008","EE008","price_m2",593.271946258623
247,2025,"house","EE008","EE008","price_m2",635.220467711253
251,2007,"house","EE00A","EE007","price_m2",616.296549581049
251,2008,"house","EE00A","EE007","price_m2",601.761253600364
251,2009,"house","EE00A","EE007","price_m2",517.45653691239
251,2010,"house","EE00A","EE007","price_m2",481.6028068267
251,2011,"house","EE00A","EE007","price_m2",445.74907674101
251,2012,"house","EE00A","EE007","price_m2",423.46162290396
251,2013,"house","EE00A","EE007","price_m2",440.903978080782
251,2014,"house","EE00A","EE007","price_m2",418.616524243731
251,2015,"house","EE00A","EE007","price_m2",400.205149334863
251,2016,"house","EE00A","EE007","price_m2",483.540846290791
251,2017,"house","EE00A","EE007","price_m2",488.38594495102
251,2018,"house","EE00A","EE007","price_m2",533.929872357166
251,2019,"house","EE00A","EE007","price_m2",532.960852625121
251,2020,"house","EE00A","EE007","price_m2",525.208694768755
251,2021,"house","EE00A","EE007","price_m2",469.005550310106
251,2022,"house","EE00A","EE007","price_m2",558.155365658308
251,2023,"house","EE00A","EE007","price_m2",755.835390995626
251,2024,"house","EE00A","EE007","price_m2",939.949140084304
251,2025,"house","EE00A","EE007","price_m2",853.706383932239
255,2007,"house","EE009","EE006","price_m2",535.372314475933
255,2008,"house","EE009","EE006","price_m2",411.142274652788
255,2009,"house","EE009","EE006","price_m2",393.395126106625
255,2010,"house","EE009","EE006","price_m2",474.243247261369
255,2011,"house","EE009","EE006","price_m2",407.198463864752
255,2012,"house","EE009","EE006","price_m2",195.218634007799
255,2013,"house","EE009","EE006","price_m2",171.555769279581
255,2014,"house","EE009","EE006","price_m2",140.991235672299
255,2015,"house","EE009","EE006","price_m2",143.949093763326
255,2016,"house","EE009","EE006","price_m2",178.457438158644
255,2017,"house","EE009","EE006","price_m2",186.345059734717
255,2018,"house","EE009","EE006","price_m2",215.923640644989
255,2019,"house","EE009","EE006","price_m2",128.173850611181
255,2020,"house","EE009","EE006","price_m2",90.7076481248357
255,2021,"house","EE009","EE006","price_m2",90.7076481248357
255,2022,"house","EE009","EE006","price_m2",90.7076481248357
255,2023,"house","EE009","EE006","price_m2",317.476768436925
255,2024,"house","EE009","EE006","price_m2",422.973707016897
255,2025,"house","EE009","EE006","price_m2",424.945612410915
272,2007,"house","EE009","EE006","price_m2",421.649647156497
272,2008,"house","EE009","EE006","price_m2",627.478621834786
272,2009,"house","EE009","EE006","price_m2",521.566625155666
272,2010,"house","EE009","EE006","price_m2",353.706102117061
272,2011,"house","EE009","EE006","price_m2",319.734329597343
272,2012,"house","EE009","EE006","price_m2",387.677874636779
272,2013,"house","EE009","EE006","price_m2",405.662930676629
272,2014,"house","EE009","EE006","price_m2",476.60398505604
272,2015,"house","EE009","EE006","price_m2",382.68202573682
272,2016,"house","EE009","EE006","price_m2",395.671232876712
272,2017,"house","EE009","EE006","price_m2",416.653798256538
272,2018,"house","EE009","EE006","price_m2",503.581569115816
272,2019,"house","EE009","EE006","price_m2",347.711083437111
272,2020,"house","EE009","EE006","price_m2",349.709422997094
272,2021,"house","EE009","EE006","price_m2",349.709422997094
272,2022,"house","EE009","EE006","price_m2",349.709422997094
272,2023,"house","EE009","EE006","price_m2",916.238688252387
272,2024,"house","EE009","EE006","price_m2",826.313408053134
272,2025,"house","EE009","EE006","price_m2",816.321710253217
283,2007,"house","EE008","EE008","price_m2",833.801660253067
283,2008,"house","EE008","EE008","price_m2",744.559509837733
283,2009,"house","EE008","EE008","price_m2",620.320437690896
283,2010,"house","EE008","EE008","price_m2",579.19905465638
