"year","NUTS 3 CODE 2021","vald_clean","vald","type","LAU CODE","NUTS 3 CODE 2016","number","median_price_final","average_price_final"
2018,"EE001","kiili vald","Kiili vald","house",304,"EE001",24,1305.67,1305.59
2018,"EE001","kose vald","Kose vald","house",338,"EE001",23,684.93,770.58
2018,"EE001","kuusalu vald","Kuusalu vald","house",353,"EE001",17,779.15,751.62
2018,"EE001","laaneharju vald","Lääne-Harju vald","house",431,"EE001",41,635.84,823.1
2018,"EE001","loksa linn","Loksa linn","house",424,"EE001",7,587.08,581.44
2018,"EE001","maardu linn","Maardu linn","house",446,"EE001",19,1274.74,1251.93
2018,"EE001","raasiku vald","Raasiku vald","house",651,"EE001",16,740.39,773.3
2018,"EE001","rae vald","Rae vald","house",653,"EE001",61,1353.86,1292.7
2018,"EE001","saku vald","Saku vald","house",718,"EE001",42,1169.33,1066.62
2018,"EE001","saue vald","Saue vald","house",726,"EE001",74,929.47,963.01
2018,"EE001","tallinn","Tallinn","house",784,"EE001",250,1455.36,1693.23
2018,"EE001","viimsi vald","Viimsi vald","house",890,"EE001",56,1298.82,1357.32
2018,"EE004","haademeeste vald","Häädemeeste vald","house",214,"EE004",21,529.1,613.93
2018,"EE004","haapsalu linn","Haapsalu linn","house",184,"EE004",35,527.78,598.57
2018,"EE004","hiiumaa vald","Hiiumaa vald","house",205,"EE004",24,453.41,488.24
2018,"EE004","kihnu vald","Kihnu vald","house",303,"EE004",3,453.41,499.971818181818
2018,"EE004","laanenigula vald","Lääne-Nigula vald","house",441,"EE004",20,247.37,326.09
2018,"EE004","laaneranna vald","Lääneranna vald","house",430,"EE004",15,186.22,331.83
2018,"EE004","muhu vald","Muhu vald","house",478,"EE004",7,362.77,589.5
2018,"EE004","parnu linn","Pärnu linn","house",624,"EE004",146,724.2,752.43
2018,"EE004","pohjaparnumaa vald","Põhja-Pärnumaa vald","house",638,"EE004",28,179.24,237.67
2018,"EE004","ruhnu vald","Ruhnu vald","house",689,"EE004",NA,453.41,499.971818181818
2018,"EE004","saarde vald","Saarde vald","house",712,"EE004",19,125.9,169.6
2018,"EE004","saaremaa vald","Saaremaa vald","house",714,"EE004",67,619.05,658.21
2018,"EE004","tori vald","Tori vald","house",809,"EE004",52,768.76,733.62
2018,"EE004","vormsi vald","Vormsi vald","house",907,"EE004",NA,587.518289014538,609.13925630418
2018,"EE008","antsla vald","Antsla vald","house",142,"EE008",14,141.48,174.52
2018,"EE008","elva vald","Elva vald","house",171,"EE008",47,549.02,572.67
2018,"EE008","jogeva vald","Jõgeva vald","house",247,"EE008",31,133.93,200.97
2018,"EE008","kambja vald","Kambja vald","house",283,"EE008",62,1119.14,1121.43
2018,"EE008","kanepi vald","Kanepi vald","house",284,"EE008",14,268.12,381.35
2018,"EE008","kastre vald","Kastre vald","house",291,"EE008",24,937.02,908.63
2018,"EE008","luunja vald","Luunja vald","house",432,"EE008",21,1123.44,1130.3
2018,"EE008","mulgi vald","Mulgi vald","house",480,"EE008",28,89.89,131.81
2018,"EE008","mustvee vald","Mustvee vald","house",486,"EE008",34,175.58,228.35
2018,"EE008","noo vald","Nõo vald","house",528,"EE008",12,662.98,636.91
2018,"EE008","otepaa vald","Otepää vald","house",557,"EE008",17,378.15,526.9
2018,"EE008","peipsiaare vald","Peipsiääre vald","house",586,"EE008",19,249.49,340.45
2018,"EE008","pohjasakala vald","Põhja-Sakala vald","house",615,"EE008",19,188.32,251.48
2018,"EE008","poltsamaa vald","Põltsamaa vald","house",618,"EE008",28,323.82,359.1
2018,"EE008","polva vald","Põlva vald","house",622,"EE008",29,343.68,412.69
2018,"EE008","rapina vald","Räpina vald","house",708,"EE008",32,303.25,309.52
2018,"EE008","rouge vald","Rõuge vald","house",698,"EE008",17,92.45,380.96
2018,"EE008","setomaa vald","Setomaa vald","house",732,"EE008",19,147.49,246.05
2018,"EE008","tartu linn","Tartu linn","house",793,"EE008",138,800.56,937.37
2018,"EE008","tartu vald","Tartu vald","house",796,"EE008",38,762.33,757.86
2018,"EE008","torva vald","Tõrva vald","house",824,"EE008",19,259.07,257.09
2018,"EE008","valga vald","Valga vald","house",855,"EE008",48,154.5,219.87
2018,"EE008","viljandi linn","Viljandi linn","house",897,"EE008",46,461.78,487.77
2018,"EE008","viljandi vald","Viljandi vald","house",899,"EE008",59,213.22,333.72
2018,"EE008","voru linn","Võru linn","house",919,"EE008",24,435.8,414.81
2018,"EE008","voru vald","Võru vald","house",917,"EE008",28,243.37,313.11
2018,"EE009","haljala vald","Haljala vald","house",191,"EE006",23,255.72,430.6
2018,"EE009","jarva vald","Järva vald","house",255,"EE006",47,165.39,214.24
2018,"EE009","kadrina vald","Kadrina vald","house",272,"EE006",19,338.98,376.32
2018,"EE009","kehtna vald","Kehtna vald","house",293,"EE006",18,287.69,360.47
2018,"EE009","kohila vald","Kohila vald","house",317,"EE006",26,924.73,895.24
2018,"EE009","marjamaa vald","Märjamaa vald","house",503,"EE006",35,144.8,154.41
2018,"EE009","paide linn","Paide linn","house",567,"EE006",43,236.73,325.84
2018,"EE009","rakvere linn","Rakvere linn","house",663,"EE006",59,465.66,546.26
2018,"EE009","rakvere vald","Rakvere vald","house",661,"EE006",30,284.79,391.97
2018,"EE009","rapla vald","Rapla vald","house",668,"EE006",37,507.84,567.35
2018,"EE009","tapa vald","Tapa vald","house",792,"EE006",48,264.96,316.1
2018,"EE009","turi vald","Türi vald","house",834,"EE006",36,267.02,261.79
2018,"EE009","vaikemaarja vald","Väike-Maarja vald","house",928,"EE006",31,91.69,133.43
2018,"EE009","vinni vald","Vinni vald","house",901,"EE006",33,238.1,314.58
2018,"EE009","virunigula vald","Viru-Nigula vald","house",903,"EE006",16,200.25,303.48
2018,"EE00A","alutaguse vald","Alutaguse vald","house",130,"EE007",24,217.32,344.59
2018,"EE00A","johvi vald","Jõhvi vald","house",251,"EE007",41,403.46,453.15
2018,"EE00A","kohtlajarve linn","Kohtla-Järve linn","house",321,"EE007",11,378.68,377.86
2018,"EE00A","luganuse vald","Lüganuse vald","house",442,"EE007",25,114.46,186.29
2018,"EE00A","narva linn","Narva linn","house",511,"EE007",10,326.61,423.76
2018,"EE00A","narvajoesuu linn","Narva-Jõesuu linn","house",514,"EE007",21,486.38,584.46
2018,"EE00A","sillamae linn","Sillamäe linn","house",735,"EE007",NA,326.61,385.445714285714
2018,"EE00A","toila vald","Toila vald","house",803,"EE007",30,245.08,328.01
2019,"EE001","anija vald","Anija vald","house",141,"EE001",14,593.53,692.08
2019,"EE001","harku vald","Harku vald","house",198,"EE001",64,1440.5,1431.49
2019,"EE001","joelahtme vald","Jõelähtme vald","house",245,"EE001",18,1091.8,1072.89
2019,"EE001","keila linn","Keila linn","house",296,"EE001",18,1307.65,1278.37
2019,"EE001","kiili vald","Kiili vald","house",304,"EE001",27,1481.48,1438.86
2019,"EE001","kose vald","Kose vald","house",338,"EE001",21,891.63,982.76
2019,"EE001","kuusalu vald","Kuusalu vald","house",353,"EE001",14,571.37,577.7
2019,"EE001","laaneharju vald","Lääne-Harju vald","house",431,"EE001",31,931.2,960.8
2019,"EE001","loksa linn","Loksa linn","house",424,"EE001",2,558.206666666667,599.883333333333
2019,"EE001","maardu linn","Maardu linn","house",446,"EE001",22,1423.34,1389.04
2019,"EE001","raasiku vald","Raasiku vald","house",651,"EE001",25,842.86,955.66
2019,"EE001","rae vald","Rae vald","house",653,"EE001",56,1499.05,1443.3
2019,"EE001","saku vald","Saku vald","house",718,"EE001",47,1191.39,1167.01
2019,"EE001","saue vald","Saue vald","house",726,"EE001",97,1005.09,1024.75
2019,"EE001","tallinn","Tallinn","house",784,"EE001",275,1495.29,1638.45
2019,"EE001","viimsi vald","Viimsi vald","house",890,"EE001",90,1495.09,1474.2
2019,"EE004","haademeeste vald","Häädemeeste vald","house",214,"EE004",25,426.78,517.19
2019,"EE004","haapsalu linn","Haapsalu linn","house",184,"EE004",30,780.41,807.82
2019,"EE004","hiiumaa vald","Hiiumaa vald","house",205,"EE004",31,586.65,637.84
