"source_file","year","price_m2","advertisments_sum","actives_sum","parish","type","typev2"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2011,4,0,0,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2012,6,26,10,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2013,5,51,23,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2014,6,27,14,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2015,7,19,6,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2016,7,12,5,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2017,5,17,7,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2018,6,31,18,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2019,6,35,13,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2020,8,0,0,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2021,12,6,2,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2022,12,0,0,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2023,11,129,87,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2024,11,99,69,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Harku vald VS Harku vald.pdf",2025,10,102,64,"Harku vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2005,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2006,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2007,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2008,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2009,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2010,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2011,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2012,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2013,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2014,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2015,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2016,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2017,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2018,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2019,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2020,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2021,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2022,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2023,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2024,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Hiiumaa vald VS Hiiumaa vald.pdf",2025,NA,0,0,"Hiiumaa vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2005,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2006,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2007,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2008,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2009,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2010,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2011,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2012,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2013,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2014,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2015,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2016,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2017,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2018,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2019,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2020,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2021,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2022,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2023,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2024,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Häädemeeste vald VS Häädemeeste vald.pdf",2025,NA,0,0,"Häädemeeste vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2005,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2006,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2007,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2008,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2009,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2010,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2011,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2012,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2013,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2014,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2015,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2016,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2017,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2018,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2019,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2020,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2021,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2022,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2023,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2024,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Järva vald VS Järva vald.pdf",2025,NA,0,0,"Järva vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2005,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2006,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2007,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2008,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2009,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2010,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2011,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2012,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2013,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2014,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2015,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2016,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2017,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2018,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2019,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2020,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2021,NA,0,0,"Jõelähtme vald","house","rent"
"Hinnastatistika - Majade üürimine - Jõelähtme vald VS Jõelähtme vald.pdf",2022,NA,0,0,"Jõelähtme vald","house","rent"
