nuts,type,value,indicator,year
DE714,flat,251,nbscrapes,2019
DE409,house,267,nbscrapes,2019
DE21I,flat,72,nbscrapes,2019
DE146,flat,102,nbscrapes,2019
DE127,flat,43,nbscrapes,2019
DEB3C,flat,58,nbscrapes,2019
DE21I,house,67,nbscrapes,2019
DE119,flat,52,nbscrapes,2019
DEF09,flat,163,nbscrapes,2019
DE724,flat,25,nbscrapes,2019
DE22A,flat,45,nbscrapes,2019
DE273,flat,51,nbscrapes,2019
DE247,house,130,nbscrapes,2019
DE600,flat,761,nbscrapes,2019
DE139,flat,221,nbscrapes,2019
DEE03,flat,162,nbscrapes,2019
DED2F,flat,144,nbscrapes,2019
DE128,flat,308,nbscrapes,2019
DEB1A,flat,44,nbscrapes,2019
DEF02,flat,141,nbscrapes,2019
DED41,house,100,nbscrapes,2019
DEF03,flat,80,nbscrapes,2019
DE27E,flat,89,nbscrapes,2019
DE137,flat,103,nbscrapes,2019
DE731,flat,61,nbscrapes,2019
DE21F,flat,167,nbscrapes,2019
DE80M,flat,73,nbscrapes,2019
DEG02,flat,58,nbscrapes,2019
DEA56,flat,197,nbscrapes,2019
DEG0B,house,104,nbscrapes,2019
DE94E,flat,66,nbscrapes,2019
DEA5A,flat,77,nbscrapes,2019
DE124,flat,184,nbscrapes,2019
DE138,flat,354,nbscrapes,2019
DE12A,flat,172,nbscrapes,2019
DEF0A,flat,80,nbscrapes,2019
DE21H,flat,293,nbscrapes,2019
DE402,flat,44,nbscrapes,2019
DE11A,flat,124,nbscrapes,2019
DEB36,flat,28,nbscrapes,2019
DEB3H,flat,42,nbscrapes,2019
DEB3J,flat,87,nbscrapes,2019
DEB3E,flat,65,nbscrapes,2019
DE94E,house,267,nbscrapes,2019
DE80N,flat,156,nbscrapes,2019
DEA57,flat,143,nbscrapes,2019
DE946,flat,34,nbscrapes,2019
DED44,flat,169,nbscrapes,2019
DE233,flat,20,nbscrapes,2019
DED2D,flat,57,nbscrapes,2019
DEF0B,flat,62,nbscrapes,2019
DEG0F,flat,5,nbscrapes,2019
DEB14,flat,59,nbscrapes,2019
DEE06,house,132,nbscrapes,2019
DE401,house,51,nbscrapes,2019
DE804,flat,48,nbscrapes,2019
DEB13,flat,12,nbscrapes,2019
DEG0G,house,52,nbscrapes,2019
DEF03,house,140,nbscrapes,2019
DE21M,flat,133,nbscrapes,2019
DE945,flat,33,nbscrapes,2019
DE132,flat,225,nbscrapes,2019
DE11C,flat,44,nbscrapes,2019
DEA17,flat,124,nbscrapes,2019
DE218,flat,114,nbscrapes,2019
DE40G,house,97,nbscrapes,2019
DEB11,flat,64,nbscrapes,2019
DE71D,flat,96,nbscrapes,2019
DE40H,house,179,nbscrapes,2019
DE94H,flat,30,nbscrapes,2019
DE226,flat,56,nbscrapes,2019
DE404,flat,168,nbscrapes,2019
DE406,flat,36,nbscrapes,2019
DE21N,flat,32,nbscrapes,2019
DEB3I,flat,59,nbscrapes,2019
DE144,flat,36,nbscrapes,2019
DE225,flat,36,nbscrapes,2019
DEA46,flat,179,nbscrapes,2019
DEF0C,flat,49,nbscrapes,2019
DEG0C,flat,34,nbscrapes,2019
DE80J,flat,86,nbscrapes,2019
DE71A,flat,138,nbscrapes,2019
DEG05,flat,26,nbscrapes,2019
DE247,flat,17,nbscrapes,2019
DEA2C,flat,293,nbscrapes,2019
DE135,flat,83,nbscrapes,2019
DEB3K,flat,22,nbscrapes,2019
DE21G,flat,120,nbscrapes,2019
DE27C,flat,69,nbscrapes,2019
DE922,flat,34,nbscrapes,2019
DE264,flat,59,nbscrapes,2019
DE21B,flat,74,nbscrapes,2019
DE231,flat,38,nbscrapes,2019
DEA47,flat,133,nbscrapes,2019
DE12C,flat,137,nbscrapes,2019
DEG04,house,12,nbscrapes,2019
DEG0J,house,50,nbscrapes,2019
DE933,flat,47,nbscrapes,2019
DEG0P,house,84,nbscrapes,2019
DE923,flat,52,nbscrapes,2019
DEB12,house,244,nbscrapes,2019
DE25C,flat,51,nbscrapes,2019
DE40F,house,72,nbscrapes,2019
DEA5B,house,332,nbscrapes,2019
DE40D,house,105,nbscrapes,2019
DE913,flat,90,nbscrapes,2019
DE249,house,220,nbscrapes,2019
DE24D,house,121,nbscrapes,2019
DEA58,flat,208,nbscrapes,2019
DE258,flat,97,nbscrapes,2019
DE946,house,237,nbscrapes,2019
DED53,house,236,nbscrapes,2019
DED2E,house,212,nbscrapes,2019
DEG0C,house,67,nbscrapes,2019
DE22C,flat,34,nbscrapes,2019
DEF06,house,211,nbscrapes,2019
DEB3D,house,231,nbscrapes,2019
DEB22,house,325,nbscrapes,2019
DEE0E,house,102,nbscrapes,2019
DED44,house,211,nbscrapes,2019
DE922,house,256,nbscrapes,2019
DEE04,house,92,nbscrapes,2019
DE121,flat,202,nbscrapes,2019
DE279,flat,117,nbscrapes,2019
DEB37,house,93,nbscrapes,2019
DE225,house,139,nbscrapes,2019
DE147,flat,288,nbscrapes,2019
DE928,flat,69,nbscrapes,2019
DE256,flat,68,nbscrapes,2019
DEE07,flat,44,nbscrapes,2019
DE719,flat,216,nbscrapes,2019
DE929,house,838,nbscrapes,2019
DE405,flat,49,nbscrapes,2019
DEC04,flat,71,nbscrapes,2019
DEA43,flat,171,nbscrapes,2019
DE277,flat,58,nbscrapes,2019
DE216,flat,49,nbscrapes,2019
DEG0N,flat,44,nbscrapes,2019
DE26A,flat,25,nbscrapes,2019
DE91B,flat,36,nbscrapes,2019
DEB3G,flat,24,nbscrapes,2019
DE239,flat,101,nbscrapes,2019
DEA45,flat,226,nbscrapes,2019
DE217,flat,73,nbscrapes,2019
DED2C,flat,45,nbscrapes,2019
DEG01,flat,87,nbscrapes,2019
DEG0J,flat,12,nbscrapes,2019
DED42,flat,129,nbscrapes,2019
DE213,flat,59,nbscrapes,2019
DED45,house,299,nbscrapes,2019
DED53,flat,73,nbscrapes,2019
DE278,flat,65,nbscrapes,2019
DE931,flat,55,nbscrapes,2019
DE111,house,130,nbscrapes,2019
DE228,house,258,nbscrapes,2019
DEA12,flat,331,nbscrapes,2019
DE248,flat,127,nbscrapes,2019
DE262,flat,43,nbscrapes,2019
DEC06,flat,29,nbscrapes,2019
DE22B,flat,23,nbscrapes,2019
DE26C,flat,101,nbscrapes,2019
DEA38,flat,86,nbscrapes,2019
DE94C,house,446,nbscrapes,2019
DE925,flat,64,nbscrapes,2019
DE716,flat,82,nbscrapes,2019
DEE05,flat,32,nbscrapes,2019
DEA35,house,154,nbscrapes,2019
DE715,flat,97,nbscrapes,2019
DE223,flat,50,nbscrapes,2019
DEA36,flat,234,nbscrapes,2019
DE912,flat,70,nbscrapes,2019
DEA32,flat,137,nbscrapes,2019
DEE08,flat,49,nbscrapes,2019
DEE0A,house,186,nbscrapes,2019
DEA5B,flat,206,nbscrapes,2019
DE91A,flat,24,nbscrapes,2019
DE24B,flat,21,nbscrapes,2019
DE71B,flat,23,nbscrapes,2019
DE117,flat,87,nbscrapes,2019
DEB3F,flat,49,nbscrapes,2019
DE249,flat,35,nbscrapes,2019
DE257,flat,75,nbscrapes,2019
DE255,flat,35,nbscrapes,2019
DEA2A,flat,98,nbscrapes,2019
DE914,flat,46,nbscrapes,2019
DE40C,flat,13,nbscrapes,2019
DEF0D,flat,72,nbscrapes,2019
DEC03,flat,85,nbscrapes,2019
DEA44,house,249,nbscrapes,2019
DEA1E,flat,147,nbscrapes,2019
DEB24,flat,8,nbscrapes,2019
DE94B,house,298,nbscrapes,2019
DEA26,house,423,nbscrapes,2019
DE40I,house,143,nbscrapes,2019
DEG0E,house,60,nbscrapes,2019
DE27B,flat,80,nbscrapes,2019
DE403,house,14,nbscrapes,2019
DE40A,flat,53,nbscrapes,2019
DE722,house,354,nbscrapes,2019
DE803,house,56,nbscrapes,2019
DE736,flat,24,nbscrapes,2019
DEB3H,house,212,nbscrapes,2019
DE145,flat,75,nbscrapes,2019
DE24C,house,67,nbscrapes,2019
DEA2C,house,664,nbscrapes,2019
DEF05,flat,35,nbscrapes,2019
DEA19,flat,134,nbscrapes,2019
DEE05,house,182,nbscrapes,2019
DE115,house,242,nbscrapes,2019
DE24A,flat,11,nbscrapes,2019
DEE01,flat,34,nbscrapes,2019
DEA42,flat,139,nbscrapes,2019
DE21J,flat,55,nbscrapes,2019
DE27D,flat,42,nbscrapes,2019
DEE03,house,57,nbscrapes,2019
DE732,flat,40,nbscrapes,2019
DE911,flat,146,nbscrapes,2019
DE71E,flat,130,nbscrapes,2019
DEF0E,flat,25,nbscrapes,2019
DEA18,flat,83,nbscrapes,2019
DE927,house,185,nbscrapes,2019
DEF01,flat,53,nbscrapes,2019
DEA55,flat,86,nbscrapes,2019
DEG0H,flat,15,nbscrapes,2019
DE237,flat,26,nbscrapes,2019
DE269,flat,77,nbscrapes,2019
DEA2B,flat,188,nbscrapes,2019
DE128,house,526,nbscrapes,2019
DEE04,flat,11,nbscrapes,2019
DE275,flat,60,nbscrapes,2019
DE268,flat,19,nbscrapes,2019
DEG0K,flat,10,nbscrapes,2019
DE926,flat,19,nbscrapes,2019
DE40I,flat,13,nbscrapes,2019
DE803,flat,100,nbscrapes,2019
DEG0M,flat,37,nbscrapes,2019
DEB37,flat,24,nbscrapes,2019
DE93A,flat,22,nbscrapes,2019
DEA24,flat,74,nbscrapes,2019
DEG07,house,42,nbscrapes,2019
DE21L,house,115,nbscrapes,2019
DEA37,flat,197,nbscrapes,2019
DE93B,flat,27,nbscrapes,2019
DE733,flat,27,nbscrapes,2019
DE715,house,285,nbscrapes,2019
DE40E,flat,102,nbscrapes,2019
DE236,flat,127,nbscrapes,2019
