"year","laucode","type.of.building","nuts3","value","avg_floor_m2"
1991,"2560","house","SE332",369,111.4
1991,"2580","house","SE332",1017,118.3
1991,"2581","house","SE332",627,116.6
1991,"2582","house","SE332",490,115.6
1991,"2583","house","SE332",550,112.6
1991,"2584","house","SE332",517,113.2
1991,"305","house","SE121",1308,122.3
1991,"319","house","SE121",625,109.2
1991,"330","house","SE121",1518,128.1
1991,"331","house","SE121",564,113.1
1991,"360","house","SE121",603,115
1991,"380","house","SE121",1499,125.1
1991,"381","house","SE121",1133,120.3
1991,"382","house","SE121",914,116.7
1991,"428","house","SE122",530,115.5
1991,"461","house","SE122",1263,113.7
1991,"480","house","SE122",1116,117.2
1991,"481","house","SE122",971,115.6
1991,"482","house","SE122",748,117.8
1991,"483","house","SE122",787,120
1991,"484","house","SE122",1086,118
1991,"486","house","SE122",1283,120.2
1991,"488","house","SE122",1436,116.1
1991,"509","house","SE123",367,121
1991,"512","house","SE123",504,119.8
1991,"513","house","SE123",701,123
1991,"560","house","SE123",500,115.3
1991,"561","house","SE123",659,123.4
1991,"562","house","SE123",564,118.3
1991,"563","house","SE123",566,117.3
1991,"580","house","SE123",1347,125.7
1991,"581","house","SE123",1084,118
1991,"582","house","SE123",920,118
1991,"583","house","SE123",769,115.2
1991,"584","house","SE123",826,123.6
1991,"586","house","SE123",774,123
1991,"604","house","SE211",469,126
1991,"617","house","SE211",581,126.1
1991,"642","house","SE211",538,118.6
1991,"643","house","SE211",854,122.3
1991,"662","house","SE211",646,120.4
1991,"665","house","SE211",594,127.6
1991,"680","house","SE211",1058,129.3
1991,"682","house","SE211",502,123.6
1991,"683","house","SE211",850,126.1
1991,"684","house","SE211",361,126.8
1991,"685","house","SE211",488,127.7
1991,"686","house","SE211",535,126.6
1991,"687","house","SE211",678,127.7
1991,"760","house","SE212",366,121.4
1991,"761","house","SE212",392,121.9
1991,"763","house","SE212",418,123.7
1991,"764","house","SE212",572,126.7
1991,"765","house","SE212",734,121.4
1991,"767","house","SE212",508,120.5
1991,"780","house","SE212",901,129.9
1991,"781","house","SE212",736,124.2
1991,"821","house","SE213",353,113.7
1991,"834","house","SE213",371,117.7
1991,"840","house","SE213",876,117.8
1991,"860","house","SE213",292,117.2
1991,"861","house","SE213",574,113.5
1991,"862","house","SE213",355,125.1
1991,"880","house","SE213",1145,120.5
1991,"881","house","SE213",525,121.9
1991,"882","house","SE213",686,121.9
1991,"883","house","SE213",646,115.8
1991,"884","house","SE213",578,121.5
1991,"885","house","SE213",725,109.4
1991,"980","house","SE214",1228,110.1
1992,"1060","house","SE221",516,114.7
1992,"1080","house","SE221",935,119.8
1992,"1081","house","SE221",702,116.2
1992,"1082","house","SE221",766,117.8
1992,"1083","house","SE221",720,116.6
1992,"114","house","SE110",1622,124
1992,"115","house","SE110",1594,121.8
1992,"117","house","SE110",1634,121.1
1992,"120","house","SE110",2111,106.1
1992,"1214","house","SE224",685,119.4
1992,"123","house","SE110",1764,123.3
1992,"1230","house","SE224",1417,131
1992,"1231","house","SE224",1260,128.9
1992,"1233","house","SE224",1751,140.3
1992,"125","house","SE110",1959,119.6
1992,"1256","house","SE224",370,121.7
1992,"1257","house","SE224",561,116.5
1992,"126","house","SE110",1772,120.9
1992,"1260","house","SE224",646,116.7
1992,"1261","house","SE224",1344,127.5
1992,"1262","house","SE224",1683,134.8
1992,"1263","house","SE224",1296,125.6
1992,"1264","house","SE224",1016,119.5
1992,"1265","house","SE224",656,113.2
1992,"1266","house","SE224",664,116.8
1992,"1267","house","SE224",668,119.9
1992,"127","house","SE110",1453,123.2
1992,"1270","house","SE224",666,116.5
1992,"1272","house","SE224",612,112.9
1992,"1273","house","SE224",392,122
1992,"1275","house","SE224",537,118.1
1992,"1276","house","SE224",579,118.9
1992,"1277","house","SE224",733,120.6
1992,"1278","house","SE224",1251,123.2
1992,"128","house","SE110",1698,128
1992,"1280","house","SE224",1840,126.7
1992,"1281","house","SE224",1590,125.9
1992,"1282","house","SE224",1248,121.7
1992,"1283","house","SE224",1446,125.7
1992,"1284","house","SE224",1344,126.1
1992,"1285","house","SE224",963,121.2
1992,"1286","house","SE224",1163,124.9
1992,"1287","house","SE224",1104,125.2
1992,"1290","house","SE224",790,120.8
1992,"1291","house","SE224",1008,117.5
1992,"1292","house","SE224",1082,125.6
1992,"1293","house","SE224",561,121.4
1992,"1315","house","SE231",395,115.7
1992,"136","house","SE110",1656,114.6
1992,"138","house","SE110",1927,119.5
1992,"1380","house","SE231",1135,126
1992,"1381","house","SE231",771,117.9
1992,"1382","house","SE231",810,122.7
1992,"1383","house","SE231",1136,123.3
1992,"1384","house","SE231",1647,127.8
1992,"139","house","SE110",1538,120.6
1992,"140","house","SE110",1505,118.8
1992,"1401","house","SE232",1566,117.1
1992,"1402","house","SE232",1648,127.1
1992,"1407","house","SE232",1800,122.8
1992,"1415","house","SE232",1375,116.4
1992,"1419","house","SE232",1283,109.3
1992,"1421","house","SE232",1034,108.4
1992,"1427","house","SE232",1340,108
1992,"1430","house","SE232",585,107.9
1992,"1435","house","SE232",1076,108.1
1992,"1438","house","SE232",569,111.1
1992,"1439","house","SE232",428,107.6
1992,"1440","house","SE232",1187,116.4
1992,"1441","house","SE232",1384,119.5
1992,"1442","house","SE232",825,117.1
1992,"1443","house","SE232",1114,121
1992,"1444","house","SE232",442,120.2
1992,"1445","house","SE232",492,115.3
1992,"1446","house","SE232",436,117.6
1992,"1447","house","SE232",307,111.8
1992,"1452","house","SE232",369,118
1992,"1460","house","SE232",409,111.8
1992,"1461","house","SE232",494,112.3
1992,"1462","house","SE232",678,109.3
1992,"1463","house","SE232",715,114.5
1992,"1465","house","SE232",516,115.3
1992,"1466","house","SE232",477,117.4
1992,"1470","house","SE232",354,121.1
1992,"1471","house","SE232",478,119.6
1992,"1472","house","SE232",508,120.1
1992,"1473","house","SE232",354,117.3
1992,"1480","house","SE232",1871,126
1992,"1481","house","SE232",1737,119.1
1992,"1482","house","SE232",1559,114.4
1992,"1484","house","SE232",1005,112.9
1992,"1485","house","SE232",976,116.7
1992,"1486","house","SE232",1226,110.5
1992,"1487","house","SE232",700,118.5
1992,"1488","house","SE232",937,122.7
1992,"1489","house","SE232",1156,119.3
1992,"1490","house","SE232",916,121.7
1992,"1491","house","SE232",550,122.2
1992,"1492","house","SE232",506,119.7
1992,"1493","house","SE232",656,119
1992,"1494","house","SE232",874,124
1992,"1495","house","SE232",638,123.1
1992,"1496","house","SE232",776,124.1
1992,"1497","house","SE232",563,123.3
1992,"1498","house","SE232",419,118.8
1992,"1499","house","SE232",498,124.1
1992,"160","house","SE110",2002,137.7
1992,"162","house","SE110",2225,155
1992,"163","house","SE110",2131,129.7
1992,"1715","house","SE311",657,119.2
1992,"1730","house","SE311",443,111
1992,"1737","house","SE311",429,110.6
1992,"1760","house","SE311",368,111.6
1992,"1761","house","SE311",1156,124.2
1992,"1762","house","SE311",254,113.4
1992,"1763","house","SE311",474,119.3
1992,"1764","house","SE311",508,115.2
1992,"1765","house","SE311",661,111
1992,"1766","house","SE311",541,115.3
1992,"1780","house","SE311",991,125.4
1992,"1781","house","SE311",578,117.9
1992,"1782","house","SE311",311,112.3
1992,"1783","house","SE311",359,111.7
1992,"1784","house","SE311",571,115.5
1992,"1785","house","SE311",596,120.7
1992,"180","house","SE110",2250,119
1992,"181","house","SE110",1538,116.4
1992,"1814","house","SE124",699,116.2
1992,"182","house","SE110",2220,131.4
1992,"183","house","SE110",2256,132.9
1992,"184","house","SE110",2298,141.4
1992,"186","house","SE110",2378,147.5
1992,"1860","house","SE124",378,113.9
1992,"1861","house","SE124",527,117.1
1992,"1862","house","SE124",422,111.7
1992,"1863","house","SE124",275,108.6
1992,"1864","house","SE124",309,109.9
1992,"187","house","SE110",2298,126.7
1992,"188","house","SE110",1217,107.9
1992,"1880","house","SE124",1156,121
1992,"1881","house","SE124",856,118.1
1992,"1882","house","SE124",509,115.7
1992,"1883","house","SE124",585,117.1
1992,"1884","house","SE124",569,116.5
1992,"1885","house","SE124",465,117.9
1992,"1904","house","SE125",339,113
1992,"1907","house","SE125",578,117.4
1992,"191","house","SE110",1758,125
1992,"192","house","SE110",1385,111.1
1992,"1960","house","SE125",693,117
1992,"1961","house","SE125",854,116.8
1992,"1962","house","SE125",391,118.1
1992,"1980","house","SE125",1286,126
1992,"1981","house","SE125",681,118
1992,"1982","house","SE125",434,117.1
1992,"1983","house","SE125",652,120.7
1992,"1984","house","SE125",685,116.8
1992,"2021","house","SE312",291,111.3
1992,"2023","house","SE312",669,109
1992,"2026","house","SE312",437,112.2
