Municipality.code,year,type.of.building,variable,value
0192,2022,all,price,378778.888597352
0192,2023,all,price,336775.015236048
0192,2024,all,price,335760.428972304
0305,1986,all,price,50266.0331359385
0305,1987,all,price,56577.4632996128
0305,1988,all,price,65030.2715635098
0305,1989,all,price,76864.2031329656
0305,1990,all,price,85880.5319310336
0305,1991,all,price,92191.9620947079
0305,1992,all,price,84978.899086413
0305,1993,all,price,75173.6414801861
0305,1994,all,price,77315.0195804088
0305,1995,all,price,77202.315443415
0305,1996,all,price,77991.2442515738
0305,1997,all,price,81823.1840045759
0305,1998,all,price,88585.4306156935
0305,1999,all,price,95347.677226811
0305,2000,all,price,104138.597801158
0305,2001,all,price,112027.885530883
0305,2002,all,price,121720.439000116
0305,2003,all,price,131412.992469349
0305,2004,all,price,142345.291143919
0305,2005,all,price,155080.855608261
0305,2006,all,price,169281.573451395
0305,2007,all,price,183594.995481789
0305,2008,all,price,190582.650316628
0305,2009,all,price,196330.559895865
0305,2010,all,price,207150.154483707
0305,2011,all,price,207826.379154872
0305,2012,all,price,206473.929812542
0305,2013,all,price,213799.697008097
0305,2014,all,price,229240.160106833
0305,2015,all,price,254711.288985251
0305,2016,all,price,276801.294558111
0305,2017,all,price,300131.045386574
0305,2018,all,price,303737.576915854
0305,2019,all,price,313993.650919258
0305,2020,all,price,332026.30856566
0305,2021,all,price,390181.629431325
0305,2022,all,price,406974.541822125
0305,2023,all,price,364372.388192191
0305,2024,all,price,360653.152525916
0319,1986,all,price,22618.0791436852
0319,1987,all,price,25458.0173294929
0319,1988,all,price,29261.5059752386
0319,1989,all,price,34586.3900792826
0319,1990,all,price,38643.4446272053
0319,1991,all,price,41483.382813013
0319,1992,all,price,38237.7391882457
0319,1993,all,price,33825.6923501334
0319,1994,all,price,34789.2428100714
0319,1995,all,price,34738.5296160652
0319,1996,all,price,35093.5219062547
0319,1997,all,price,36817.7700953418
0319,1998,all,price,39860.5610119384
0319,1999,all,price,42903.3519285349
0319,2000,all,price,46858.9801110632
0319,2001,all,price,50408.9028546318
0319,2002,all,price,54770.2364987378
0319,2003,all,price,59131.5701428438
0319,2004,all,price,64050.74878531
0319,2005,all,price,69781.3383509317
0319,2006,all,price,76171.1992576899
0319,2007,all,price,82611.7733810726
0319,2008,all,price,85755.9906630635
0319,2009,all,price,88342.3629240761
0319,2010,all,price,93210.8283951542
0319,2011,all,price,93515.1074913375
0319,2012,all,price,92906.549298971
0319,2013,all,price,96202.9061403626
0319,2014,all,price,103150.612068099
0319,2015,all,price,114611.791176724
0319,2016,all,price,124551.574827051
0319,2017,all,price,135049.203498357
0319,2018,all,price,136672.025322049
0319,2019,all,price,141286.924868332
0319,2020,all,price,149401.033986796
0319,2021,all,price,175569.03587405
0319,2022,all,price,183125.299971535
0319,2023,all,price,163955.717206024
0319,2024,all,price,162282.182188325
