"nuts","year","value","level","indicator","type.of.building"
"331","2023",1648,"laucode","bldn_sec","all"
"331","2024",1695,"laucode","bldn_sec","all"
"360","1998",2566,"laucode","bldn_sec","all"
"360","1999",2550,"laucode","bldn_sec","all"
"360","2000",2581,"laucode","bldn_sec","all"
"360","2001",2531,"laucode","bldn_sec","all"
"360","2002",2506,"laucode","bldn_sec","all"
"360","2003",2515,"laucode","bldn_sec","all"
"360","2004",2448,"laucode","bldn_sec","all"
"360","2005",2476,"laucode","bldn_sec","all"
"360","2006",2471,"laucode","bldn_sec","all"
"360","2007",2489,"laucode","bldn_sec","all"
"360","2008",2494,"laucode","bldn_sec","all"
"360","2009",2503,"laucode","bldn_sec","all"
"360","2010",2528,"laucode","bldn_sec","all"
"360","2011",2517,"laucode","bldn_sec","all"
"360","2012",2543,"laucode","bldn_sec","all"
"360","2013",2542,"laucode","bldn_sec","all"
"360","2014",2555,"laucode","bldn_sec","all"
"360","2015",2563,"laucode","bldn_sec","all"
"360","2016",2538,"laucode","bldn_sec","all"
"360","2017",2557,"laucode","bldn_sec","all"
"360","2018",2607,"laucode","bldn_sec","all"
"360","2019",2603,"laucode","bldn_sec","all"
"360","2020",2618,"laucode","bldn_sec","all"
"360","2021",2637,"laucode","bldn_sec","all"
"360","2022",2639,"laucode","bldn_sec","all"
"360","2023",2665,"laucode","bldn_sec","all"
"360","2024",2717,"laucode","bldn_sec","all"
"380","1998",5313,"laucode","bldn_sec","all"
"380","1999",5208,"laucode","bldn_sec","all"
"380","2000",5156,"laucode","bldn_sec","all"
"380","2001",4868,"laucode","bldn_sec","all"
"380","2002",4750,"laucode","bldn_sec","all"
"380","2003",4225,"laucode","bldn_sec","all"
"380","2004",4274,"laucode","bldn_sec","all"
"380","2005",4298,"laucode","bldn_sec","all"
"380","2006",4360,"laucode","bldn_sec","all"
"380","2007",4146,"laucode","bldn_sec","all"
"380","2008",3971,"laucode","bldn_sec","all"
"380","2009",3819,"laucode","bldn_sec","all"
"380","2010",3673,"laucode","bldn_sec","all"
"380","2011",3623,"laucode","bldn_sec","all"
"380","2012",3533,"laucode","bldn_sec","all"
"380","2013",3499,"laucode","bldn_sec","all"
"380","2014",3447,"laucode","bldn_sec","all"
"380","2015",3423,"laucode","bldn_sec","all"
"380","2016",3665,"laucode","bldn_sec","all"
"380","2017",3619,"laucode","bldn_sec","all"
"380","2018",3873,"laucode","bldn_sec","all"
"380","2019",3809,"laucode","bldn_sec","all"
"380","2020",3772,"laucode","bldn_sec","all"
"380","2021",3722,"laucode","bldn_sec","all"
"380","2022",3721,"laucode","bldn_sec","all"
"380","2023",3686,"laucode","bldn_sec","all"
"380","2024",3683,"laucode","bldn_sec","all"
"381","1998",2873,"laucode","bldn_sec","all"
"381","1999",2850,"laucode","bldn_sec","all"
"381","2000",2831,"laucode","bldn_sec","all"
"381","2001",2773,"laucode","bldn_sec","all"
"381","2002",2622,"laucode","bldn_sec","all"
"381","2003",2664,"laucode","bldn_sec","all"
"381","2004",2634,"laucode","bldn_sec","all"
"381","2005",2641,"laucode","bldn_sec","all"
"381","2006",2619,"laucode","bldn_sec","all"
"381","2007",2563,"laucode","bldn_sec","all"
"381","2008",2633,"laucode","bldn_sec","all"
"381","2009",2587,"laucode","bldn_sec","all"
"381","2010",2550,"laucode","bldn_sec","all"
"381","2011",2529,"laucode","bldn_sec","all"
