"year","level","nuts","type.of.building","value","measure"
2022,"laucode","2309","all",1872,"price_m2"
2023,"laucode","2309","all",1833,"price_m2"
2024,"laucode","2309","all",1896,"price_m2"
2013,"laucode","2309","flat",1477,"price_m2"
2014,"laucode","2309","flat",1531,"price_m2"
2015,"laucode","2309","flat",1609,"price_m2"
2016,"laucode","2309","flat",1705,"price_m2"
2017,"laucode","2309","flat",1779,"price_m2"
2018,"laucode","2309","flat",1834,"price_m2"
2019,"laucode","2309","flat",1857,"price_m2"
2020,"laucode","2309","flat",1946,"price_m2"
2021,"laucode","2309","flat",2126,"price_m2"
2022,"laucode","2309","flat",2241,"price_m2"
2023,"laucode","2309","flat",2194,"price_m2"
2024,"laucode","2309","flat",2270,"price_m2"
2013,"laucode","2309","house",1234,"price_m2"
2014,"laucode","2309","house",1279,"price_m2"
2015,"laucode","2309","house",1344,"price_m2"
2016,"laucode","2309","house",1424,"price_m2"
2017,"laucode","2309","house",1486,"price_m2"
2018,"laucode","2309","house",1532,"price_m2"
2019,"laucode","2309","house",1551,"price_m2"
2020,"laucode","2309","house",1626,"price_m2"
2021,"laucode","2309","house",1776,"price_m2"
2022,"laucode","2309","house",1872,"price_m2"
2023,"laucode","2309","house",1833,"price_m2"
2024,"laucode","2309","house",1896,"price_m2"
2013,"laucode","2313","all",434,"price_m2"
2014,"laucode","2313","all",428,"price_m2"
2015,"laucode","2313","all",442,"price_m2"
2016,"laucode","2313","all",461,"price_m2"
2017,"laucode","2313","all",475,"price_m2"
2018,"laucode","2313","all",484,"price_m2"
2019,"laucode","2313","all",469,"price_m2"
2020,"laucode","2313","all",487,"price_m2"
2021,"laucode","2313","all",531,"price_m2"
2022,"laucode","2313","all",556,"price_m2"
2023,"laucode","2313","all",531,"price_m2"
2024,"laucode","2313","all",608,"price_m2"
2013,"laucode","2313","flat",1609,"price_m2"
2014,"laucode","2313","flat",1587,"price_m2"
2015,"laucode","2313","flat",1639,"price_m2"
2016,"laucode","2313","flat",1709,"price_m2"
2017,"laucode","2313","flat",1761,"price_m2"
2018,"laucode","2313","flat",1795,"price_m2"
2019,"laucode","2313","flat",1739,"price_m2"
2020,"laucode","2313","flat",1806,"price_m2"
2021,"laucode","2313","flat",1969,"price_m2"
2022,"laucode","2313","flat",2062,"price_m2"
2023,"laucode","2313","flat",1969,"price_m2"
2024,"laucode","2313","flat",2255,"price_m2"
2013,"laucode","2313","house",434,"price_m2"
2014,"laucode","2313","house",428,"price_m2"
2015,"laucode","2313","house",442,"price_m2"
2016,"laucode","2313","house",461,"price_m2"
2017,"laucode","2313","house",475,"price_m2"
2018,"laucode","2313","house",484,"price_m2"
2019,"laucode","2313","house",469,"price_m2"
2020,"laucode","2313","house",487,"price_m2"
2021,"laucode","2313","house",531,"price_m2"
2022,"laucode","2313","house",556,"price_m2"
2023,"laucode","2313","house",531,"price_m2"
2024,"laucode","2313","house",608,"price_m2"
2013,"laucode","2321","all",1561,"price_m2"
2014,"laucode","2321","all",1668,"price_m2"
2015,"laucode","2321","all",1790,"price_m2"
2016,"laucode","2321","all",1922,"price_m2"
2017,"laucode","2321","all",2045,"price_m2"
2018,"laucode","2321","all",2155,"price_m2"
2019,"laucode","2321","all",2293,"price_m2"
2020,"laucode","2321","all",2399,"price_m2"
2021,"laucode","2321","all",2626,"price_m2"
2022,"laucode","2321","all",2766,"price_m2"
2023,"laucode","2321","all",2677,"price_m2"
2024,"laucode","2321","all",3075,"price_m2"
2013,"laucode","2321","flat",1562,"price_m2"
2014,"laucode","2321","flat",1668,"price_m2"
2015,"laucode","2321","flat",1791,"price_m2"
2016,"laucode","2321","flat",1923,"price_m2"
2017,"laucode","2321","flat",2046,"price_m2"
2018,"laucode","2321","flat",2156,"price_m2"
2019,"laucode","2321","flat",2294,"price_m2"
2020,"laucode","2321","flat",2400,"price_m2"
2021,"laucode","2321","flat",2627,"price_m2"
2022,"laucode","2321","flat",2767,"price_m2"
2023,"laucode","2321","flat",2678,"price_m2"
2024,"laucode","2321","flat",3076,"price_m2"
2013,"laucode","2321","house",1558,"price_m2"
2014,"laucode","2321","house",1664,"price_m2"
2015,"laucode","2321","house",1786,"price_m2"
2016,"laucode","2321","house",1918,"price_m2"
2017,"laucode","2321","house",2041,"price_m2"
2018,"laucode","2321","house",2150,"price_m2"
2019,"laucode","2321","house",2288,"price_m2"
2020,"laucode","2321","house",2394,"price_m2"
2021,"laucode","2321","house",2620,"price_m2"
2022,"laucode","2321","house",2760,"price_m2"
2023,"laucode","2321","house",2671,"price_m2"
2024,"laucode","2321","house",3068,"price_m2"
2013,"laucode","2326","all",820,"price_m2"
2014,"laucode","2326","all",797,"price_m2"
2015,"laucode","2326","all",827,"price_m2"
2016,"laucode","2326","all",868,"price_m2"
2017,"laucode","2326","all",898,"price_m2"
2018,"laucode","2326","all",924,"price_m2"
2019,"laucode","2326","all",902,"price_m2"
2020,"laucode","2326","all",979,"price_m2"
2021,"laucode","2326","all",1106,"price_m2"
2022,"laucode","2326","all",1181,"price_m2"
2023,"laucode","2326","all",1252,"price_m2"
2024,"laucode","2326","all",1287,"price_m2"
2013,"laucode","2326","flat",2198,"price_m2"
2014,"laucode","2326","flat",2137,"price_m2"
2015,"laucode","2326","flat",2218,"price_m2"
2016,"laucode","2326","flat",2327,"price_m2"
2017,"laucode","2326","flat",2408,"price_m2"
2018,"laucode","2326","flat",2476,"price_m2"
2019,"laucode","2326","flat",2420,"price_m2"
2020,"laucode","2326","flat",2626,"price_m2"
2021,"laucode","2326","flat",2965,"price_m2"
2022,"laucode","2326","flat",3167,"price_m2"
2023,"laucode","2326","flat",3357,"price_m2"
2024,"laucode","2326","flat",3450,"price_m2"
2013,"laucode","2326","house",544,"price_m2"
2014,"laucode","2326","house",529,"price_m2"
2015,"laucode","2326","house",549,"price_m2"
2016,"laucode","2326","house",576,"price_m2"
2017,"laucode","2326","house",596,"price_m2"
2018,"laucode","2326","house",613,"price_m2"
2019,"laucode","2326","house",599,"price_m2"
2020,"laucode","2326","house",650,"price_m2"
2021,"laucode","2326","house",734,"price_m2"
2022,"laucode","2326","house",784,"price_m2"
2023,"laucode","2326","house",831,"price_m2"
2024,"laucode","2326","house",854,"price_m2"
2013,"laucode","2361","all",1111,"price_m2"
2014,"laucode","2361","all",1091,"price_m2"
2015,"laucode","2361","all",1145,"price_m2"
2016,"laucode","2361","all",1201,"price_m2"
2017,"laucode","2361","all",1239,"price_m2"
2018,"laucode","2361","all",1269,"price_m2"
2019,"laucode","2361","all",1263,"price_m2"
2020,"laucode","2361","all",1360,"price_m2"
2021,"laucode","2361","all",1531,"price_m2"
2022,"laucode","2361","all",1641,"price_m2"
2023,"laucode","2361","all",1713,"price_m2"
2024,"laucode","2361","all",1896,"price_m2"
2013,"laucode","2361","flat",1324,"price_m2"
2014,"laucode","2361","flat",1300,"price_m2"
2015,"laucode","2361","flat",1365,"price_m2"
2016,"laucode","2361","flat",1431,"price_m2"
2017,"laucode","2361","flat",1476,"price_m2"
2018,"laucode","2361","flat",1512,"price_m2"
2019,"laucode","2361","flat",1505,"price_m2"
2020,"laucode","2361","flat",1621,"price_m2"
2021,"laucode","2361","flat",1824,"price_m2"
2022,"laucode","2361","flat",1955,"price_m2"
2023,"laucode","2361","flat",2041,"price_m2"
2024,"laucode","2361","flat",2259,"price_m2"
2013,"laucode","2361","house",879,"price_m2"
2014,"laucode","2361","house",863,"price_m2"
2015,"laucode","2361","house",906,"price_m2"
2016,"laucode","2361","house",950,"price_m2"
2017,"laucode","2361","house",980,"price_m2"
2018,"laucode","2361","house",1004,"price_m2"
2019,"laucode","2361","house",999,"price_m2"
2020,"laucode","2361","house",1076,"price_m2"
2021,"laucode","2361","house",1211,"price_m2"
2022,"laucode","2361","house",1298,"price_m2"
2023,"laucode","2361","house",1355,"price_m2"
2024,"laucode","2361","house",1500,"price_m2"
2013,"laucode","2380","all",1638,"price_m2"
2014,"laucode","2380","all",1736,"price_m2"
2015,"laucode","2380","all",1811,"price_m2"
2016,"laucode","2380","all",1903,"price_m2"
2017,"laucode","2380","all",1974,"price_m2"
2018,"laucode","2380","all",2018,"price_m2"
2019,"laucode","2380","all",1985,"price_m2"
2020,"laucode","2380","all",2084,"price_m2"
2021,"laucode","2380","all",2288,"price_m2"
2022,"laucode","2380","all",2417,"price_m2"
2023,"laucode","2380","all",2370,"price_m2"
2024,"laucode","2380","all",2378,"price_m2"
2013,"laucode","2380","flat",1559,"price_m2"
2014,"laucode","2380","flat",1652,"price_m2"
2015,"laucode","2380","flat",1723,"price_m2"
2016,"laucode","2380","flat",1811,"price_m2"
2017,"laucode","2380","flat",1878,"price_m2"
2018,"laucode","2380","flat",1920,"price_m2"
2019,"laucode","2380","flat",1889,"price_m2"
2020,"laucode","2380","flat",1983,"price_m2"
2021,"laucode","2380","flat",2178,"price_m2"
2022,"laucode","2380","flat",2300,"price_m2"
2023,"laucode","2380","flat",2256,"price_m2"
2024,"laucode","2380","flat",2263,"price_m2"
2013,"laucode","2380","house",1859,"price_m2"
2014,"laucode","2380","house",1970,"price_m2"
2015,"laucode","2380","house",2055,"price_m2"
2016,"laucode","2380","house",2160,"price_m2"
2017,"laucode","2380","house",2240,"price_m2"
2018,"laucode","2380","house",2290,"price_m2"
2019,"laucode","2380","house",2253,"price_m2"
2020,"laucode","2380","house",2365,"price_m2"
2021,"laucode","2380","house",2597,"price_m2"
2022,"laucode","2380","house",2743,"price_m2"
2023,"laucode","2380","house",2690,"price_m2"
2024,"laucode","2380","house",2699,"price_m2"
2013,"laucode","2401","all",636,"price_m2"
2014,"laucode","2401","all",642,"price_m2"
2015,"laucode","2401","all",703,"price_m2"
2016,"laucode","2401","all",743,"price_m2"
2017,"laucode","2401","all",797,"price_m2"
2018,"laucode","2401","all",843,"price_m2"
2019,"laucode","2401","all",895,"price_m2"
2020,"laucode","2401","all",936,"price_m2"
2021,"laucode","2401","all",998,"price_m2"
2022,"laucode","2401","all",1043,"price_m2"
2023,"laucode","2401","all",955,"price_m2"
2024,"laucode","2401","all",929,"price_m2"
2013,"laucode","2401","flat",2635,"price_m2"
2014,"laucode","2401","flat",2660,"price_m2"
2015,"laucode","2401","flat",2912,"price_m2"
2016,"laucode","2401","flat",3078,"price_m2"
2017,"laucode","2401","flat",3302,"price_m2"
2018,"laucode","2401","flat",3493,"price_m2"
2019,"laucode","2401","flat",3708,"price_m2"
2020,"laucode","2401","flat",3878,"price_m2"
2021,"laucode","2401","flat",4135,"price_m2"
2022,"laucode","2401","flat",4321,"price_m2"
2023,"laucode","2401","flat",3957,"price_m2"
2024,"laucode","2401","flat",3849,"price_m2"
2013,"laucode","2401","house",636,"price_m2"
2014,"laucode","2401","house",642,"price_m2"
2015,"laucode","2401","house",703,"price_m2"
2016,"laucode","2401","house",743,"price_m2"
2017,"laucode","2401","house",797,"price_m2"
2018,"laucode","2401","house",843,"price_m2"
2019,"laucode","2401","house",895,"price_m2"
2020,"laucode","2401","house",936,"price_m2"
2021,"laucode","2401","house",998,"price_m2"
2022,"laucode","2401","house",1043,"price_m2"
2023,"laucode","2401","house",955,"price_m2"
2024,"laucode","2401","house",929,"price_m2"
2013,"laucode","2403","all",482,"price_m2"
2014,"laucode","2403","all",448,"price_m2"
2015,"laucode","2403","all",468,"price_m2"
2016,"laucode","2403","all",474,"price_m2"
2017,"laucode","2403","all",492,"price_m2"
2018,"laucode","2403","all",500,"price_m2"
2019,"laucode","2403","all",461,"price_m2"
2020,"laucode","2403","all",510,"price_m2"
2021,"laucode","2403","all",569,"price_m2"
2022,"laucode","2403","all",622,"price_m2"
2023,"laucode","2403","all",653,"price_m2"
2024,"laucode","2403","all",714,"price_m2"
2013,"laucode","2403","flat",3230,"price_m2"
2014,"laucode","2403","flat",3002,"price_m2"
2015,"laucode","2403","flat",3136,"price_m2"
2016,"laucode","2403","flat",3177,"price_m2"
2017,"laucode","2403","flat",3297,"price_m2"
2018,"laucode","2403","flat",3351,"price_m2"
2019,"laucode","2403","flat",3090,"price_m2"
2020,"laucode","2403","flat",3418,"price_m2"
2021,"laucode","2403","flat",3813,"price_m2"
2022,"laucode","2403","flat",4168,"price_m2"
2023,"laucode","2403","flat",4376,"price_m2"
2024,"laucode","2403","flat",4785,"price_m2"
2013,"laucode","2403","house",482,"price_m2"
2014,"laucode","2403","house",448,"price_m2"
2015,"laucode","2403","house",468,"price_m2"
2016,"laucode","2403","house",474,"price_m2"
2017,"laucode","2403","house",492,"price_m2"
2018,"laucode","2403","house",500,"price_m2"
2019,"laucode","2403","house",461,"price_m2"
2020,"laucode","2403","house",510,"price_m2"
2021,"laucode","2403","house",569,"price_m2"
2022,"laucode","2403","house",622,"price_m2"
2023,"laucode","2403","house",653,"price_m2"
2024,"laucode","2403","house",714,"price_m2"
2013,"laucode","2404","all",502,"price_m2"
2014,"laucode","2404","all",488,"price_m2"
2015,"laucode","2404","all",531,"price_m2"
2016,"laucode","2404","all",558,"price_m2"
2017,"laucode","2404","all",598,"price_m2"
2018,"laucode","2404","all",631,"price_m2"
2019,"laucode","2404","all",662,"price_m2"
2020,"laucode","2404","all",708,"price_m2"
2021,"laucode","2404","all",769,"price_m2"
2022,"laucode","2404","all",821,"price_m2"
2023,"laucode","2404","all",801,"price_m2"
2024,"laucode","2404","all",837,"price_m2"
2013,"laucode","2404","flat",736,"price_m2"
2014,"laucode","2404","flat",716,"price_m2"
2015,"laucode","2404","flat",779,"price_m2"
2016,"laucode","2404","flat",818,"price_m2"
2017,"laucode","2404","flat",877,"price_m2"
2018,"laucode","2404","flat",926,"price_m2"
2019,"laucode","2404","flat",971,"price_m2"
2020,"laucode","2404","flat",1039,"price_m2"
2021,"laucode","2404","flat",1128,"price_m2"
2022,"laucode","2404","flat",1204,"price_m2"
2023,"laucode","2404","flat",1175,"price_m2"
2024,"laucode","2404","flat",1228,"price_m2"
2013,"laucode","2404","house",502,"price_m2"
2014,"laucode","2404","house",488,"price_m2"
2015,"laucode","2404","house",531,"price_m2"
2016,"laucode","2404","house",558,"price_m2"
2017,"laucode","2404","house",598,"price_m2"
2018,"laucode","2404","house",631,"price_m2"
2019,"laucode","2404","house",662,"price_m2"
2020,"laucode","2404","house",708,"price_m2"
2021,"laucode","2404","house",769,"price_m2"
2022,"laucode","2404","house",821,"price_m2"
2023,"laucode","2404","house",801,"price_m2"
2024,"laucode","2404","house",837,"price_m2"
2013,"laucode","2409","all",769,"price_m2"
2014,"laucode","2409","all",758,"price_m2"
2015,"laucode","2409","all",831,"price_m2"
2016,"laucode","2409","all",880,"price_m2"
2017,"laucode","2409","all",945,"price_m2"
2018,"laucode","2409","all",1002,"price_m2"
2019,"laucode","2409","all",1065,"price_m2"
2020,"laucode","2409","all",1132,"price_m2"
2021,"laucode","2409","all",1224,"price_m2"
2022,"laucode","2409","all",1300,"price_m2"
2023,"laucode","2409","all",1250,"price_m2"
2024,"laucode","2409","all",1179,"price_m2"
2013,"laucode","2409","flat",5747,"price_m2"
2014,"laucode","2409","flat",5665,"price_m2"
2015,"laucode","2409","flat",6211,"price_m2"
2016,"laucode","2409","flat",6577,"price_m2"
2017,"laucode","2409","flat",7063,"price_m2"
2018,"laucode","2409","flat",7489,"price_m2"
2019,"laucode","2409","flat",7960,"price_m2"
2020,"laucode","2409","flat",8460,"price_m2"
2021,"laucode","2409","flat",9148,"price_m2"
2022,"laucode","2409","flat",9716,"price_m2"
2023,"laucode","2409","flat",9342,"price_m2"
2024,"laucode","2409","flat",8812,"price_m2"
2013,"laucode","2409","house",769,"price_m2"
2014,"laucode","2409","house",758,"price_m2"
2015,"laucode","2409","house",831,"price_m2"
2016,"laucode","2409","house",880,"price_m2"
2017,"laucode","2409","house",945,"price_m2"
2018,"laucode","2409","house",1002,"price_m2"
2019,"laucode","2409","house",1065,"price_m2"
2020,"laucode","2409","house",1132,"price_m2"
2021,"laucode","2409","house",1224,"price_m2"
2022,"laucode","2409","house",1300,"price_m2"
2023,"laucode","2409","house",1250,"price_m2"
2024,"laucode","2409","house",1179,"price_m2"
2013,"laucode","2417","all",328,"price_m2"
2014,"laucode","2417","all",304,"price_m2"
2015,"laucode","2417","all",321,"price_m2"
2016,"laucode","2417","all",330,"price_m2"
2017,"laucode","2417","all",345,"price_m2"
2018,"laucode","2417","all",356,"price_m2"
2019,"laucode","2417","all",347,"price_m2"
2020,"laucode","2417","all",381,"price_m2"
2021,"laucode","2417","all",425,"price_m2"
2022,"laucode","2417","all",463,"price_m2"
2023,"laucode","2417","all",483,"price_m2"
2024,"laucode","2417","all",548,"price_m2"
2013,"laucode","2417","flat",2803,"price_m2"
2014,"laucode","2417","flat",2598,"price_m2"
2015,"laucode","2417","flat",2743,"price_m2"
2016,"laucode","2417","flat",2820,"price_m2"
2017,"laucode","2417","flat",2948,"price_m2"
2018,"laucode","2417","flat",3042,"price_m2"
2019,"laucode","2417","flat",2965,"price_m2"
2020,"laucode","2417","flat",3256,"price_m2"
2021,"laucode","2417","flat",3632,"price_m2"
2022,"laucode","2417","flat",3956,"price_m2"
2023,"laucode","2417","flat",4127,"price_m2"
2024,"laucode","2417","flat",4683,"price_m2"
2013,"laucode","2417","house",328,"price_m2"
2014,"laucode","2417","house",304,"price_m2"
2015,"laucode","2417","house",321,"price_m2"
2016,"laucode","2417","house",330,"price_m2"
2017,"laucode","2417","house",345,"price_m2"
2018,"laucode","2417","house",356,"price_m2"
2019,"laucode","2417","house",347,"price_m2"
2020,"laucode","2417","house",381,"price_m2"
2021,"laucode","2417","house",425,"price_m2"
2022,"laucode","2417","house",463,"price_m2"
2023,"laucode","2417","house",483,"price_m2"
2024,"laucode","2417","house",548,"price_m2"
2013,"laucode","2418","all",434,"price_m2"
2014,"laucode","2418","all",357,"price_m2"
2015,"laucode","2418","all",381,"price_m2"
2016,"laucode","2418","all",395,"price_m2"
2017,"laucode","2418","all",415,"price_m2"
2018,"laucode","2418","all",431,"price_m2"
2019,"laucode","2418","all",433,"price_m2"
2020,"laucode","2418","all",449,"price_m2"
2021,"laucode","2418","all",477,"price_m2"
2022,"laucode","2418","all",494,"price_m2"
2023,"laucode","2418","all",444,"price_m2"
2024,"laucode","2418","all",526,"price_m2"
2013,"laucode","2418","flat",3519,"price_m2"
2014,"laucode","2418","flat",2895,"price_m2"
2015,"laucode","2418","flat",3090,"price_m2"
2016,"laucode","2418","flat",3203,"price_m2"
2017,"laucode","2418","flat",3365,"price_m2"
2018,"laucode","2418","flat",3495,"price_m2"
2019,"laucode","2418","flat",3511,"price_m2"
2020,"laucode","2418","flat",3641,"price_m2"
2021,"laucode","2418","flat",3868,"price_m2"
2022,"laucode","2418","flat",4006,"price_m2"
2023,"laucode","2418","flat",3600,"price_m2"
2024,"laucode","2418","flat",4265,"price_m2"
2013,"laucode","2418","house",434,"price_m2"
2014,"laucode","2418","house",357,"price_m2"
2015,"laucode","2418","house",381,"price_m2"
2016,"laucode","2418","house",395,"price_m2"
2017,"laucode","2418","house",415,"price_m2"
2018,"laucode","2418","house",431,"price_m2"
2019,"laucode","2418","house",433,"price_m2"
2020,"laucode","2418","house",449,"price_m2"
2021,"laucode","2418","house",477,"price_m2"
2022,"laucode","2418","house",494,"price_m2"
2023,"laucode","2418","house",444,"price_m2"
2024,"laucode","2418","house",526,"price_m2"
2013,"laucode","2421","all",1154,"price_m2"
2014,"laucode","2421","all",1095,"price_m2"
2015,"laucode","2421","all",1204,"price_m2"
2016,"laucode","2421","all",1282,"price_m2"
2017,"laucode","2421","all",1388,"price_m2"
2018,"laucode","2421","all",1474,"price_m2"
2019,"laucode","2421","all",1589,"price_m2"
2020,"laucode","2421","all",1646,"price_m2"
2021,"laucode","2421","all",1758,"price_m2"
2022,"laucode","2421","all",1828,"price_m2"
2023,"laucode","2421","all",1669,"price_m2"
2024,"laucode","2421","all",2057,"price_m2"
2013,"laucode","2421","flat",1865,"price_m2"
2014,"laucode","2421","flat",1768,"price_m2"
2015,"laucode","2421","flat",1945,"price_m2"
2016,"laucode","2421","flat",2071,"price_m2"
2017,"laucode","2421","flat",2243,"price_m2"
2018,"laucode","2421","flat",2382,"price_m2"
2019,"laucode","2421","flat",2566,"price_m2"
2020,"laucode","2421","flat",2659,"price_m2"
2021,"laucode","2421","flat",2839,"price_m2"
2022,"laucode","2421","flat",2953,"price_m2"
2023,"laucode","2421","flat",2697,"price_m2"
2024,"laucode","2421","flat",3322,"price_m2"
2013,"laucode","2421","house",444,"price_m2"
2014,"laucode","2421","house",421,"price_m2"
2015,"laucode","2421","house",463,"price_m2"
2016,"laucode","2421","house",493,"price_m2"
2017,"laucode","2421","house",534,"price_m2"
2018,"laucode","2421","house",567,"price_m2"
2019,"laucode","2421","house",611,"price_m2"
2020,"laucode","2421","house",633,"price_m2"
2021,"laucode","2421","house",676,"price_m2"
2022,"laucode","2421","house",703,"price_m2"
2023,"laucode","2421","house",642,"price_m2"
2024,"laucode","2421","house",791,"price_m2"
2013,"laucode","2422","all",526,"price_m2"
2014,"laucode","2422","all",457,"price_m2"
2015,"laucode","2422","all",481,"price_m2"
2016,"laucode","2422","all",495,"price_m2"
2017,"laucode","2422","all",520,"price_m2"
2018,"laucode","2422","all",536,"price_m2"
2019,"laucode","2422","all",520,"price_m2"
2020,"laucode","2422","all",570,"price_m2"
2021,"laucode","2422","all",630,"price_m2"
2022,"laucode","2422","all",684,"price_m2"
2023,"laucode","2422","all",712,"price_m2"
2024,"laucode","2422","all",965,"price_m2"
2013,"laucode","2422","flat",712,"price_m2"
2014,"laucode","2422","flat",619,"price_m2"
2015,"laucode","2422","flat",652,"price_m2"
2016,"laucode","2422","flat",671,"price_m2"
2017,"laucode","2422","flat",703,"price_m2"
2018,"laucode","2422","flat",725,"price_m2"
2019,"laucode","2422","flat",703,"price_m2"
2020,"laucode","2422","flat",771,"price_m2"
2021,"laucode","2422","flat",853,"price_m2"
2022,"laucode","2422","flat",926,"price_m2"
2023,"laucode","2422","flat",964,"price_m2"
2024,"laucode","2422","flat",1306,"price_m2"
2013,"laucode","2422","house",262,"price_m2"
2014,"laucode","2422","house",228,"price_m2"
2015,"laucode","2422","house",240,"price_m2"
2016,"laucode","2422","house",247,"price_m2"
2017,"laucode","2422","house",259,"price_m2"
2018,"laucode","2422","house",267,"price_m2"
2019,"laucode","2422","house",259,"price_m2"
2020,"laucode","2422","house",284,"price_m2"
2021,"laucode","2422","house",314,"price_m2"
2022,"laucode","2422","house",341,"price_m2"
2023,"laucode","2422","house",355,"price_m2"
2024,"laucode","2422","house",481,"price_m2"
2013,"laucode","2425","all",967,"price_m2"
2014,"laucode","2425","all",975,"price_m2"
2015,"laucode","2425","all",980,"price_m2"
2016,"laucode","2425","all",972,"price_m2"
2017,"laucode","2425","all",986,"price_m2"
2018,"laucode","2425","all",986,"price_m2"
2019,"laucode","2425","all",850,"price_m2"
2020,"laucode","2425","all",904,"price_m2"
2021,"laucode","2425","all",964,"price_m2"
2022,"laucode","2425","all",1010,"price_m2"
2023,"laucode","2425","all",945,"price_m2"
2024,"laucode","2425","all",1233,"price_m2"
2013,"laucode","2425","flat",967,"price_m2"
2014,"laucode","2425","flat",975,"price_m2"
2015,"laucode","2425","flat",980,"price_m2"
2016,"laucode","2425","flat",972,"price_m2"
2017,"laucode","2425","flat",986,"price_m2"
2018,"laucode","2425","flat",986,"price_m2"
2019,"laucode","2425","flat",850,"price_m2"
2020,"laucode","2425","flat",904,"price_m2"
2021,"laucode","2425","flat",964,"price_m2"
2022,"laucode","2425","flat",1010,"price_m2"
2023,"laucode","2425","flat",945,"price_m2"
2024,"laucode","2425","flat",1233,"price_m2"
2013,"laucode","2425","house",356,"price_m2"
2014,"laucode","2425","house",359,"price_m2"
2015,"laucode","2425","house",361,"price_m2"
2016,"laucode","2425","house",358,"price_m2"
2017,"laucode","2425","house",363,"price_m2"
2018,"laucode","2425","house",363,"price_m2"
2019,"laucode","2425","house",313,"price_m2"
2020,"laucode","2425","house",333,"price_m2"
2021,"laucode","2425","house",355,"price_m2"
2022,"laucode","2425","house",372,"price_m2"
2023,"laucode","2425","house",348,"price_m2"
2024,"laucode","2425","house",454,"price_m2"
2013,"laucode","2460","all",1904,"price_m2"
2014,"laucode","2460","all",1940,"price_m2"
2015,"laucode","2460","all",2124,"price_m2"
2016,"laucode","2460","all",2241,"price_m2"
2017,"laucode","2460","all",2399,"price_m2"
2018,"laucode","2460","all",2531,"price_m2"
2019,"laucode","2460","all",2666,"price_m2"
2020,"laucode","2460","all",2888,"price_m2"
2021,"laucode","2460","all",3171,"price_m2"
2022,"laucode","2460","all",3418,"price_m2"
2023,"laucode","2460","all",3454,"price_m2"
2024,"laucode","2460","all",3396,"price_m2"
2013,"laucode","2460","flat",2577,"price_m2"
2014,"laucode","2460","flat",2626,"price_m2"
2015,"laucode","2460","flat",2876,"price_m2"
2016,"laucode","2460","flat",3034,"price_m2"
2017,"laucode","2460","flat",3248,"price_m2"
2018,"laucode","2460","flat",3427,"price_m2"
2019,"laucode","2460","flat",3609,"price_m2"
2020,"laucode","2460","flat",3911,"price_m2"
2021,"laucode","2460","flat",4294,"price_m2"
2022,"laucode","2460","flat",4628,"price_m2"
2023,"laucode","2460","flat",4677,"price_m2"
2024,"laucode","2460","flat",4598,"price_m2"
2013,"laucode","2460","house",949,"price_m2"
2014,"laucode","2460","house",967,"price_m2"
2015,"laucode","2460","house",1059,"price_m2"
2016,"laucode","2460","house",1117,"price_m2"
2017,"laucode","2460","house",1196,"price_m2"
2018,"laucode","2460","house",1262,"price_m2"
2019,"laucode","2460","house",1329,"price_m2"
2020,"laucode","2460","house",1440,"price_m2"
2021,"laucode","2460","house",1581,"price_m2"
2022,"laucode","2460","house",1704,"price_m2"
2023,"laucode","2460","house",1722,"price_m2"
2024,"laucode","2460","house",1693,"price_m2"
2013,"laucode","2462","all",384,"price_m2"
2014,"laucode","2462","all",380,"price_m2"
2015,"laucode","2462","all",401,"price_m2"
2016,"laucode","2462","all",411,"price_m2"
2017,"laucode","2462","all",429,"price_m2"
2018,"laucode","2462","all",443,"price_m2"
2019,"laucode","2462","all",434,"price_m2"
2020,"laucode","2462","all",466,"price_m2"
2021,"laucode","2462","all",506,"price_m2"
2022,"laucode","2462","all",540,"price_m2"
2023,"laucode","2462","all",528,"price_m2"
2024,"laucode","2462","all",547,"price_m2"
2013,"laucode","2462","flat",669,"price_m2"
2014,"laucode","2462","flat",662,"price_m2"
2015,"laucode","2462","flat",698,"price_m2"
2016,"laucode","2462","flat",716,"price_m2"
2017,"laucode","2462","flat",747,"price_m2"
2018,"laucode","2462","flat",772,"price_m2"
2019,"laucode","2462","flat",756,"price_m2"
2020,"laucode","2462","flat",812,"price_m2"
2021,"laucode","2462","flat",881,"price_m2"
2022,"laucode","2462","flat",941,"price_m2"
2023,"laucode","2462","flat",920,"price_m2"
2024,"laucode","2462","flat",953,"price_m2"
2013,"laucode","2462","house",384,"price_m2"
2014,"laucode","2462","house",380,"price_m2"
2015,"laucode","2462","house",401,"price_m2"
2016,"laucode","2462","house",411,"price_m2"
2017,"laucode","2462","house",429,"price_m2"
2018,"laucode","2462","house",443,"price_m2"
2019,"laucode","2462","house",434,"price_m2"
2020,"laucode","2462","house",466,"price_m2"
2021,"laucode","2462","house",506,"price_m2"
2022,"laucode","2462","house",540,"price_m2"
2023,"laucode","2462","house",528,"price_m2"
2024,"laucode","2462","house",547,"price_m2"
2013,"laucode","2463","all",253,"price_m2"
2014,"laucode","2463","all",237,"price_m2"
2015,"laucode","2463","all",242,"price_m2"
2016,"laucode","2463","all",242,"price_m2"
2017,"laucode","2463","all",248,"price_m2"
2018,"laucode","2463","all",249,"price_m2"
2019,"laucode","2463","all",223,"price_m2"
2020,"laucode","2463","all",240,"price_m2"
2021,"laucode","2463","all",262,"price_m2"
