"year","type","nuts","value","level","measure"
2019,"house","0138",3963,"laucode","price"
2020,"all","0138",5196,"laucode","price"
2020,"flat","0138",6661,"laucode","price"
2020,"house","0138",4248,"laucode","price"
2021,"all","0138",6155,"laucode","price"
2021,"flat","0138",7891,"laucode","price"
2021,"house","0138",5032,"laucode","price"
2022,"all","0138",6408,"laucode","price"
2022,"flat","0138",8215,"laucode","price"
2022,"house","0138",5195,"laucode","price"
2023,"all","0138",5758,"laucode","price"
2023,"flat","0138",7405,"laucode","price"
2023,"house","0138",4619,"laucode","price"
2024,"all","0138",5803,"laucode","price"
2024,"flat","0138",7487,"laucode","price"
2024,"house","0138",4605,"laucode","price"
2013,"all","0139",2612,"laucode","price"
2013,"flat","0139",3379,"laucode","price"
2013,"house","0139",2085,"laucode","price"
2014,"all","0139",2909,"laucode","price"
2014,"flat","0139",3763,"laucode","price"
2014,"house","0139",2341,"laucode","price"
2015,"all","0139",3312,"laucode","price"
2015,"flat","0139",4284,"laucode","price"
2015,"house","0139",2665,"laucode","price"
2016,"all","0139",3605,"laucode","price"
2016,"flat","0139",4662,"laucode","price"
2016,"house","0139",2876,"laucode","price"
2017,"all","0139",3855,"laucode","price"
2017,"flat","0139",5002,"laucode","price"
2017,"house","0139",3043,"laucode","price"
2018,"all","0139",3698,"laucode","price"
2018,"flat","0139",4814,"laucode","price"
2018,"house","0139",2888,"laucode","price"
2019,"all","0139",3710,"laucode","price"
2019,"flat","0139",4778,"laucode","price"
2019,"house","0139",2866,"laucode","price"
2020,"all","0139",4113,"laucode","price"
2020,"flat","0139",5352,"laucode","price"
2020,"house","0139",3072,"laucode","price"
2021,"all","0139",4928,"laucode","price"
2021,"flat","0139",6339,"laucode","price"
2021,"house","0139",3639,"laucode","price"
2022,"all","0139",5130,"laucode","price"
2022,"flat","0139",6700,"laucode","price"
2022,"house","0139",3789,"laucode","price"
2023,"all","0139",4562,"laucode","price"
2023,"flat","0139",5957,"laucode","price"
2023,"house","0139",3369,"laucode","price"
2024,"all","0139",4601,"laucode","price"
2024,"flat","0139",5939,"laucode","price"
2024,"house","0139",3386,"laucode","price"
2013,"all","0140",2587,"laucode","price"
2013,"flat","0140",4714,"laucode","price"
2013,"house","0140",2026,"laucode","price"
2014,"all","0140",2881,"laucode","price"
2014,"flat","0140",5167,"laucode","price"
2014,"house","0140",2256,"laucode","price"
2015,"all","0140",3311,"laucode","price"
2015,"flat","0140",5792,"laucode","price"
2015,"house","0140",2569,"laucode","price"
2016,"all","0140",3604,"laucode","price"
2016,"flat","0140",6304,"laucode","price"
2016,"house","0140",2795,"laucode","price"
2017,"all","0140",3813,"laucode","price"
2017,"flat","0140",6774,"laucode","price"
2017,"house","0140",2958,"laucode","price"
2018,"all","0140",3654,"laucode","price"
2018,"flat","0140",6428,"laucode","price"
2018,"house","0140",2807,"laucode","price"
2019,"all","0140",3626,"laucode","price"
2019,"flat","0140",6380,"laucode","price"
2019,"house","0140",2809,"laucode","price"
2020,"all","0140",3888,"laucode","price"
2020,"flat","0140",6839,"laucode","price"
2020,"house","0140",2986,"laucode","price"
2021,"all","0140",4605,"laucode","price"
2021,"flat","0140",8101,"laucode","price"
2021,"house","0140",3567,"laucode","price"
2022,"all","0140",4939,"laucode","price"
2022,"flat","0140",8996,"laucode","price"
2022,"house","0140",3683,"laucode","price"
2023,"all","0140",4577,"laucode","price"
2023,"flat","0140",8420,"laucode","price"
2023,"house","0140",3274,"laucode","price"
2024,"all","0140",4515,"laucode","price"
2024,"flat","0140",8394,"laucode","price"
2024,"house","0140",3237,"laucode","price"
2013,"all","0160",4306,"laucode","price"
2013,"flat","0160",6114,"laucode","price"
2013,"house","0160",3377,"laucode","price"
2014,"all","0160",4796,"laucode","price"
2014,"flat","0160",6809,"laucode","price"
2014,"house","0160",3760,"laucode","price"
2015,"all","0160",5459,"laucode","price"
2015,"flat","0160",7752,"laucode","price"
2015,"house","0160",4281,"laucode","price"
2016,"all","0160",5997,"laucode","price"
2016,"flat","0160",8549,"laucode","price"
2016,"house","0160",4659,"laucode","price"
2017,"all","0160",6405,"laucode","price"
2017,"flat","0160",9045,"laucode","price"
2017,"house","0160",4930,"laucode","price"
2018,"all","0160",6136,"laucode","price"
2018,"flat","0160",8699,"laucode","price"
2018,"house","0160",4678,"laucode","price"
2019,"all","0160",6090,"laucode","price"
2019,"flat","0160",8634,"laucode","price"
2019,"house","0160",4642,"laucode","price"
2020,"all","0160",6591,"laucode","price"
2020,"flat","0160",9382,"laucode","price"
2020,"house","0160",4977,"laucode","price"
2021,"all","0160",7883,"laucode","price"
2021,"flat","0160",11268,"laucode","price"
2021,"house","0160",5895,"laucode","price"
2022,"all","0160",8288,"laucode","price"
2022,"flat","0160",11731,"laucode","price"
2022,"house","0160",6137,"laucode","price"
2023,"all","0160",7441,"laucode","price"
2023,"flat","0160",10577,"laucode","price"
2023,"house","0160",5457,"laucode","price"
2024,"all","0160",7493,"laucode","price"
2024,"flat","0160",10545,"laucode","price"
2024,"house","0160",5440,"laucode","price"
2013,"all","0162",5462,"laucode","price"
2013,"flat","0162",8413,"laucode","price"
2013,"house","0162",4586,"laucode","price"
2014,"all","0162",6083,"laucode","price"
2014,"flat","0162",9368,"laucode","price"
2014,"house","0162",5106,"laucode","price"
2015,"all","0162",6925,"laucode","price"
2015,"flat","0162",10666,"laucode","price"
2015,"house","0162",5813,"laucode","price"
2016,"all","0162",7537,"laucode","price"
2016,"flat","0162",11608,"laucode","price"
2016,"house","0162",6327,"laucode","price"
2017,"all","0162",7974,"laucode","price"
2017,"flat","0162",12282,"laucode","price"
2017,"house","0162",6695,"laucode","price"
2018,"all","0162",7632,"laucode","price"
2018,"flat","0162",11818,"laucode","price"
2018,"house","0162",6352,"laucode","price"
2019,"all","0162",7575,"laucode","price"
2019,"flat","0162",11729,"laucode","price"
2019,"house","0162",6305,"laucode","price"
2020,"all","0162",8120,"laucode","price"
