nuts,year,type.of.building,value,level
SE312,2015,all,93.9687253146922,nuts3
SE312,2015,flat,63.8367192600161,nuts3
SE312,2015,house,114.060357846691,nuts3
SE312,2015,other,72.3658880170029,nuts3
SE313,2015,all,91.569292528976,nuts3
SE313,2015,flat,64.4451296000639,nuts3
SE313,2015,house,114.156602050877,nuts3
SE313,2015,other,75.3969164312026,nuts3
SE321,2015,all,94.7928819906069,nuts3
SE321,2015,flat,67.1269076272927,nuts3
SE321,2015,house,118.720719961431,nuts3
SE321,2015,other,73.8111982797189,nuts3
SE322,2015,all,92.5722036270312,nuts3
SE322,2015,flat,65.9704414970031,nuts3
SE322,2015,house,113.219758299201,nuts3
SE322,2015,other,67.5992254113735,nuts3
SE331,2015,all,94.3155637684796,nuts3
SE331,2015,flat,67.1710406341695,nuts3
SE331,2015,house,120.263513296692,nuts3
SE331,2015,other,70.9103239058031,nuts3
SE332,2015,all,91.4547261523925,nuts3
SE332,2015,flat,65.2245553942771,nuts3
SE332,2015,house,114.376836251883,nuts3
SE332,2015,other,71.0093773196322,nuts3
SE121,2015,all,93.9218580351052,nuts3
SE121,2015,flat,68.9596147623171,nuts3
SE121,2015,house,121.642414292875,nuts3
SE121,2015,other,76.3974096486343,nuts3
SE122,2015,all,91.0829690735087,nuts3
SE122,2015,flat,68.049253790811,nuts3
SE122,2015,house,117.854222493256,nuts3
SE122,2015,other,75.7556438674132,nuts3
SE123,2015,all,91.8372686553352,nuts3
SE123,2015,flat,68.5694940750071,nuts3
SE123,2015,house,120.571053315893,nuts3
SE123,2015,other,74.4608538286073,nuts3
SE211,2015,all,100.626595514567,nuts3
SE211,2015,flat,68.28799411782,nuts3
SE211,2015,house,126.103057135352,nuts3
SE211,2015,other,75.5682977524345,nuts3
SE212,2015,all,103.196710627052,nuts3
SE212,2015,flat,68.0690287250009,nuts3
SE212,2015,house,125.68974362517,nuts3
SE212,2015,other,75.990964087696,nuts3
SE213,2015,all,97.599568514955,nuts3
SE213,2015,flat,66.6809789375078,nuts3
SE213,2015,house,118.401695851989,nuts3
SE213,2015,other,77.1282950177107,nuts3
SE214,2015,all,94.4,nuts3
SE214,2015,flat,66.8,nuts3
SE214,2015,house,110,nuts3
SE214,2015,other,78.4,nuts3
SE221,2016,all,95.4220239701223,nuts3
SE221,2016,flat,64.8193884153904,nuts3
SE221,2016,house,117.51403074781,nuts3
SE221,2016,other,75.2495516394807,nuts3
SE110,2016,all,84.6719362073811,nuts3
SE110,2016,flat,67.9323284926283,nuts3
SE110,2016,house,123.338070174485,nuts3
SE110,2016,other,69.3209784321336,nuts3
SE224,2016,all,96.1566496629177,nuts3
SE224,2016,flat,69.148974128522,nuts3
SE224,2016,house,123.967462289429,nuts3
SE224,2016,other,79.8277806099668,nuts3
SE231,2016,all,103.468518988148,nuts3
SE231,2016,flat,69.1553013380832,nuts3
SE231,2016,house,124.224103763821,nuts3
SE231,2016,other,75.0698933340035,nuts3
SE232,2016,all,91.6317511725829,nuts3
SE232,2016,flat,66.3850670174293,nuts3
SE232,2016,house,119.515704866539,nuts3
SE232,2016,other,72.7652559232512,nuts3
SE311,2016,all,94.3617715098453,nuts3
SE311,2016,flat,65.2430057236884,nuts3
SE311,2016,house,117.989784808088,nuts3
SE311,2016,other,72.2979713141866,nuts3
