"year","level","code","type.of.building","value","measure"
2018,"laucode","821","all",531,"offer_pricem2"
2018,"laucode","821","house",531,"offer_pricem2"
2018,"laucode","834","all",742,"offer_pricem2"
2018,"laucode","834","flat",276,"offer_pricem2"
2018,"laucode","834","house",749,"offer_pricem2"
2018,"laucode","840","all",1858,"offer_pricem2"
2018,"laucode","840","flat",933,"offer_pricem2"
2018,"laucode","840","house",1904,"offer_pricem2"
2018,"laucode","860","all",495,"offer_pricem2"
2018,"laucode","860","flat",812,"offer_pricem2"
2018,"laucode","860","house",494,"offer_pricem2"
2018,"laucode","861","all",878,"offer_pricem2"
2018,"laucode","861","house",878,"offer_pricem2"
2018,"laucode","862","all",644,"offer_pricem2"
2018,"laucode","862","house",644,"offer_pricem2"
2018,"laucode","880","all",2211,"offer_pricem2"
2018,"laucode","880","flat",2235,"offer_pricem2"
2018,"laucode","880","house",2043,"offer_pricem2"
2018,"laucode","881","all",993,"offer_pricem2"
2018,"laucode","881","flat",945,"offer_pricem2"
2018,"laucode","881","house",1007,"offer_pricem2"
2018,"laucode","882","all",1391,"offer_pricem2"
2018,"laucode","882","flat",1322,"offer_pricem2"
2018,"laucode","882","house",1438,"offer_pricem2"
2018,"laucode","883","all",1924,"offer_pricem2"
2018,"laucode","883","flat",1225,"offer_pricem2"
2018,"laucode","883","house",1952,"offer_pricem2"
2018,"laucode","884","all",917,"offer_pricem2"
2018,"laucode","884","flat",956,"offer_pricem2"
2018,"laucode","884","house",915,"offer_pricem2"
2018,"laucode","885","all",2133,"offer_pricem2"
2018,"laucode","885","flat",2201,"offer_pricem2"
2018,"laucode","885","house",2016,"offer_pricem2"
2018,"laucode","980","all",3199,"offer_pricem2"
2018,"laucode","980","flat",3327,"offer_pricem2"
2018,"laucode","980","house",2623,"offer_pricem2"
2018,"laucode","1060","all",796,"offer_pricem2"
2018,"laucode","1060","flat",502,"offer_pricem2"
2018,"laucode","1060","house",798,"offer_pricem2"
2018,"laucode","1080","all",2456,"offer_pricem2"
2018,"laucode","1080","flat",2602,"offer_pricem2"
2018,"laucode","1080","house",2207,"offer_pricem2"
2018,"laucode","1081","all",1141,"offer_pricem2"
2018,"laucode","1081","flat",1540,"offer_pricem2"
2018,"laucode","1081","house",1141,"offer_pricem2"
2018,"laucode","1082","all",1278,"offer_pricem2"
2018,"laucode","1082","flat",962,"offer_pricem2"
2018,"laucode","1082","house",1438,"offer_pricem2"
2018,"laucode","1083","all",1510,"offer_pricem2"
2018,"laucode","1083","flat",1118,"offer_pricem2"
