"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","laucode","type"
"haljala vald","Haljala rural municipality",2005,"dwelling",1334,"EE009","EE006",191,"all"
"haljala vald","Vihula rural municipality",2003,"dwelling",1585,"EE009","EE006",191,"all"
"haljala vald","Vihula rural municipality",2004,"dwelling",1604,"EE009","EE006",191,"all"
"haljala vald","Vihula rural municipality",2005,"dwelling",1620,"EE009","EE006",191,"all"
"haljala vald","Haljala rural municipality",2006,"dwelling",1349,"EE009","EE006",191,"all"
"haljala vald","Haljala rural municipality",2007,"dwelling",1349,"EE009","EE006",191,"all"
"haljala vald","Vihula rural municipality",2006,"dwelling",2249,"EE009","EE006",191,"all"
"haljala vald","Vihula rural municipality",2007,"dwelling",2261,"EE009","EE006",191,"all"
"harku vald","Harku rural municipality",2003,"dwelling",2366,"EE001","EE001",198,"all"
"harku vald","Harku rural municipality",2004,"dwelling",2543,"EE001","EE001",198,"all"
"harku vald","Harku rural municipality",2005,"dwelling",2771,"EE001","EE001",198,"all"
"harku vald","Harku rural municipality",2006,"dwelling",5433,"EE001","EE001",198,"all"
"harku vald","Harku rural municipality",2007,"dwelling",5560,"EE001","EE001",198,"all"
"hiiumaa vald","Emmaste rural municipality",2003,"dwelling",647,"EE004","EE004",205,"all"
"hiiumaa vald","Emmaste rural municipality",2004,"dwelling",650,"EE004","EE004",205,"all"
"hiiumaa vald","Emmaste rural municipality",2005,"dwelling",654,"EE004","EE004",205,"all"
"hiiumaa vald","Käina rural municipality",2003,"dwelling",1087,"EE004","EE004",205,"all"
"hiiumaa vald","Käina rural municipality",2004,"dwelling",1094,"EE004","EE004",205,"all"
"hiiumaa vald","Käina rural municipality",2005,"dwelling",1100,"EE004","EE004",205,"all"
"hiiumaa vald","Kärdla city",2003,"dwelling",1689,"EE004","EE004",205,"all"
"hiiumaa vald","Kärdla city",2004,"dwelling",1713,"EE004","EE004",205,"all"
"hiiumaa vald","Kärdla city",2005,"dwelling",1717,"EE004","EE004",205,"all"
"hiiumaa vald","Kõrgessaare rural municipality",2003,"dwelling",818,"EE004","EE004",205,"all"
"hiiumaa vald","Kõrgessaare rural municipality",2004,"dwelling",847,"EE004","EE004",205,"all"
"hiiumaa vald","Kõrgessaare rural municipality",2005,"dwelling",885,"EE004","EE004",205,"all"
"hiiumaa vald","Pühalepa rural municipality",2003,"dwelling",917,"EE004","EE004",205,"all"
"hiiumaa vald","Pühalepa rural municipality",2004,"dwelling",921,"EE004","EE004",205,"all"
"hiiumaa vald","Pühalepa rural municipality",2005,"dwelling",929,"EE004","EE004",205,"all"
"hiiumaa vald","Emmaste rural municipality",2006,"dwelling",670,"EE004","EE004",205,"all"
"hiiumaa vald","Emmaste rural municipality",2007,"dwelling",671,"EE004","EE004",205,"all"
"hiiumaa vald","Käina rural municipality",2006,"dwelling",1156,"EE004","EE004",205,"all"
"hiiumaa vald","Käina rural municipality",2007,"dwelling",1164,"EE004","EE004",205,"all"
"hiiumaa vald","Kärdla city",2006,"dwelling",1723,"EE004","EE004",205,"all"
"hiiumaa vald","Kärdla city",2007,"dwelling",1725,"EE004","EE004",205,"all"
"hiiumaa vald","Kõrgessaare rural municipality",2006,"dwelling",907,"EE004","EE004",205,"all"
"hiiumaa vald","Kõrgessaare rural municipality",2007,"dwelling",911,"EE004","EE004",205,"all"
"hiiumaa vald","Pühalepa rural municipality",2006,"dwelling",958,"EE004","EE004",205,"all"
"hiiumaa vald","Pühalepa rural municipality",2007,"dwelling",958,"EE004","EE004",205,"all"
"häädemeeste vald","Häädemeeste rural municipality",2003,"dwelling",1128,"EE004","EE004",214,"all"
"häädemeeste vald","Häädemeeste rural municipality",2004,"dwelling",1155,"EE004","EE004",214,"all"
"häädemeeste vald","Häädemeeste rural municipality",2005,"dwelling",1166,"EE004","EE004",214,"all"
"häädemeeste vald","Tahkuranna rural municipality",2003,"dwelling",681,"EE004","EE004",214,"all"
"häädemeeste vald","Tahkuranna rural municipality",2004,"dwelling",770,"EE004","EE004",214,"all"
"häädemeeste vald","Tahkuranna rural municipality",2005,"dwelling",860,"EE004","EE004",214,"all"
"häädemeeste vald","Häädemeeste rural municipality",2006,"dwelling",1303,"EE004","EE004",214,"all"
"häädemeeste vald","Häädemeeste rural municipality",2007,"dwelling",1303,"EE004","EE004",214,"all"
"häädemeeste vald","Tahkuranna rural municipality",2006,"dwelling",903,"EE004","EE004",214,"all"
"häädemeeste vald","Tahkuranna rural municipality",2007,"dwelling",908,"EE004","EE004",214,"all"
"jõelähtme vald","Jõelähtme rural municipality",2003,"dwelling",2051,"EE001","EE001",245,"all"
"jõelähtme vald","Jõelähtme rural municipality",2004,"dwelling",2136,"EE001","EE001",245,"all"
"jõelähtme vald","Jõelähtme rural municipality",2005,"dwelling",2145,"EE001","EE001",245,"all"
"jõelähtme vald","Jõelähtme rural municipality",2006,"dwelling",2751,"EE001","EE001",245,"all"
"jõelähtme vald","Jõelähtme rural municipality",2007,"dwelling",2825,"EE001","EE001",245,"all"
"jõgeva vald","Jõgeva city",2003,"dwelling",2970,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva city",2004,"dwelling",2965,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva city",2005,"dwelling",2976,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva rural municipality",2003,"dwelling",2223,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva rural municipality",2004,"dwelling",2229,"EE008","EE008",247,"all"
"jõgeva vald","Jõgeva rural municipality",2005,"dwelling",2255,"EE008","EE008",247,"all"
"jõgeva vald","Palamuse rural municipality",2003,"dwelling",895,"EE008","EE008",247,"all"
"jõgeva vald","Palamuse rural municipality",2004,"dwelling",902,"EE008","EE008",247,"all"
"jõgeva vald","Palamuse rural municipality",2005,"dwelling",909,"EE008","EE008",247,"all"
"jõgeva vald","Torma rural municipality",2003,"dwelling",942,"EE008","EE008",247,"all"
