"laucode","year","NUTS 3 CODE 2021","NUTS 3 CODE 2016","indicator","value"
191,2011,"EE009","EE006","totalm2_101_150sqm",414
191,2021,"EE009","EE006","totalm2_101_150sqm",448
191,2000,"EE009","EE006","totalm2_>150sqm",214
191,2011,"EE009","EE006","totalm2_>150sqm",562
191,2021,"EE009","EE006","totalm2_>150sqm",482
191,2000,"EE009","EE006","totalm2_data_missing",98
191,2011,"EE009","EE006","totalm2_data_missing",164
191,2021,"EE009","EE006","totalm2_data_missing",46
198,2000,"EE001","EE001","totalm2_<60sqm",224
198,2011,"EE001","EE001","totalm2_<60sqm",154
198,2021,"EE001","EE001","totalm2_<60sqm",302
198,2000,"EE001","EE001","totalm2_<60sqm",586
198,2011,"EE001","EE001","totalm2_<60sqm",584
198,2021,"EE001","EE001","totalm2_<60sqm",922
198,2000,"EE001","EE001","totalm2_<60sqm",1056
198,2011,"EE001","EE001","totalm2_<60sqm",1074
198,2021,"EE001","EE001","totalm2_<60sqm",1578
198,2000,"EE001","EE001","totalm2_<60sqm",702
198,2011,"EE001","EE001","totalm2_<60sqm",900
198,2021,"EE001","EE001","totalm2_<60sqm",1240
198,2000,"EE001","EE001","totalm2_61_100sqm",558
198,2011,"EE001","EE001","totalm2_61_100sqm",808
198,2021,"EE001","EE001","totalm2_61_100sqm",1110
198,2000,"EE001","EE001","totalm2_61_100sqm",316
198,2011,"EE001","EE001","totalm2_61_100sqm",578
198,2021,"EE001","EE001","totalm2_61_100sqm",868
198,2000,"EE001","EE001","totalm2_61_100sqm",384
198,2011,"EE001","EE001","totalm2_61_100sqm",780
198,2021,"EE001","EE001","totalm2_61_100sqm",1512
198,2000,"EE001","EE001","totalm2_101_150sqm",276
198,2011,"EE001","EE001","totalm2_101_150sqm",1188
198,2021,"EE001","EE001","totalm2_101_150sqm",1674
198,2000,"EE001","EE001","totalm2_101_150sqm",226
198,2011,"EE001","EE001","totalm2_101_150sqm",1488
198,2021,"EE001","EE001","totalm2_101_150sqm",1856
198,2000,"EE001","EE001","totalm2_>150sqm",484
198,2011,"EE001","EE001","totalm2_>150sqm",3326
198,2021,"EE001","EE001","totalm2_>150sqm",3060
198,2000,"EE001","EE001","totalm2_data_missing",236
198,2011,"EE001","EE001","totalm2_data_missing",76
198,2021,"EE001","EE001","totalm2_data_missing",128
205,2000,"EE004","EE004","totalm2_<60sqm",300
205,2011,"EE004","EE004","totalm2_<60sqm",182
205,2021,"EE004","EE004","totalm2_<60sqm",262
205,2000,"EE004","EE004","totalm2_<60sqm",704
205,2011,"EE004","EE004","totalm2_<60sqm",560
205,2021,"EE004","EE004","totalm2_<60sqm",700
205,2000,"EE004","EE004","totalm2_<60sqm",1316
205,2011,"EE004","EE004","totalm2_<60sqm",1238
205,2021,"EE004","EE004","totalm2_<60sqm",1266
205,2000,"EE004","EE004","totalm2_<60sqm",1438
205,2011,"EE004","EE004","totalm2_<60sqm",1114
205,2021,"EE004","EE004","totalm2_<60sqm",1420
205,2000,"EE004","EE004","totalm2_61_100sqm",1672
205,2011,"EE004","EE004","totalm2_61_100sqm",1602
205,2021,"EE004","EE004","totalm2_61_100sqm",1632
205,2000,"EE004","EE004","totalm2_61_100sqm",1146
205,2011,"EE004","EE004","totalm2_61_100sqm",1174
205,2021,"EE004","EE004","totalm2_61_100sqm",1330
205,2000,"EE004","EE004","totalm2_61_100sqm",1378
205,2011,"EE004","EE004","totalm2_61_100sqm",1384
205,2021,"EE004","EE004","totalm2_61_100sqm",1608
205,2000,"EE004","EE004","totalm2_101_150sqm",770
205,2011,"EE004","EE004","totalm2_101_150sqm",1054
205,2021,"EE004","EE004","totalm2_101_150sqm",1010
205,2000,"EE004","EE004","totalm2_101_150sqm",450
205,2011,"EE004","EE004","totalm2_101_150sqm",716
205,2021,"EE004","EE004","totalm2_101_150sqm",776
205,2000,"EE004","EE004","totalm2_>150sqm",352
205,2011,"EE004","EE004","totalm2_>150sqm",798
205,2021,"EE004","EE004","totalm2_>150sqm",824
205,2000,"EE004","EE004","totalm2_data_missing",482
205,2011,"EE004","EE004","totalm2_data_missing",54
205,2021,"EE004","EE004","totalm2_data_missing",106
214,2000,"EE004","EE004","totalm2_<60sqm",148
214,2011,"EE004","EE004","totalm2_<60sqm",82
214,2021,"EE004","EE004","totalm2_<60sqm",104
214,2000,"EE004","EE004","totalm2_<60sqm",236
214,2011,"EE004","EE004","totalm2_<60sqm",150
214,2021,"EE004","EE004","totalm2_<60sqm",180
214,2000,"EE004","EE004","totalm2_<60sqm",538
214,2011,"EE004","EE004","totalm2_<60sqm",414
