"Location","Year","Indicator","dwellings"
"..Raasiku rural municipality","2011","Number of dwellings",1685
"..Raasiku rural municipality","2011","Number of dwellings for which the number of rooms was recorded",1685
"..Raasiku rural municipality","2011","Total number of rooms",6112
"..Raasiku rural municipality","2011","Average number of rooms per inhabitant",1.34
"..Raasiku rural municipality","2021","Number of dwellings",1881
"..Raasiku rural municipality","2021","Number of dwellings for which the number of rooms was recorded",1855
"..Raasiku rural municipality","2021","Total number of rooms",6586
"..Raasiku rural municipality","2021","Average number of rooms per inhabitant",1.3
"..Rae rural municipality","2000","Number of dwellings",2745
"..Rae rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2729
"..Rae rural municipality","2000","Total number of rooms",8082
"..Rae rural municipality","2000","Average number of rooms per inhabitant",1.03
"..Rae rural municipality","2011","Number of dwellings",5552
"..Rae rural municipality","2011","Number of dwellings for which the number of rooms was recorded",5549
"..Rae rural municipality","2011","Total number of rooms",19269
"..Rae rural municipality","2011","Average number of rooms per inhabitant",1.23
"..Rae rural municipality","2021","Number of dwellings",7218
"..Rae rural municipality","2021","Number of dwellings for which the number of rooms was recorded",7163
"..Rae rural municipality","2021","Total number of rooms",26047
"..Rae rural municipality","2021","Average number of rooms per inhabitant",1.18
"..Saku rural municipality","2000","Number of dwellings",2610
"..Saku rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2603
"..Saku rural municipality","2000","Total number of rooms",7795
"..Saku rural municipality","2000","Average number of rooms per inhabitant",1.08
"..Saku rural municipality","2011","Number of dwellings",3426
"..Saku rural municipality","2011","Number of dwellings for which the number of rooms was recorded",3421
"..Saku rural municipality","2011","Total number of rooms",12584
"..Saku rural municipality","2011","Average number of rooms per inhabitant",1.33
"..Saku rural municipality","2021","Number of dwellings",3915
"..Saku rural municipality","2021","Number of dwellings for which the number of rooms was recorded",3875
"..Saku rural municipality","2021","Total number of rooms",13526
"..Saku rural municipality","2021","Average number of rooms per inhabitant",1.25
"..Saue rural municipality","2000","Number of dwellings",6342
"..Saue rural municipality","2000","Number of dwellings for which the number of rooms was recorded",6317
"..Saue rural municipality","2000","Total number of rooms",18355
"..Saue rural municipality","2000","Average number of rooms per inhabitant",1.08
"..Saue rural municipality","2011","Number of dwellings",7860
"..Saue rural municipality","2011","Number of dwellings for which the number of rooms was recorded",7852
"..Saue rural municipality","2011","Total number of rooms",27151
"..Saue rural municipality","2011","Average number of rooms per inhabitant",1.29
"..Saue rural municipality","2021","Number of dwellings",8909
"..Saue rural municipality","2021","Number of dwellings for which the number of rooms was recorded",8783
"..Saue rural municipality","2021","Total number of rooms",28939
"..Saue rural municipality","2021","Average number of rooms per inhabitant",1.22
"....Saue city as a settlement unit","2000","Number of dwellings",1738
"....Saue city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1728
"....Saue city as a settlement unit","2000","Total number of rooms",5520
"....Saue city as a settlement unit","2000","Average number of rooms per inhabitant",1.11
"....Saue city as a settlement unit","2011","Number of dwellings",2007
"....Saue city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",2006
"....Saue city as a settlement unit","2011","Total number of rooms",7188
"....Saue city as a settlement unit","2011","Average number of rooms per inhabitant",1.31
"....Saue city as a settlement unit","2021","Number of dwellings",2173
"....Saue city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",2135
"....Saue city as a settlement unit","2021","Total number of rooms",7218
"....Saue city as a settlement unit","2021","Average number of rooms per inhabitant",1.26
"....Saue rural municipality, excl. Saue city as a settlement unit","2000","Number of dwellings",4604
"....Saue rural municipality, excl. Saue city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",4589
"....Saue rural municipality, excl. Saue city as a settlement unit","2000","Total number of rooms",12835
"....Saue rural municipality, excl. Saue city as a settlement unit","2000","Average number of rooms per inhabitant",1.07
"....Saue rural municipality, excl. Saue city as a settlement unit","2011","Number of dwellings",5853
"....Saue rural municipality, excl. Saue city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",5846
"....Saue rural municipality, excl. Saue city as a settlement unit","2011","Total number of rooms",19963
"....Saue rural municipality, excl. Saue city as a settlement unit","2011","Average number of rooms per inhabitant",1.28
"....Saue rural municipality, excl. Saue city as a settlement unit","2021","Number of dwellings",6736
"....Saue rural municipality, excl. Saue city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",6648
"....Saue rural municipality, excl. Saue city as a settlement unit","2021","Total number of rooms",21721
"....Saue rural municipality, excl. Saue city as a settlement unit","2021","Average number of rooms per inhabitant",1.21
"..Viimsi rural municipality","2000","Number of dwellings",2632
"..Viimsi rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2614
"..Viimsi rural municipality","2000","Total number of rooms",9458
"..Viimsi rural municipality","2000","Average number of rooms per inhabitant",1.22
"..Viimsi rural municipality","2011","Number of dwellings",6499
"..Viimsi rural municipality","2011","Number of dwellings for which the number of rooms was recorded",6494
"..Viimsi rural municipality","2011","Total number of rooms",25317
"..Viimsi rural municipality","2011","Average number of rooms per inhabitant",1.38
"..Viimsi rural municipality","2021","Number of dwellings",7702
"..Viimsi rural municipality","2021","Number of dwellings for which the number of rooms was recorded",7660
"..Viimsi rural municipality","2021","Total number of rooms",27938
"..Viimsi rural municipality","2021","Average number of rooms per inhabitant",1.3
"HIIU COUNTY","2000","Number of dwellings",3889
"HIIU COUNTY","2000","Number of dwellings for which the number of rooms was recorded",3886
"HIIU COUNTY","2000","Total number of rooms",12802
"HIIU COUNTY","2000","Average number of rooms per inhabitant",1.25
"HIIU COUNTY","2011","Number of dwellings",3571
"HIIU COUNTY","2011","Number of dwellings for which the number of rooms was recorded",3570
"HIIU COUNTY","2011","Total number of rooms",12836
"HIIU COUNTY","2011","Average number of rooms per inhabitant",1.53
"HIIU COUNTY","2021","Number of dwellings",3886
"HIIU COUNTY","2021","Number of dwellings for which the number of rooms was recorded",3857
"HIIU COUNTY","2021","Total number of rooms",13262
"HIIU COUNTY","2021","Average number of rooms per inhabitant",1.59
"..Hiiu county: city settlement region","2000","Number of dwellings",0
"..Hiiu county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",0
"..Hiiu county: city settlement region","2000","Total number of rooms",0
"..Hiiu county: city settlement region","2000","Average number of rooms per inhabitant",0
"..Hiiu county: city settlement region","2011","Number of dwellings",0
"..Hiiu county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",0
"..Hiiu county: city settlement region","2011","Total number of rooms",0
"..Hiiu county: city settlement region","2011","Average number of rooms per inhabitant",0
"..Hiiu county: city settlement region","2021","Number of dwellings",0
"..Hiiu county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",0
"..Hiiu county: city settlement region","2021","Total number of rooms",0
"..Hiiu county: city settlement region","2021","Average number of rooms per inhabitant",0
"..Hiiu county: town settlement region","2000","Number of dwellings",0
"..Hiiu county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",0
"..Hiiu county: town settlement region","2000","Total number of rooms",0
"..Hiiu county: town settlement region","2000","Average number of rooms per inhabitant",0
"..Hiiu county: town settlement region","2011","Number of dwellings",0
"..Hiiu county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",0
"..Hiiu county: town settlement region","2011","Total number of rooms",0
"..Hiiu county: town settlement region","2011","Average number of rooms per inhabitant",0
"..Hiiu county: town settlement region","2021","Number of dwellings",0
"..Hiiu county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",0
"..Hiiu county: town settlement region","2021","Total number of rooms",0
"..Hiiu county: town settlement region","2021","Average number of rooms per inhabitant",0
"..Hiiu county: rural settlement region","2000","Number of dwellings",3889
"..Hiiu county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",3886
"..Hiiu county: rural settlement region","2000","Total number of rooms",12802
"..Hiiu county: rural settlement region","2000","Average number of rooms per inhabitant",1.25
"..Hiiu county: rural settlement region","2011","Number of dwellings",3571
"..Hiiu county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",3570
"..Hiiu county: rural settlement region","2011","Total number of rooms",12836
"..Hiiu county: rural settlement region","2011","Average number of rooms per inhabitant",1.53
"..Hiiu county: rural settlement region","2021","Number of dwellings",3886
"..Hiiu county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",3857
"..Hiiu county: rural settlement region","2021","Total number of rooms",13262
"..Hiiu county: rural settlement region","2021","Average number of rooms per inhabitant",1.59
"..Hiiumaa rural municipality","2000","Number of dwellings",3889
"..Hiiumaa rural municipality","2000","Number of dwellings for which the number of rooms was recorded",3886
"..Hiiumaa rural municipality","2000","Total number of rooms",12802
"..Hiiumaa rural municipality","2000","Average number of rooms per inhabitant",1.25
"..Hiiumaa rural municipality","2011","Number of dwellings",3571
"..Hiiumaa rural municipality","2011","Number of dwellings for which the number of rooms was recorded",3570
"..Hiiumaa rural municipality","2011","Total number of rooms",12836
"..Hiiumaa rural municipality","2011","Average number of rooms per inhabitant",1.53
"..Hiiumaa rural municipality","2021","Number of dwellings",3886
"..Hiiumaa rural municipality","2021","Number of dwellings for which the number of rooms was recorded",3857
"..Hiiumaa rural municipality","2021","Total number of rooms",13262
"..Hiiumaa rural municipality","2021","Average number of rooms per inhabitant",1.59
"....Kärdla city as a settlement unit","2000","Number of dwellings",1469
"....Kärdla city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1468
"....Kärdla city as a settlement unit","2000","Total number of rooms",4582
"....Kärdla city as a settlement unit","2000","Average number of rooms per inhabitant",1.22
"....Kärdla city as a settlement unit","2011","Number of dwellings",1350
"....Kärdla city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1349
"....Kärdla city as a settlement unit","2011","Total number of rooms",4556
"....Kärdla city as a settlement unit","2011","Average number of rooms per inhabitant",1.5
"....Kärdla city as a settlement unit","2021","Number of dwellings",1393
"....Kärdla city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1388
"....Kärdla city as a settlement unit","2021","Total number of rooms",4525
"....Kärdla city as a settlement unit","2021","Average number of rooms per inhabitant",1.5
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2000","Number of dwellings",2420
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",2418
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2000","Total number of rooms",8220
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2000","Average number of rooms per inhabitant",1.26
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2011","Number of dwellings",2221
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",2221
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2011","Total number of rooms",8280
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2011","Average number of rooms per inhabitant",1.55
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2021","Number of dwellings",2493
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",2469
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2021","Total number of rooms",8737
"....Hiiumaa rural municipality, excl. Kärdla city as a settlement unit","2021","Average number of rooms per inhabitant",1.64
"IDA-VIRU COUNTY","2000","Number of dwellings",73639
"IDA-VIRU COUNTY","2000","Number of dwellings for which the number of rooms was recorded",73587
"IDA-VIRU COUNTY","2000","Total number of rooms",170286
"IDA-VIRU COUNTY","2000","Average number of rooms per inhabitant",0.99
"IDA-VIRU COUNTY","2011","Number of dwellings",65560
"IDA-VIRU COUNTY","2011","Number of dwellings for which the number of rooms was recorded",65542
"IDA-VIRU COUNTY","2011","Total number of rooms",158797
"IDA-VIRU COUNTY","2011","Average number of rooms per inhabitant",1.13
"IDA-VIRU COUNTY","2021","Number of dwellings",61966
"IDA-VIRU COUNTY","2021","Number of dwellings for which the number of rooms was recorded",61817
"IDA-VIRU COUNTY","2021","Total number of rooms",150392
"IDA-VIRU COUNTY","2021","Average number of rooms per inhabitant",1.17
"..Ida-Viru county: city settlement region","2000","Number of dwellings",59375
"..Ida-Viru county: city settlement region","2000","Number of dwellings for which the number of rooms was recorded",59341
"..Ida-Viru county: city settlement region","2000","Total number of rooms",132499
"..Ida-Viru county: city settlement region","2000","Average number of rooms per inhabitant",0.95
"..Ida-Viru county: city settlement region","2011","Number of dwellings",54160
"..Ida-Viru county: city settlement region","2011","Number of dwellings for which the number of rooms was recorded",54154
"..Ida-Viru county: city settlement region","2011","Total number of rooms",124997
"..Ida-Viru county: city settlement region","2011","Average number of rooms per inhabitant",1.08
"..Ida-Viru county: city settlement region","2021","Number of dwellings",51113
"..Ida-Viru county: city settlement region","2021","Number of dwellings for which the number of rooms was recorded",51037
"..Ida-Viru county: city settlement region","2021","Total number of rooms",118580
"..Ida-Viru county: city settlement region","2021","Average number of rooms per inhabitant",1.12
"..Ida-Viru county: town settlement region","2000","Number of dwellings",153
"..Ida-Viru county: town settlement region","2000","Number of dwellings for which the number of rooms was recorded",153
"..Ida-Viru county: town settlement region","2000","Total number of rooms",416
"..Ida-Viru county: town settlement region","2000","Average number of rooms per inhabitant",1.13
"..Ida-Viru county: town settlement region","2011","Number of dwellings",140
"..Ida-Viru county: town settlement region","2011","Number of dwellings for which the number of rooms was recorded",140
"..Ida-Viru county: town settlement region","2011","Total number of rooms",396
"..Ida-Viru county: town settlement region","2011","Average number of rooms per inhabitant",1.36
"..Ida-Viru county: town settlement region","2021","Number of dwellings",134
"..Ida-Viru county: town settlement region","2021","Number of dwellings for which the number of rooms was recorded",134
"..Ida-Viru county: town settlement region","2021","Total number of rooms",374
"..Ida-Viru county: town settlement region","2021","Average number of rooms per inhabitant",1.19
"..Ida-Viru county: rural settlement region","2000","Number of dwellings",14111
"..Ida-Viru county: rural settlement region","2000","Number of dwellings for which the number of rooms was recorded",14093
"..Ida-Viru county: rural settlement region","2000","Total number of rooms",37371
"..Ida-Viru county: rural settlement region","2000","Average number of rooms per inhabitant",1.18
"..Ida-Viru county: rural settlement region","2011","Number of dwellings",11260
"..Ida-Viru county: rural settlement region","2011","Number of dwellings for which the number of rooms was recorded",11248
"..Ida-Viru county: rural settlement region","2011","Total number of rooms",33404
"..Ida-Viru county: rural settlement region","2011","Average number of rooms per inhabitant",1.36
"..Ida-Viru county: rural settlement region","2021","Number of dwellings",10719
"..Ida-Viru county: rural settlement region","2021","Number of dwellings for which the number of rooms was recorded",10646
"..Ida-Viru county: rural settlement region","2021","Total number of rooms",31438
"..Ida-Viru county: rural settlement region","2021","Average number of rooms per inhabitant",1.4
"..Alutaguse rural municipality","2000","Number of dwellings",2067
"..Alutaguse rural municipality","2000","Number of dwellings for which the number of rooms was recorded",2062
"..Alutaguse rural municipality","2000","Total number of rooms",6149
"..Alutaguse rural municipality","2000","Average number of rooms per inhabitant",1.22
"..Alutaguse rural municipality","2011","Number of dwellings",1734
"..Alutaguse rural municipality","2011","Number of dwellings for which the number of rooms was recorded",1732
"..Alutaguse rural municipality","2011","Total number of rooms",5786
"..Alutaguse rural municipality","2011","Average number of rooms per inhabitant",1.46
"..Alutaguse rural municipality","2021","Number of dwellings",1762
"..Alutaguse rural municipality","2021","Number of dwellings for which the number of rooms was recorded",1736
"..Alutaguse rural municipality","2021","Total number of rooms",5651
"..Alutaguse rural municipality","2021","Average number of rooms per inhabitant",1.45
"..Jõhvi rural municipality","2000","Number of dwellings",6054
"..Jõhvi rural municipality","2000","Number of dwellings for which the number of rooms was recorded",6051
"..Jõhvi rural municipality","2000","Total number of rooms",15146
"..Jõhvi rural municipality","2000","Average number of rooms per inhabitant",1.12
"..Jõhvi rural municipality","2011","Number of dwellings",5554
"..Jõhvi rural municipality","2011","Number of dwellings for which the number of rooms was recorded",5553
"..Jõhvi rural municipality","2011","Total number of rooms",14714
"..Jõhvi rural municipality","2011","Average number of rooms per inhabitant",1.27
"..Jõhvi rural municipality","2021","Number of dwellings",5328
"..Jõhvi rural municipality","2021","Number of dwellings for which the number of rooms was recorded",5297
"..Jõhvi rural municipality","2021","Total number of rooms",13942
"..Jõhvi rural municipality","2021","Average number of rooms per inhabitant",1.26
"....Jõhvi city as a settlement unit","2000","Number of dwellings",5364
"....Jõhvi city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",5362
"....Jõhvi city as a settlement unit","2000","Total number of rooms",13169
"....Jõhvi city as a settlement unit","2000","Average number of rooms per inhabitant",1.12
"....Jõhvi city as a settlement unit","2011","Number of dwellings",4924
"....Jõhvi city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",4924
"....Jõhvi city as a settlement unit","2011","Total number of rooms",12767
"....Jõhvi city as a settlement unit","2011","Average number of rooms per inhabitant",1.26
"....Jõhvi city as a settlement unit","2021","Number of dwellings",4708
"....Jõhvi city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",4680
"....Jõhvi city as a settlement unit","2021","Total number of rooms",12046
"....Jõhvi city as a settlement unit","2021","Average number of rooms per inhabitant",1.26
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2000","Number of dwellings",690
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",689
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2000","Total number of rooms",1977
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2000","Average number of rooms per inhabitant",1.13
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2011","Number of dwellings",630
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",629
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2011","Total number of rooms",1947
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2011","Average number of rooms per inhabitant",1.33
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2021","Number of dwellings",620
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",617
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2021","Total number of rooms",1896
"....Jõhvi rural municipality, excl. Jõhvi city as a settlement unit","2021","Average number of rooms per inhabitant",1.3
"..Kohtla-Järve city","2000","Number of dwellings",20417
"..Kohtla-Järve city","2000","Number of dwellings for which the number of rooms was recorded",20404
"..Kohtla-Järve city","2000","Total number of rooms",46150
"..Kohtla-Järve city","2000","Average number of rooms per inhabitant",1
"..Kohtla-Järve city","2011","Number of dwellings",17465
"..Kohtla-Järve city","2011","Number of dwellings for which the number of rooms was recorded",17464
"..Kohtla-Järve city","2011","Total number of rooms",41402
"..Kohtla-Järve city","2011","Average number of rooms per inhabitant",1.14
"..Kohtla-Järve city","2021","Number of dwellings",16155
"..Kohtla-Järve city","2021","Number of dwellings for which the number of rooms was recorded",16127
"..Kohtla-Järve city","2021","Total number of rooms",38505
"..Kohtla-Järve city","2021","Average number of rooms per inhabitant",1.17
"....Ahtme city district","2000","Number of dwellings",8402
"....Ahtme city district","2000","Number of dwellings for which the number of rooms was recorded",8398
"....Ahtme city district","2000","Total number of rooms",19131
"....Ahtme city district","2000","Average number of rooms per inhabitant",0.94
"....Ahtme city district","2011","Number of dwellings",7954
"....Ahtme city district","2011","Number of dwellings for which the number of rooms was recorded",7954
"....Ahtme city district","2011","Total number of rooms",18448
"....Ahtme city district","2011","Average number of rooms per inhabitant",1.08
"....Ahtme city district","2021","Number of dwellings",7415
"....Ahtme city district","2021","Number of dwellings for which the number of rooms was recorded",7402
"....Ahtme city district","2021","Total number of rooms",17262
"....Ahtme city district","2021","Average number of rooms per inhabitant",1.12
"....Järve city district","2000","Number of dwellings",9982
"....Järve city district","2000","Number of dwellings for which the number of rooms was recorded",9973
"....Järve city district","2000","Total number of rooms",22182
"....Järve city district","2000","Average number of rooms per inhabitant",1.02
"....Järve city district","2011","Number of dwellings",8162
"....Järve city district","2011","Number of dwellings for which the number of rooms was recorded",8161
"....Järve city district","2011","Total number of rooms",19525
"....Järve city district","2011","Average number of rooms per inhabitant",1.18
"....Järve city district","2021","Number of dwellings",7636
"....Järve city district","2021","Number of dwellings for which the number of rooms was recorded",7623
"....Järve city district","2021","Total number of rooms",18381
"....Järve city district","2021","Average number of rooms per inhabitant",1.2
"....Kukruse city district","2000","Number of dwellings",305
"....Kukruse city district","2000","Number of dwellings for which the number of rooms was recorded",305
"....Kukruse city district","2000","Total number of rooms",764
"....Kukruse city district","2000","Average number of rooms per inhabitant",1.12
"....Kukruse city district","2011","Number of dwellings",248
"....Kukruse city district","2011","Number of dwellings for which the number of rooms was recorded",248
"....Kukruse city district","2011","Total number of rooms",671
"....Kukruse city district","2011","Average number of rooms per inhabitant",1.18
"....Kukruse city district","2021","Number of dwellings",228
"....Kukruse city district","2021","Number of dwellings for which the number of rooms was recorded",228
"....Kukruse city district","2021","Total number of rooms",615
"....Kukruse city district","2021","Average number of rooms per inhabitant",1.32
"....Oru city district","2000","Number of dwellings",888
"....Oru city district","2000","Number of dwellings for which the number of rooms was recorded",888
"....Oru city district","2000","Total number of rooms",2049
"....Oru city district","2000","Average number of rooms per inhabitant",1.07
"....Oru city district","2011","Number of dwellings",614
"....Oru city district","2011","Number of dwellings for which the number of rooms was recorded",614
"....Oru city district","2011","Total number of rooms",1467
"....Oru city district","2011","Average number of rooms per inhabitant",1.17
"....Oru city district","2021","Number of dwellings",491
"....Oru city district","2021","Number of dwellings for which the number of rooms was recorded",491
"....Oru city district","2021","Total number of rooms",1225
"....Oru city district","2021","Average number of rooms per inhabitant",1.23
"....Sompa city district","2000","Number of dwellings",840
"....Sompa city district","2000","Number of dwellings for which the number of rooms was recorded",840
"....Sompa city district","2000","Total number of rooms",2024
"....Sompa city district","2000","Average number of rooms per inhabitant",1.19
"....Sompa city district","2011","Number of dwellings",487
"....Sompa city district","2011","Number of dwellings for which the number of rooms was recorded",487
"....Sompa city district","2011","Total number of rooms",1291
"....Sompa city district","2011","Average number of rooms per inhabitant",1.35
"....Sompa city district","2021","Number of dwellings",385
"....Sompa city district","2021","Number of dwellings for which the number of rooms was recorded",383
"....Sompa city district","2021","Total number of rooms",1022
"....Sompa city district","2021","Average number of rooms per inhabitant",1.36
"..Lüganuse rural municipality","2000","Number of dwellings",5629
"..Lüganuse rural municipality","2000","Number of dwellings for which the number of rooms was recorded",5623
"..Lüganuse rural municipality","2000","Total number of rooms",14628
"..Lüganuse rural municipality","2000","Average number of rooms per inhabitant",1.19
"..Lüganuse rural municipality","2011","Number of dwellings",4378
"..Lüganuse rural municipality","2011","Number of dwellings for which the number of rooms was recorded",4373
"..Lüganuse rural municipality","2011","Total number of rooms",12216
"..Lüganuse rural municipality","2011","Average number of rooms per inhabitant",1.34
"..Lüganuse rural municipality","2021","Number of dwellings",4012
"..Lüganuse rural municipality","2021","Number of dwellings for which the number of rooms was recorded",4005
"..Lüganuse rural municipality","2021","Total number of rooms",11244
"..Lüganuse rural municipality","2021","Average number of rooms per inhabitant",1.41
"....Kiviõli city as a settlement unit","2000","Number of dwellings",3520
"....Kiviõli city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",3515
"....Kiviõli city as a settlement unit","2000","Total number of rooms",8440
"....Kiviõli city as a settlement unit","2000","Average number of rooms per inhabitant",1.15
"....Kiviõli city as a settlement unit","2011","Number of dwellings",2744
"....Kiviõli city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",2742
"....Kiviõli city as a settlement unit","2011","Total number of rooms",6916
"....Kiviõli city as a settlement unit","2011","Average number of rooms per inhabitant",1.27
"....Kiviõli city as a settlement unit","2021","Number of dwellings",2451
"....Kiviõli city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",2448
"....Kiviõli city as a settlement unit","2021","Total number of rooms",6252
"....Kiviõli city as a settlement unit","2021","Average number of rooms per inhabitant",1.33
"....Püssi city as a settlement unit","2000","Number of dwellings",764
"....Püssi city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",764
"....Püssi city as a settlement unit","2000","Total number of rooms",2088
"....Püssi city as a settlement unit","2000","Average number of rooms per inhabitant",1.12
"....Püssi city as a settlement unit","2011","Number of dwellings",526
"....Püssi city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",525
"....Püssi city as a settlement unit","2011","Total number of rooms",1489
"....Püssi city as a settlement unit","2011","Average number of rooms per inhabitant",1.38
"....Püssi city as a settlement unit","2021","Number of dwellings",464
"....Püssi city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",462
"....Püssi city as a settlement unit","2021","Total number of rooms",1329
"....Püssi city as a settlement unit","2021","Average number of rooms per inhabitant",1.54
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2000","Number of dwellings",1345
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1344
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2000","Total number of rooms",4100
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2000","Average number of rooms per inhabitant",1.33
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2011","Number of dwellings",1108
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2011","Number of dwellings for which the number of rooms was recorded",1106
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2011","Total number of rooms",3811
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2011","Average number of rooms per inhabitant",1.46
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2021","Number of dwellings",1097
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2021","Number of dwellings for which the number of rooms was recorded",1095
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2021","Total number of rooms",3663
"....Lüganuse rural municipality, excl. Kiviõli and Püssi city as a settlement unit","2021","Average number of rooms per inhabitant",1.54
"..Narva city","2000","Number of dwellings",28135
"..Narva city","2000","Number of dwellings for which the number of rooms was recorded",28118
"..Narva city","2000","Total number of rooms",61380
"..Narva city","2000","Average number of rooms per inhabitant",0.91
"..Narva city","2011","Number of dwellings",26036
"..Narva city","2011","Number of dwellings for which the number of rooms was recorded",26031
"..Narva city","2011","Total number of rooms",58307
"..Narva city","2011","Average number of rooms per inhabitant",1.03
"..Narva city","2021","Number of dwellings",24757
"..Narva city","2021","Number of dwellings for which the number of rooms was recorded",24738
"..Narva city","2021","Total number of rooms",55927
"..Narva city","2021","Average number of rooms per inhabitant",1.07
"..Narva-Jõesuu city","2000","Number of dwellings",2259
"..Narva-Jõesuu city","2000","Number of dwellings for which the number of rooms was recorded",2254
"..Narva-Jõesuu city","2000","Total number of rooms",5471
"..Narva-Jõesuu city","2000","Average number of rooms per inhabitant",1.09
"..Narva-Jõesuu city","2011","Number of dwellings",1821
"..Narva-Jõesuu city","2011","Number of dwellings for which the number of rooms was recorded",1820
"..Narva-Jõesuu city","2011","Total number of rooms",5231
"..Narva-Jõesuu city","2011","Average number of rooms per inhabitant",1.33
"..Narva-Jõesuu city","2021","Number of dwellings",1849
"..Narva-Jõesuu city","2021","Number of dwellings for which the number of rooms was recorded",1827
"..Narva-Jõesuu city","2021","Total number of rooms",5134
"..Narva-Jõesuu city","2021","Average number of rooms per inhabitant",1.32
"....Narva-Jõesuu city as a settlement unit","2000","Number of dwellings",1185
"....Narva-Jõesuu city as a settlement unit","2000","Number of dwellings for which the number of rooms was recorded",1183
"....Narva-Jõesuu city as a settlement unit","2000","Total number of rooms",2935
"....Narva-Jõesuu city as a settlement unit","2000","Average number of rooms per inhabitant",1.05
"....Narva-Jõesuu city as a settlement unit","2011","Number of dwellings",1135
