"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"elva vald",2005,"flat","EE008","EE008",171,"number",147
"jogeva vald",2005,"flat","EE008","EE008",247,"number",187
"kambja vald",2005,"flat","EE008","EE008",283,"number",144
"kanepi vald",2005,"flat","EE008","EE008",284,"number",25
"kastre vald",2005,"flat","EE008","EE008",291,"number",51
"luunja vald",2005,"flat","EE008","EE008",432,"number",75
"mulgi vald",2005,"flat","EE008","EE008",480,"number",55
"mustvee vald",2005,"flat","EE008","EE008",486,"number",10
"noo vald",2005,"flat","EE008","EE008",528,"number",43
"otepaa vald",2005,"flat","EE008","EE008",557,"number",41
"peipsiaare vald",2005,"flat","EE008","EE008",586,"number",26
"pohjasakala vald",2005,"flat","EE008","EE008",615,"number",66
"poltsamaa vald",2005,"flat","EE008","EE008",618,"number",91
"polva vald",2005,"flat","EE008","EE008",622,"number",130
"rapina vald",2005,"flat","EE008","EE008",708,"number",26
"rouge vald",2005,"flat","EE008","EE008",698,"number",13
"setomaa vald",2005,"flat","EE008","EE008",732,"number",NA
"tartu linn",2005,"flat","EE008","EE008",793,"number",2746
"tartu vald",2005,"flat","EE008","EE008",796,"number",109
"torva vald",2005,"flat","EE008","EE008",824,"number",52
"valga vald",2005,"flat","EE008","EE008",855,"number",238
"viljandi linn",2005,"flat","EE008","EE008",897,"number",322
"viljandi vald",2005,"flat","EE008","EE008",899,"number",79
"voru linn",2005,"flat","EE008","EE008",919,"number",163
"voru vald",2005,"flat","EE008","EE008",917,"number",37
"haljala vald",2005,"flat","EE009","EE006",191,"number",29
"jarva vald",2005,"flat","EE009","EE006",255,"number",32
"kadrina vald",2005,"flat","EE009","EE006",272,"number",68
"kehtna vald",2005,"flat","EE009","EE006",293,"number",73
"kohila vald",2005,"flat","EE009","EE006",317,"number",90
"marjamaa vald",2005,"flat","EE009","EE006",503,"number",47
"paide linn",2005,"flat","EE009","EE006",567,"number",186
"rakvere linn",2005,"flat","EE009","EE006",663,"number",306
"rakvere vald",2005,"flat","EE009","EE006",661,"number",89
"rapla vald",2005,"flat","EE009","EE006",668,"number",165
"tapa vald",2005,"flat","EE009","EE006",792,"number",171
"turi vald",2005,"flat","EE009","EE006",834,"number",109
"vaikemaarja vald",2005,"flat","EE009","EE006",928,"number",10
"vinni vald",2005,"flat","EE009","EE006",901,"number",56
"virunigula vald",2005,"flat","EE009","EE006",903,"number",119
"alutaguse vald",2005,"flat","EE00A","EE007",130,"number",10
"johvi vald",2005,"flat","EE00A","EE007",251,"number",294
"kohtlajarve linn",2005,"flat","EE00A","EE007",321,"number",736
"luganuse vald",2005,"flat","EE00A","EE007",442,"number",99
"narva linn",2005,"flat","EE00A","EE007",511,"number",627
"narvajoesuu linn",2005,"flat","EE00A","EE007",514,"number",39
"sillamae linn",2005,"flat","EE00A","EE007",735,"number",196
"toila vald",2005,"flat","EE00A","EE007",803,"number",134
"anija vald",2006,"flat","EE001","EE001",141,"number",127
"harku vald",2006,"flat","EE001","EE001",198,"number",261
"joelahtme vald",2006,"flat","EE001","EE001",245,"number",101
"keila linn",2006,"flat","EE001","EE001",296,"number",176
"kiili vald",2006,"flat","EE001","EE001",304,"number",94
"kose vald",2006,"flat","EE001","EE001",338,"number",85
"kuusalu vald",2006,"flat","EE001","EE001",353,"number",97
"laaneharju vald",2006,"flat","EE001","EE001",431,"number",486
"loksa linn",2006,"flat","EE001","EE001",424,"number",60
"maardu linn",2006,"flat","EE001","EE001",446,"number",392
"raasiku vald",2006,"flat","EE001","EE001",651,"number",35
"rae vald",2006,"flat","EE001","EE001",653,"number",661
"saku vald",2006,"flat","EE001","EE001",718,"number",78
"saue vald",2006,"flat","EE001","EE001",726,"number",372
"tallinn",2006,"flat","EE001","EE001",784,"number",12366
"viimsi vald",2006,"flat","EE001","EE001",890,"number",571
"haademeeste vald",2006,"flat","EE004","EE004",214,"number",NA
"haapsalu linn",2006,"flat","EE004","EE004",184,"number",336
"hiiumaa vald",2006,"flat","EE004","EE004",205,"number",76
"kihnu vald",2006,"flat","EE004","EE004",303,"number",NA
"laanenigula vald",2006,"flat","EE004","EE004",441,"number",82
"laaneranna vald",2006,"flat","EE004","EE004",430,"number",NA
"muhu vald",2006,"flat","EE004","EE004",478,"number",NA
