"municipality","year","type","nuts","nuts2016","laucode","indicator","value"
"johvi vald",2011,"house","EE00A","EE007",251,"ppm2",520
"kohtlajarve linn",2011,"house","EE00A","EE007",321,"ppm2",318
"luganuse vald",2011,"house","EE00A","EE007",442,"ppm2",191
"narva linn",2011,"house","EE00A","EE007",511,"ppm2",463
"narvajoesuu linn",2011,"house","EE00A","EE007",514,"ppm2",338
"sillamae linn",2011,"house","EE00A","EE007",735,"ppm2",329
"toila vald",2011,"house","EE00A","EE007",803,"ppm2",297
"anija vald",2012,"house","EE001","EE001",141,"ppm2",501
"harku vald",2012,"house","EE001","EE001",198,"ppm2",873
"joelahtme vald",2012,"house","EE001","EE001",245,"ppm2",1356
"keila linn",2012,"house","EE001","EE001",296,"ppm2",794
"kiili vald",2012,"house","EE001","EE001",304,"ppm2",797
"kose vald",2012,"house","EE001","EE001",338,"ppm2",241
"kuusalu vald",2012,"house","EE001","EE001",353,"ppm2",577
"laaneharju vald",2012,"house","EE001","EE001",431,"ppm2",660
"loksa linn",2012,"house","EE001","EE001",424,"ppm2",478
"maardu linn",2012,"house","EE001","EE001",446,"ppm2",872
"raasiku vald",2012,"house","EE001","EE001",651,"ppm2",713
"rae vald",2012,"house","EE001","EE001",653,"ppm2",931
"saku vald",2012,"house","EE001","EE001",718,"ppm2",844
"saue vald",2012,"house","EE001","EE001",726,"ppm2",647
"tallinn",2012,"house","EE001","EE001",784,"ppm2",1330
"viimsi vald",2012,"house","EE001","EE001",890,"ppm2",1074
"haademeeste vald",2012,"house","EE004","EE004",214,"ppm2",406
"haapsalu linn",2012,"house","EE004","EE004",184,"ppm2",612
"hiiumaa vald",2012,"house","EE004","EE004",205,"ppm2",509
"kihnu vald",2012,"house","EE004","EE004",303,"ppm2",376
"laanenigula vald",2012,"house","EE004","EE004",441,"ppm2",252
"laaneranna vald",2012,"house","EE004","EE004",430,"ppm2",193
"muhu vald",2012,"house","EE004","EE004",478,"ppm2",525
"parnu linn",2012,"house","EE004","EE004",624,"ppm2",612
"pohjaparnumaa vald",2012,"house","EE004","EE004",638,"ppm2",176
"ruhnu vald",2012,"house","EE004","EE004",689,"ppm2",376
"saarde vald",2012,"house","EE004","EE004",712,"ppm2",164
"saaremaa vald",2012,"house","EE004","EE004",714,"ppm2",416
"tori vald",2012,"house","EE004","EE004",809,"ppm2",419
"vormsi vald",2012,"house","EE004","EE004",907,"ppm2",458
"antsla vald",2012,"house","EE008","EE008",142,"ppm2",311
"elva vald",2012,"house","EE008","EE008",171,"ppm2",416
"jogeva vald",2012,"house","EE008","EE008",247,"ppm2",321
"kambja vald",2012,"house","EE008","EE008",283,"ppm2",746
"kanepi vald",2012,"house","EE008","EE008",284,"ppm2",106
"kastre vald",2012,"house","EE008","EE008",291,"ppm2",277
"luunja vald",2012,"house","EE008","EE008",432,"ppm2",833
"mulgi vald",2012,"house","EE008","EE008",480,"ppm2",111
"mustvee vald",2012,"house","EE008","EE008",486,"ppm2",212
"noo vald",2012,"house","EE008","EE008",528,"ppm2",541
"otepaa vald",2012,"house","EE008","EE008",557,"ppm2",417
"peipsiaare vald",2012,"house","EE008","EE008",586,"ppm2",237
"pohjasakala vald",2012,"house","EE008","EE008",615,"ppm2",205
"poltsamaa vald",2012,"house","EE008","EE008",618,"ppm2",240
"polva vald",2012,"house","EE008","EE008",622,"ppm2",192
"rapina vald",2012,"house","EE008","EE008",708,"ppm2",235
"rouge vald",2012,"house","EE008","EE008",698,"ppm2",175
"setomaa vald",2012,"house","EE008","EE008",732,"ppm2",134
"tartu linn",2012,"house","EE008","EE008",793,"ppm2",651
"tartu vald",2012,"house","EE008","EE008",796,"ppm2",537
"torva vald",2012,"house","EE008","EE008",824,"ppm2",304
"valga vald",2012,"house","EE008","EE008",855,"ppm2",236
"viljandi linn",2012,"house","EE008","EE008",897,"ppm2",342
"viljandi vald",2012,"house","EE008","EE008",899,"ppm2",274
"voru linn",2012,"house","EE008","EE008",919,"ppm2",382
"voru vald",2012,"house","EE008","EE008",917,"ppm2",422
"haljala vald",2012,"house","EE009","EE006",191,"ppm2",662
"jarva vald",2012,"house","EE009","EE006",255,"ppm2",151
"kadrina vald",2012,"house","EE009","EE006",272,"ppm2",106
"kehtna vald",2012,"house","EE009","EE006",293,"ppm2",313
"kohila vald",2012,"house","EE009","EE006",317,"ppm2",419
"marjamaa vald",2012,"house","EE009","EE006",503,"ppm2",146
"paide linn",2012,"house","EE009","EE006",567,"ppm2",367
"rakvere linn",2012,"house","EE009","EE006",663,"ppm2",470
"rakvere vald",2012,"house","EE009","EE006",661,"ppm2",490
"rapla vald",2012,"house","EE009","EE006",668,"ppm2",483
"tapa vald",2012,"house","EE009","EE006",792,"ppm2",238
"turi vald",2012,"house","EE009","EE006",834,"ppm2",234
"vaikemaarja vald",2012,"house","EE009","EE006",928,"ppm2",215
"vinni vald",2012,"house","EE009","EE006",901,"ppm2",158
"virunigula vald",2012,"house","EE009","EE006",903,"ppm2",543
"alutaguse vald",2012,"house","EE00A","EE007",130,"ppm2",432
"johvi vald",2012,"house","EE00A","EE007",251,"ppm2",349
"kohtlajarve linn",2012,"house","EE00A","EE007",321,"ppm2",214
"luganuse vald",2012,"house","EE00A","EE007",442,"ppm2",215
"narva linn",2012,"house","EE00A","EE007",511,"ppm2",472
"narvajoesuu linn",2012,"house","EE00A","EE007",514,"ppm2",751
"sillamae linn",2012,"house","EE00A","EE007",735,"ppm2",395
"toila vald",2012,"house","EE00A","EE007",803,"ppm2",332
"anija vald",2013,"house","EE001","EE001",141,"ppm2",377
"harku vald",2013,"house","EE001","EE001",198,"ppm2",1032
"joelahtme vald",2013,"house","EE001","EE001",245,"ppm2",1133
"keila linn",2013,"house","EE001","EE001",296,"ppm2",697
"kiili vald",2013,"house","EE001","EE001",304,"ppm2",775
"kose vald",2013,"house","EE001","EE001",338,"ppm2",248
"kuusalu vald",2013,"house","EE001","EE001",353,"ppm2",688
"laaneharju vald",2013,"house","EE001","EE001",431,"ppm2",581
"loksa linn",2013,"house","EE001","EE001",424,"ppm2",611
"maardu linn",2013,"house","EE001","EE001",446,"ppm2",945
"raasiku vald",2013,"house","EE001","EE001",651,"ppm2",828
"rae vald",2013,"house","EE001","EE001",653,"ppm2",1090
"saku vald",2013,"house","EE001","EE001",718,"ppm2",845
"saue vald",2013,"house","EE001","EE001",726,"ppm2",759
"tallinn",2013,"house","EE001","EE001",784,"ppm2",1356
"viimsi vald",2013,"house","EE001","EE001",890,"ppm2",1268
"haademeeste vald",2013,"house","EE004","EE004",214,"ppm2",493
"haapsalu linn",2013,"house","EE004","EE004",184,"ppm2",627
"hiiumaa vald",2013,"house","EE004","EE004",205,"ppm2",424
"kihnu vald",2013,"house","EE004","EE004",303,"ppm2",406
"laanenigula vald",2013,"house","EE004","EE004",441,"ppm2",331
"laaneranna vald",2013,"house","EE004","EE004",430,"ppm2",182
"muhu vald",2013,"house","EE004","EE004",478,"ppm2",531
"parnu linn",2013,"house","EE004","EE004",624,"ppm2",586
"pohjaparnumaa vald",2013,"house","EE004","EE004",638,"ppm2",183
"ruhnu vald",2013,"house","EE004","EE004",689,"ppm2",406
"saarde vald",2013,"house","EE004","EE004",712,"ppm2",230
"saaremaa vald",2013,"house","EE004","EE004",714,"ppm2",478
"tori vald",2013,"house","EE004","EE004",809,"ppm2",403
"vormsi vald",2013,"house","EE004","EE004",907,"ppm2",495
"antsla vald",2013,"house","EE008","EE008",142,"ppm2",278
"elva vald",2013,"house","EE008","EE008",171,"ppm2",417
"jogeva vald",2013,"house","EE008","EE008",247,"ppm2",133
"kambja vald",2013,"house","EE008","EE008",283,"ppm2",722
"kanepi vald",2013,"house","EE008","EE008",284,"ppm2",249
"kastre vald",2013,"house","EE008","EE008",291,"ppm2",585
"luunja vald",2013,"house","EE008","EE008",432,"ppm2",541
"mulgi vald",2013,"house","EE008","EE008",480,"ppm2",130
"mustvee vald",2013,"house","EE008","EE008",486,"ppm2",217
"noo vald",2013,"house","EE008","EE008",528,"ppm2",708
"otepaa vald",2013,"house","EE008","EE008",557,"ppm2",474
"peipsiaare vald",2013,"house","EE008","EE008",586,"ppm2",235
"pohjasakala vald",2013,"house","EE008","EE008",615,"ppm2",164
"poltsamaa vald",2013,"house","EE008","EE008",618,"ppm2",238
"polva vald",2013,"house","EE008","EE008",622,"ppm2",221
"rapina vald",2013,"house","EE008","EE008",708,"ppm2",294
"rouge vald",2013,"house","EE008","EE008",698,"ppm2",189
"setomaa vald",2013,"house","EE008","EE008",732,"ppm2",193
"tartu linn",2013,"house","EE008","EE008",793,"ppm2",752
"tartu vald",2013,"house","EE008","EE008",796,"ppm2",705
"torva vald",2013,"house","EE008","EE008",824,"ppm2",290
"valga vald",2013,"house","EE008","EE008",855,"ppm2",313
"viljandi linn",2013,"house","EE008","EE008",897,"ppm2",342
"viljandi vald",2013,"house","EE008","EE008",899,"ppm2",225
"voru linn",2013,"house","EE008","EE008",919,"ppm2",372
"voru vald",2013,"house","EE008","EE008",917,"ppm2",144
"haljala vald",2013,"house","EE009","EE006",191,"ppm2",561
"jarva vald",2013,"house","EE009","EE006",255,"ppm2",118
"kadrina vald",2013,"house","EE009","EE006",272,"ppm2",240
"kehtna vald",2013,"house","EE009","EE006",293,"ppm2",224
"kohila vald",2013,"house","EE009","EE006",317,"ppm2",421
"marjamaa vald",2013,"house","EE009","EE006",503,"ppm2",223
"paide linn",2013,"house","EE009","EE006",567,"ppm2",186
"rakvere linn",2013,"house","EE009","EE006",663,"ppm2",394
"rakvere vald",2013,"house","EE009","EE006",661,"ppm2",290
"rapla vald",2013,"house","EE009","EE006",668,"ppm2",334
"tapa vald",2013,"house","EE009","EE006",792,"ppm2",247
"turi vald",2013,"house","EE009","EE006",834,"ppm2",259
"vaikemaarja vald",2013,"house","EE009","EE006",928,"ppm2",181
"vinni vald",2013,"house","EE009","EE006",901,"ppm2",150
"virunigula vald",2013,"house","EE009","EE006",903,"ppm2",397
"alutaguse vald",2013,"house","EE00A","EE007",130,"ppm2",231
"johvi vald",2013,"house","EE00A","EE007",251,"ppm2",355
"kohtlajarve linn",2013,"house","EE00A","EE007",321,"ppm2",235
"luganuse vald",2013,"house","EE00A","EE007",442,"ppm2",182
"narva linn",2013,"house","EE00A","EE007",511,"ppm2",537
"narvajoesuu linn",2013,"house","EE00A","EE007",514,"ppm2",404
"sillamae linn",2013,"house","EE00A","EE007",735,"ppm2",315
"toila vald",2013,"house","EE00A","EE007",803,"ppm2",256
"anija vald",2014,"house","EE001","EE001",141,"ppm2",492
"harku vald",2014,"house","EE001","EE001",198,"ppm2",1070
"joelahtme vald",2014,"house","EE001","EE001",245,"ppm2",1023
"keila linn",2014,"house","EE001","EE001",296,"ppm2",850
"kiili vald",2014,"house","EE001","EE001",304,"ppm2",739
"kose vald",2014,"house","EE001","EE001",338,"ppm2",589
"kuusalu vald",2014,"house","EE001","EE001",353,"ppm2",700
"laaneharju vald",2014,"house","EE001","EE001",431,"ppm2",501
"loksa linn",2014,"house","EE001","EE001",424,"ppm2",744
"maardu linn",2014,"house","EE001","EE001",446,"ppm2",976
"raasiku vald",2014,"house","EE001","EE001",651,"ppm2",993
"rae vald",2014,"house","EE001","EE001",653,"ppm2",1196
"saku vald",2014,"house","EE001","EE001",718,"ppm2",811
"saue vald",2014,"house","EE001","EE001",726,"ppm2",728
"tallinn",2014,"house","EE001","EE001",784,"ppm2",1455
"viimsi vald",2014,"house","EE001","EE001",890,"ppm2",1085
"haademeeste vald",2014,"house","EE004","EE004",214,"ppm2",378
"haapsalu linn",2014,"house","EE004","EE004",184,"ppm2",609
"hiiumaa vald",2014,"house","EE004","EE004",205,"ppm2",496
"kihnu vald",2014,"house","EE004","EE004",303,"ppm2",438
"laanenigula vald",2014,"house","EE004","EE004",441,"ppm2",386
"laaneranna vald",2014,"house","EE004","EE004",430,"ppm2",332
"muhu vald",2014,"house","EE004","EE004",478,"ppm2",510
"parnu linn",2014,"house","EE004","EE004",624,"ppm2",644
"pohjaparnumaa vald",2014,"house","EE004","EE004",638,"ppm2",271
"ruhnu vald",2014,"house","EE004","EE004",689,"ppm2",438
"saarde vald",2014,"house","EE004","EE004",712,"ppm2",394
"saaremaa vald",2014,"house","EE004","EE004",714,"ppm2",450
"tori vald",2014,"house","EE004","EE004",809,"ppm2",422
"vormsi vald",2014,"house","EE004","EE004",907,"ppm2",534
"antsla vald",2014,"house","EE008","EE008",142,"ppm2",206
"elva vald",2014,"house","EE008","EE008",171,"ppm2",369
"jogeva vald",2014,"house","EE008","EE008",247,"ppm2",185
"kambja vald",2014,"house","EE008","EE008",283,"ppm2",993
"kanepi vald",2014,"house","EE008","EE008",284,"ppm2",428
"kastre vald",2014,"house","EE008","EE008",291,"ppm2",638
"luunja vald",2014,"house","EE008","EE008",432,"ppm2",781
"mulgi vald",2014,"house","EE008","EE008",480,"ppm2",154
"mustvee vald",2014,"house","EE008","EE008",486,"ppm2",208
"noo vald",2014,"house","EE008","EE008",528,"ppm2",347
"otepaa vald",2014,"house","EE008","EE008",557,"ppm2",250
"peipsiaare vald",2014,"house","EE008","EE008",586,"ppm2",264
"pohjasakala vald",2014,"house","EE008","EE008",615,"ppm2",211
"poltsamaa vald",2014,"house","EE008","EE008",618,"ppm2",193
"polva vald",2014,"house","EE008","EE008",622,"ppm2",335
"rapina vald",2014,"house","EE008","EE008",708,"ppm2",194
"rouge vald",2014,"house","EE008","EE008",698,"ppm2",553
"setomaa vald",2014,"house","EE008","EE008",732,"ppm2",177
"tartu linn",2014,"house","EE008","EE008",793,"ppm2",755
"tartu vald",2014,"house","EE008","EE008",796,"ppm2",742
"torva vald",2014,"house","EE008","EE008",824,"ppm2",258
"valga vald",2014,"house","EE008","EE008",855,"ppm2",192
"viljandi linn",2014,"house","EE008","EE008",897,"ppm2",398
"viljandi vald",2014,"house","EE008","EE008",899,"ppm2",305
"voru linn",2014,"house","EE008","EE008",919,"ppm2",397
"voru vald",2014,"house","EE008","EE008",917,"ppm2",224
"haljala vald",2014,"house","EE009","EE006",191,"ppm2",724
"jarva vald",2014,"house","EE009","EE006",255,"ppm2",130
"kadrina vald",2014,"house","EE009","EE006",272,"ppm2",354
"kehtna vald",2014,"house","EE009","EE006",293,"ppm2",228
"kohila vald",2014,"house","EE009","EE006",317,"ppm2",675
"marjamaa vald",2014,"house","EE009","EE006",503,"ppm2",279
"paide linn",2014,"house","EE009","EE006",567,"ppm2",332
"rakvere linn",2014,"house","EE009","EE006",663,"ppm2",411
"rakvere vald",2014,"house","EE009","EE006",661,"ppm2",363
"rapla vald",2014,"house","EE009","EE006",668,"ppm2",394
"tapa vald",2014,"house","EE009","EE006",792,"ppm2",202
"turi vald",2014,"house","EE009","EE006",834,"ppm2",284
"vaikemaarja vald",2014,"house","EE009","EE006",928,"ppm2",154
"vinni vald",2014,"house","EE009","EE006",901,"ppm2",305
"virunigula vald",2014,"house","EE009","EE006",903,"ppm2",229
"alutaguse vald",2014,"house","EE00A","EE007",130,"ppm2",268
"johvi vald",2014,"house","EE00A","EE007",251,"ppm2",420
"kohtlajarve linn",2014,"house","EE00A","EE007",321,"ppm2",273
"luganuse vald",2014,"house","EE00A","EE007",442,"ppm2",235
"narva linn",2014,"house","EE00A","EE007",511,"ppm2",657
"narvajoesuu linn",2014,"house","EE00A","EE007",514,"ppm2",739
"sillamae linn",2014,"house","EE00A","EE007",735,"ppm2",414
"toila vald",2014,"house","EE00A","EE007",803,"ppm2",308
"anija vald",2015,"house","EE001","EE001",141,"ppm2",586
"harku vald",2015,"house","EE001","EE001",198,"ppm2",1070
"joelahtme vald",2015,"house","EE001","EE001",245,"ppm2",760
"keila linn",2015,"house","EE001","EE001",296,"ppm2",925
"kiili vald",2015,"house","EE001","EE001",304,"ppm2",939
"kose vald",2015,"house","EE001","EE001",338,"ppm2",811
"kuusalu vald",2015,"house","EE001","EE001",353,"ppm2",679
"laaneharju vald",2015,"house","EE001","EE001",431,"ppm2",721
"loksa linn",2015,"house","EE001","EE001",424,"ppm2",878
"maardu linn",2015,"house","EE001","EE001",446,"ppm2",1063
"raasiku vald",2015,"house","EE001","EE001",651,"ppm2",796
"rae vald",2015,"house","EE001","EE001",653,"ppm2",1261
"saku vald",2015,"house","EE001","EE001",718,"ppm2",795
"saue vald",2015,"house","EE001","EE001",726,"ppm2",780
"tallinn",2015,"house","EE001","EE001",784,"ppm2",1564
"viimsi vald",2015,"house","EE001","EE001",890,"ppm2",1159
"haademeeste vald",2015,"house","EE004","EE004",214,"ppm2",459
"haapsalu linn",2015,"house","EE004","EE004",184,"ppm2",631
"hiiumaa vald",2015,"house","EE004","EE004",205,"ppm2",377
"kihnu vald",2015,"house","EE004","EE004",303,"ppm2",411
"laanenigula vald",2015,"house","EE004","EE004",441,"ppm2",312
"laaneranna vald",2015,"house","EE004","EE004",430,"ppm2",312
"muhu vald",2015,"house","EE004","EE004",478,"ppm2",489
"parnu linn",2015,"house","EE004","EE004",624,"ppm2",688
"pohjaparnumaa vald",2015,"house","EE004","EE004",638,"ppm2",186
"ruhnu vald",2015,"house","EE004","EE004",689,"ppm2",411
"saarde vald",2015,"house","EE004","EE004",712,"ppm2",141
"saaremaa vald",2015,"house","EE004","EE004",714,"ppm2",548
"tori vald",2015,"house","EE004","EE004",809,"ppm2",453
"vormsi vald",2015,"house","EE004","EE004",907,"ppm2",500
"antsla vald",2015,"house","EE008","EE008",142,"ppm2",225
"elva vald",2015,"house","EE008","EE008",171,"ppm2",371
"jogeva vald",2015,"house","EE008","EE008",247,"ppm2",219
"kambja vald",2015,"house","EE008","EE008",283,"ppm2",852
"kanepi vald",2015,"house","EE008","EE008",284,"ppm2",289
"kastre vald",2015,"house","EE008","EE008",291,"ppm2",349
"luunja vald",2015,"house","EE008","EE008",432,"ppm2",943
"mulgi vald",2015,"house","EE008","EE008",480,"ppm2",213
"mustvee vald",2015,"house","EE008","EE008",486,"ppm2",293
"noo vald",2015,"house","EE008","EE008",528,"ppm2",494
"otepaa vald",2015,"house","EE008","EE008",557,"ppm2",516
"peipsiaare vald",2015,"house","EE008","EE008",586,"ppm2",209
"pohjasakala vald",2015,"house","EE008","EE008",615,"ppm2",211
"poltsamaa vald",2015,"house","EE008","EE008",618,"ppm2",239
"polva vald",2015,"house","EE008","EE008",622,"ppm2",294
"rapina vald",2015,"house","EE008","EE008",708,"ppm2",238
"rouge vald",2015,"house","EE008","EE008",698,"ppm2",206
"setomaa vald",2015,"house","EE008","EE008",732,"ppm2",320
"tartu linn",2015,"house","EE008","EE008",793,"ppm2",769
"tartu vald",2015,"house","EE008","EE008",796,"ppm2",549
"torva vald",2015,"house","EE008","EE008",824,"ppm2",255
"valga vald",2015,"house","EE008","EE008",855,"ppm2",230
"viljandi linn",2015,"house","EE008","EE008",897,"ppm2",438
"viljandi vald",2015,"house","EE008","EE008",899,"ppm2",259
"voru linn",2015,"house","EE008","EE008",919,"ppm2",330
"voru vald",2015,"house","EE008","EE008",917,"ppm2",252
"haljala vald",2015,"house","EE009","EE006",191,"ppm2",686
"jarva vald",2015,"house","EE009","EE006",255,"ppm2",162
"kadrina vald",2015,"house","EE009","EE006",272,"ppm2",286
"kehtna vald",2015,"house","EE009","EE006",293,"ppm2",248
"kohila vald",2015,"house","EE009","EE006",317,"ppm2",614
"marjamaa vald",2015,"house","EE009","EE006",503,"ppm2",265
"paide linn",2015,"house","EE009","EE006",567,"ppm2",316
"rakvere linn",2015,"house","EE009","EE006",663,"ppm2",414
"rakvere vald",2015,"house","EE009","EE006",661,"ppm2",358
"rapla vald",2015,"house","EE009","EE006",668,"ppm2",461
"tapa vald",2015,"house","EE009","EE006",792,"ppm2",266
"turi vald",2015,"house","EE009","EE006",834,"ppm2",250
"vaikemaarja vald",2015,"house","EE009","EE006",928,"ppm2",214
"vinni vald",2015,"house","EE009","EE006",901,"ppm2",316
"virunigula vald",2015,"house","EE009","EE006",903,"ppm2",587
"alutaguse vald",2015,"house","EE00A","EE007",130,"ppm2",202
"johvi vald",2015,"house","EE00A","EE007",251,"ppm2",435
"kohtlajarve linn",2015,"house","EE00A","EE007",321,"ppm2",260
"luganuse vald",2015,"house","EE00A","EE007",442,"ppm2",168
"narva linn",2015,"house","EE00A","EE007",511,"ppm2",458
"narvajoesuu linn",2015,"house","EE00A","EE007",514,"ppm2",900
"sillamae linn",2015,"house","EE00A","EE007",735,"ppm2",385
"toila vald",2015,"house","EE00A","EE007",803,"ppm2",268
"anija vald",2016,"house","EE001","EE001",141,"ppm2",530
"harku vald",2016,"house","EE001","EE001",198,"ppm2",1062
"joelahtme vald",2016,"house","EE001","EE001",245,"ppm2",1178
"keila linn",2016,"house","EE001","EE001",296,"ppm2",967
"kiili vald",2016,"house","EE001","EE001",304,"ppm2",1195
"kose vald",2016,"house","EE001","EE001",338,"ppm2",916
"kuusalu vald",2016,"house","EE001","EE001",353,"ppm2",683
"laaneharju vald",2016,"house","EE001","EE001",431,"ppm2",704
"loksa linn",2016,"house","EE001","EE001",424,"ppm2",1011
"maardu linn",2016,"house","EE001","EE001",446,"ppm2",1077
"raasiku vald",2016,"house","EE001","EE001",651,"ppm2",1252
"rae vald",2016,"house","EE001","EE001",653,"ppm2",1275
"saku vald",2016,"house","EE001","EE001",718,"ppm2",947
"saue vald",2016,"house","EE001","EE001",726,"ppm2",997
"tallinn",2016,"house","EE001","EE001",784,"ppm2",1619
"viimsi vald",2016,"house","EE001","EE001",890,"ppm2",1208
"haademeeste vald",2016,"house","EE004","EE004",214,"ppm2",387
"haapsalu linn",2016,"house","EE004","EE004",184,"ppm2",633
"hiiumaa vald",2016,"house","EE004","EE004",205,"ppm2",462
"kihnu vald",2016,"house","EE004","EE004",303,"ppm2",431
"laanenigula vald",2016,"house","EE004","EE004",441,"ppm2",273
"laaneranna vald",2016,"house","EE004","EE004",430,"ppm2",181
"muhu vald",2016,"house","EE004","EE004",478,"ppm2",468
"parnu linn",2016,"house","EE004","EE004",624,"ppm2",808
"pohjaparnumaa vald",2016,"house","EE004","EE004",638,"ppm2",191
"ruhnu vald",2016,"house","EE004","EE004",689,"ppm2",431
"saarde vald",2016,"house","EE004","EE004",712,"ppm2",280
"saaremaa vald",2016,"house","EE004","EE004",714,"ppm2",577
"tori vald",2016,"house","EE004","EE004",809,"ppm2",525
"vormsi vald",2016,"house","EE004","EE004",907,"ppm2",526
"antsla vald",2016,"house","EE008","EE008",142,"ppm2",141
"elva vald",2016,"house","EE008","EE008",171,"ppm2",482
"jogeva vald",2016,"house","EE008","EE008",247,"ppm2",216
"kambja vald",2016,"house","EE008","EE008",283,"ppm2",1004
"kanepi vald",2016,"house","EE008","EE008",284,"ppm2",399
"kastre vald",2016,"house","EE008","EE008",291,"ppm2",705
"luunja vald",2016,"house","EE008","EE008",432,"ppm2",787
"mulgi vald",2016,"house","EE008","EE008",480,"ppm2",101
"mustvee vald",2016,"house","EE008","EE008",486,"ppm2",257
"noo vald",2016,"house","EE008","EE008",528,"ppm2",753
"otepaa vald",2016,"house","EE008","EE008",557,"ppm2",484
"peipsiaare vald",2016,"house","EE008","EE008",586,"ppm2",216
"pohjasakala vald",2016,"house","EE008","EE008",615,"ppm2",202
"poltsamaa vald",2016,"house","EE008","EE008",618,"ppm2",213
"polva vald",2016,"house","EE008","EE008",622,"ppm2",328
"rapina vald",2016,"house","EE008","EE008",708,"ppm2",235
"rouge vald",2016,"house","EE008","EE008",698,"ppm2",168
"setomaa vald",2016,"house","EE008","EE008",732,"ppm2",215
"tartu linn",2016,"house","EE008","EE008",793,"ppm2",1073
"tartu vald",2016,"house","EE008","EE008",796,"ppm2",599
"torva vald",2016,"house","EE008","EE008",824,"ppm2",282
"valga vald",2016,"house","EE008","EE008",855,"ppm2",149
"viljandi linn",2016,"house","EE008","EE008",897,"ppm2",401
"viljandi vald",2016,"house","EE008","EE008",899,"ppm2",322
"voru linn",2016,"house","EE008","EE008",919,"ppm2",360
"voru vald",2016,"house","EE008","EE008",917,"ppm2",339
"haljala vald",2016,"house","EE009","EE006",191,"ppm2",504
"jarva vald",2016,"house","EE009","EE006",255,"ppm2",215
"kadrina vald",2016,"house","EE009","EE006",272,"ppm2",235
"kehtna vald",2016,"house","EE009","EE006",293,"ppm2",407
"kohila vald",2016,"house","EE009","EE006",317,"ppm2",663
"marjamaa vald",2016,"house","EE009","EE006",503,"ppm2",213
"paide linn",2016,"house","EE009","EE006",567,"ppm2",426
"rakvere linn",2016,"house","EE009","EE006",663,"ppm2",452
"rakvere vald",2016,"house","EE009","EE006",661,"ppm2",304
"rapla vald",2016,"house","EE009","EE006",668,"ppm2",502
"tapa vald",2016,"house","EE009","EE006",792,"ppm2",212
"turi vald",2016,"house","EE009","EE006",834,"ppm2",232
"vaikemaarja vald",2016,"house","EE009","EE006",928,"ppm2",202
"vinni vald",2016,"house","EE009","EE006",901,"ppm2",217
"virunigula vald",2016,"house","EE009","EE006",903,"ppm2",213
"alutaguse vald",2016,"house","EE00A","EE007",130,"ppm2",248
"johvi vald",2016,"house","EE00A","EE007",251,"ppm2",427
"kohtlajarve linn",2016,"house","EE00A","EE007",321,"ppm2",237
"luganuse vald",2016,"house","EE00A","EE007",442,"ppm2",235
"narva linn",2016,"house","EE00A","EE007",511,"ppm2",281
"narvajoesuu linn",2016,"house","EE00A","EE007",514,"ppm2",642
"sillamae linn",2016,"house","EE00A","EE007",735,"ppm2",339
"toila vald",2016,"house","EE00A","EE007",803,"ppm2",303
"anija vald",2017,"house","EE001","EE001",141,"ppm2",441
"harku vald",2017,"house","EE001","EE001",198,"ppm2",1302
"joelahtme vald",2017,"house","EE001","EE001",245,"ppm2",1265
"keila linn",2017,"house","EE001","EE001",296,"ppm2",893
"kiili vald",2017,"house","EE001","EE001",304,"ppm2",976
"kose vald",2017,"house","EE001","EE001",338,"ppm2",813
"kuusalu vald",2017,"house","EE001","EE001",353,"ppm2",775
"laaneharju vald",2017,"house","EE001","EE001",431,"ppm2",985
"loksa linn",2017,"house","EE001","EE001",424,"ppm2",796
"maardu linn",2017,"house","EE001","EE001",446,"ppm2",1304
"raasiku vald",2017,"house","EE001","EE001",651,"ppm2",795
"rae vald",2017,"house","EE001","EE001",653,"ppm2",1301
"saku vald",2017,"house","EE001","EE001",718,"ppm2",989
"saue vald",2017,"house","EE001","EE001",726,"ppm2",872
"tallinn",2017,"house","EE001","EE001",784,"ppm2",1652
"viimsi vald",2017,"house","EE001","EE001",890,"ppm2",1220
"haademeeste vald",2017,"house","EE004","EE004",214,"ppm2",567
"haapsalu linn",2017,"house","EE004","EE004",184,"ppm2",731
"hiiumaa vald",2017,"house","EE004","EE004",205,"ppm2",405
"kihnu vald",2017,"house","EE004","EE004",303,"ppm2",481
"laanenigula vald",2017,"house","EE004","EE004",441,"ppm2",334
"laaneranna vald",2017,"house","EE004","EE004",430,"ppm2",247
"muhu vald",2017,"house","EE004","EE004",478,"ppm2",446
"parnu linn",2017,"house","EE004","EE004",624,"ppm2",780
"pohjaparnumaa vald",2017,"house","EE004","EE004",638,"ppm2",273
"ruhnu vald",2017,"house","EE004","EE004",689,"ppm2",481
"saarde vald",2017,"house","EE004","EE004",712,"ppm2",306
"saaremaa vald",2017,"house","EE004","EE004",714,"ppm2",520
"tori vald",2017,"house","EE004","EE004",809,"ppm2",678
"vormsi vald",2017,"house","EE004","EE004",907,"ppm2",586
"antsla vald",2017,"house","EE008","EE008",142,"ppm2",177
"elva vald",2017,"house","EE008","EE008",171,"ppm2",444
"jogeva vald",2017,"house","EE008","EE008",247,"ppm2",215
"kambja vald",2017,"house","EE008","EE008",283,"ppm2",1027
"kanepi vald",2017,"house","EE008","EE008",284,"ppm2",412
"kastre vald",2017,"house","EE008","EE008",291,"ppm2",995
