"lau_name","municipality","year","indicator","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"elva vald","Puka rural municipality","2004","dwelling",872,"EE008","EE008",171
"elva vald","Puka rural municipality","2004","totalm2",65134.5,"EE008","EE008",171
"elva vald","Puka rural municipality","2005","dwelling",894,"EE008","EE008",171
"elva vald","Puka rural municipality","2005","totalm2",66647.8,"EE008","EE008",171
"elva vald","Puka rural municipality","2006","dwelling",908,"EE008","EE008",171
"elva vald","Puka rural municipality","2006","totalm2",69126,"EE008","EE008",171
"elva vald","Puka rural municipality","2007","dwelling",910,"EE008","EE008",171
"elva vald","Puka rural municipality","2007","totalm2",69439.2,"EE008","EE008",171
"elva vald","Rannu rural municipality","2003","dwelling",753,"EE008","EE008",171
"elva vald","Rannu rural municipality","2003","totalm2",51869.6,"EE008","EE008",171
"elva vald","Rannu rural municipality","2004","dwelling",766,"EE008","EE008",171
"elva vald","Rannu rural municipality","2004","totalm2",52894.4,"EE008","EE008",171
"elva vald","Rannu rural municipality","2005","dwelling",776,"EE008","EE008",171
"elva vald","Rannu rural municipality","2005","totalm2",53772.6,"EE008","EE008",171
"elva vald","Rannu rural municipality","2006","dwelling",845,"EE008","EE008",171
"elva vald","Rannu rural municipality","2006","totalm2",58959.6,"EE008","EE008",171
"elva vald","Rannu rural municipality","2007","dwelling",846,"EE008","EE008",171
"elva vald","Rannu rural municipality","2007","totalm2",59005.1,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2003","dwelling",1154,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2003","totalm2",82110.7,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2004","dwelling",1161,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2004","totalm2",83150.6,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2005","dwelling",1195,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2005","totalm2",86209.5,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2006","dwelling",1217,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2006","totalm2",87673.1,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2007","dwelling",1217,"EE008","EE008",171
"elva vald","Rõngu rural municipality","2007","totalm2",87673.1,"EE008","EE008",171
"haapsalu linn","Haapsalu city","2003","dwelling",6171,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2003","totalm2",337477.3,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2004","dwelling",6185,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2004","totalm2",339164.8,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2005","dwelling",6285,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2005","totalm2",346540.2,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2006","dwelling",6372,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2006","totalm2",352219,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2007","dwelling",6411,"EE004","EE004",184
"haapsalu linn","Haapsalu city","2007","totalm2",355597.2,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2003","dwelling",1389,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2003","totalm2",93367.8,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2004","dwelling",1401,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2004","totalm2",94232,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2005","dwelling",1467,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2005","totalm2",99302.8,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2006","dwelling",2091,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2006","totalm2",133471.7,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2007","dwelling",2110,"EE004","EE004",184
"haapsalu linn","Ridala rural municipality","2007","totalm2",135128.7,"EE004","EE004",184
"haljala vald","Haljala rural municipality","2003","dwelling",1324,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2003","totalm2",91108.1,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2004","dwelling",1329,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2004","totalm2",91454.6,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2005","dwelling",1334,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2005","totalm2",92358.7,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2006","dwelling",1349,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2006","totalm2",93350.8,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2007","dwelling",1349,"EE009","EE006",191
"haljala vald","Haljala rural municipality","2007","totalm2",93350.8,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2003","dwelling",1585,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2003","totalm2",123548.5,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2004","dwelling",1604,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2004","totalm2",126188.7,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2005","dwelling",1620,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2005","totalm2",127735.9,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2006","dwelling",2249,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2006","totalm2",168044.2,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2007","dwelling",2261,"EE009","EE006",191
"haljala vald","Vihula rural municipality","2007","totalm2",168982.5,"EE009","EE006",191
"harku vald","Harku rural municipality","2003","dwelling",2366,"EE001","EE001",198
"harku vald","Harku rural municipality","2003","totalm2",186209.7,"EE001","EE001",198
"harku vald","Harku rural municipality","2004","dwelling",2543,"EE001","EE001",198
"harku vald","Harku rural municipality","2004","totalm2",199393.4,"EE001","EE001",198
"harku vald","Harku rural municipality","2005","dwelling",2771,"EE001","EE001",198
"harku vald","Harku rural municipality","2005","totalm2",218515.1,"EE001","EE001",198
"harku vald","Harku rural municipality","2006","dwelling",5433,"EE001","EE001",198
"harku vald","Harku rural municipality","2006","totalm2",392909.5,"EE001","EE001",198
"harku vald","Harku rural municipality","2007","dwelling",5560,"EE001","EE001",198
"harku vald","Harku rural municipality","2007","totalm2",406948.9,"EE001","EE001",198
"hiiumaa vald","Emmaste rural municipality","2003","dwelling",647,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2003","totalm2",54622,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2004","dwelling",650,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2004","totalm2",55223.7,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2005","dwelling",654,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2005","totalm2",55685.7,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2006","dwelling",670,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2006","totalm2",56613.3,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2007","dwelling",671,"EE004","EE004",205
"hiiumaa vald","Emmaste rural municipality","2007","totalm2",56728.9,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2003","dwelling",1087,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2003","totalm2",90342,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2004","dwelling",1094,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2004","totalm2",90945.4,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2005","dwelling",1100,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2005","totalm2",91316.2,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2006","dwelling",1156,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2006","totalm2",95166.7,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2007","dwelling",1164,"EE004","EE004",205
"hiiumaa vald","Käina rural municipality","2007","totalm2",96100.3,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2003","dwelling",1689,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2003","totalm2",120545.9,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2004","dwelling",1713,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2004","totalm2",121734.8,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2005","dwelling",1717,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2005","totalm2",122292.8,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2006","dwelling",1723,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2006","totalm2",123168.7,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2007","dwelling",1725,"EE004","EE004",205
"hiiumaa vald","Kärdla city","2007","totalm2",123573.1,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2003","dwelling",818,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2003","totalm2",61040.7,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2004","dwelling",847,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2004","totalm2",64356.7,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2005","dwelling",885,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2005","totalm2",67509.9,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2006","dwelling",907,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2006","totalm2",68866.8,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2007","dwelling",911,"EE004","EE004",205
"hiiumaa vald","Kõrgessaare rural municipality","2007","totalm2",69146.9,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2003","dwelling",917,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2003","totalm2",73371.3,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2004","dwelling",921,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2004","totalm2",73568.5,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2005","dwelling",929,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2005","totalm2",74285.4,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2006","dwelling",958,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2006","totalm2",76075.6,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2007","dwelling",958,"EE004","EE004",205
"hiiumaa vald","Pühalepa rural municipality","2007","totalm2",76075.6,"EE004","EE004",205
"häädemeeste vald","Häädemeeste rural municipality","2003","dwelling",1128,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2003","totalm2",85386.1,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2004","dwelling",1155,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2004","totalm2",87394.6,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2005","dwelling",1166,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2005","totalm2",89249.4,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2006","dwelling",1303,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2006","totalm2",97907.2,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2007","dwelling",1303,"EE004","EE004",214
"häädemeeste vald","Häädemeeste rural municipality","2007","totalm2",97907.2,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2003","dwelling",681,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2003","totalm2",56682.2,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2004","dwelling",770,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2004","totalm2",69519.7,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2005","dwelling",860,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2005","totalm2",76379.9,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2006","dwelling",903,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2006","totalm2",80095.1,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2007","dwelling",908,"EE004","EE004",214
"häädemeeste vald","Tahkuranna rural municipality","2007","totalm2",80903.4,"EE004","EE004",214
"järva vald","Albu rural municipality","2003","dwelling",668,"EE009","EE006",255
"järva vald","Albu rural municipality","2003","totalm2",52591.7,"EE009","EE006",255
"järva vald","Albu rural municipality","2004","dwelling",670,"EE009","EE006",255
"järva vald","Albu rural municipality","2004","totalm2",52737.5,"EE009","EE006",255
"järva vald","Albu rural municipality","2005","dwelling",679,"EE009","EE006",255
"järva vald","Albu rural municipality","2005","totalm2",53483.2,"EE009","EE006",255
"järva vald","Albu rural municipality","2006","dwelling",695,"EE009","EE006",255
"järva vald","Albu rural municipality","2006","totalm2",54698.2,"EE009","EE006",255
"järva vald","Albu rural municipality","2007","dwelling",695,"EE009","EE006",255
"järva vald","Albu rural municipality","2007","totalm2",54698.2,"EE009","EE006",255
"järva vald","Ambla rural municipality","2003","dwelling",1183,"EE009","EE006",255
"järva vald","Ambla rural municipality","2003","totalm2",93838.3,"EE009","EE006",255
"järva vald","Ambla rural municipality","2004","dwelling",1197,"EE009","EE006",255
"järva vald","Ambla rural municipality","2004","totalm2",96041,"EE009","EE006",255
"järva vald","Ambla rural municipality","2005","dwelling",1213,"EE009","EE006",255
"järva vald","Ambla rural municipality","2005","totalm2",96719.1,"EE009","EE006",255
"järva vald","Ambla rural municipality","2006","dwelling",1212,"EE009","EE006",255
"järva vald","Ambla rural municipality","2006","totalm2",96681.2,"EE009","EE006",255
"järva vald","Ambla rural municipality","2007","dwelling",1212,"EE009","EE006",255
"järva vald","Ambla rural municipality","2007","totalm2",96681.2,"EE009","EE006",255
"järva vald","Imavere rural municipality","2003","dwelling",415,"EE009","EE006",255
"järva vald","Imavere rural municipality","2003","totalm2",32143.2,"EE009","EE006",255
"järva vald","Imavere rural municipality","2004","dwelling",412,"EE009","EE006",255
"järva vald","Imavere rural municipality","2004","totalm2",32119.9,"EE009","EE006",255
"järva vald","Imavere rural municipality","2005","dwelling",423,"EE009","EE006",255
"järva vald","Imavere rural municipality","2005","totalm2",32578.2,"EE009","EE006",255
"järva vald","Imavere rural municipality","2006","dwelling",427,"EE009","EE006",255
"järva vald","Imavere rural municipality","2006","totalm2",32750.9,"EE009","EE006",255
"järva vald","Imavere rural municipality","2007","dwelling",428,"EE009","EE006",255
"järva vald","Imavere rural municipality","2007","totalm2",32893.2,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2003","dwelling",931,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2003","totalm2",72044.7,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2004","dwelling",942,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2004","totalm2",72882.4,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2005","dwelling",963,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2005","totalm2",74099.5,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2006","dwelling",966,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2006","totalm2",74197.2,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2007","dwelling",967,"EE009","EE006",255
"järva vald","Järva-Jaani rural municipality","2007","totalm2",74309.9,"EE009","EE006",255
"järva vald","Kareda rural municipality","2003","dwelling",458,"EE009","EE006",255
"järva vald","Kareda rural municipality","2003","totalm2",36270.7,"EE009","EE006",255
"järva vald","Kareda rural municipality","2004","dwelling",473,"EE009","EE006",255
"järva vald","Kareda rural municipality","2004","totalm2",37751.2,"EE009","EE006",255
"järva vald","Kareda rural municipality","2005","dwelling",479,"EE009","EE006",255
"järva vald","Kareda rural municipality","2005","totalm2",38265.2,"EE009","EE006",255
"järva vald","Kareda rural municipality","2006","dwelling",486,"EE009","EE006",255
"järva vald","Kareda rural municipality","2006","totalm2",39250.7,"EE009","EE006",255
"järva vald","Kareda rural municipality","2007","dwelling",486,"EE009","EE006",255
"järva vald","Kareda rural municipality","2007","totalm2",39250.7,"EE009","EE006",255
"järva vald","Koeru rural municipality","2003","dwelling",1179,"EE009","EE006",255
"järva vald","Koeru rural municipality","2003","totalm2",89425.2,"EE009","EE006",255
"järva vald","Koeru rural municipality","2004","dwelling",1205,"EE009","EE006",255
"järva vald","Koeru rural municipality","2004","totalm2",91387.5,"EE009","EE006",255
"järva vald","Koeru rural municipality","2005","dwelling",1252,"EE009","EE006",255
"järva vald","Koeru rural municipality","2005","totalm2",94258.8,"EE009","EE006",255
"järva vald","Koeru rural municipality","2006","dwelling",1255,"EE009","EE006",255
"järva vald","Koeru rural municipality","2006","totalm2",100566.6,"EE009","EE006",255
"järva vald","Koeru rural municipality","2007","dwelling",1248,"EE009","EE006",255
