"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"haapsalu linn","2011","70-79 m²",1362,"EE004","EE004",184
"haapsalu linn","2021","70-79 m²",1384,"EE004","EE004",184
"haapsalu linn","2000","80-99 m²",998,"EE004","EE004",184
"haapsalu linn","2011","80-99 m²",1128,"EE004","EE004",184
"haapsalu linn","2021","80-99 m²",1366,"EE004","EE004",184
"haapsalu linn","2000","100-119 m²",542,"EE004","EE004",184
"haapsalu linn","2011","100-119 m²",796,"EE004","EE004",184
"haapsalu linn","2021","100-119 m²",792,"EE004","EE004",184
"haapsalu linn","2000","120-149 m²",272,"EE004","EE004",184
"haapsalu linn","2011","120-149 m²",620,"EE004","EE004",184
"haapsalu linn","2021","120-149 m²",588,"EE004","EE004",184
"haapsalu linn","2000","150 m² or more",250,"EE004","EE004",184
"haapsalu linn","2011","150 m² or more",922,"EE004","EE004",184
"haapsalu linn","2021","150 m² or more",752,"EE004","EE004",184
"haapsalu linn","2000","Area of dwelling unknown",640,"EE004","EE004",184
"haapsalu linn","2011","Area of dwelling unknown",64,"EE004","EE004",184
"haapsalu linn","2021","Area of dwelling unknown",182,"EE004","EE004",184
"haljala vald","2000","Area of dwelling total",5838,"EE009","EE006",191
"haljala vald","2011","Area of dwelling total",5666,"EE009","EE006",191
"haljala vald","2021","Area of dwelling total",6316,"EE009","EE006",191
"haljala vald","2000","Less than 30 m²",154,"EE009","EE006",191
"haljala vald","2011","Less than 30 m²",116,"EE009","EE006",191
"haljala vald","2021","Less than 30 m²",206,"EE009","EE006",191
"haljala vald","2000","30-39 m²",472,"EE009","EE006",191
"haljala vald","2011","30-39 m²",284,"EE009","EE006",191
"haljala vald","2021","30-39 m²",462,"EE009","EE006",191
"haljala vald","2000","40-49 m²",786,"EE009","EE006",191
"haljala vald","2011","40-49 m²",700,"EE009","EE006",191
"haljala vald","2021","40-49 m²",694,"EE009","EE006",191
"haljala vald","2000","50-59 m²",912,"EE009","EE006",191
"haljala vald","2011","50-59 m²",774,"EE009","EE006",191
"haljala vald","2021","50-59 m²",934,"EE009","EE006",191
"haljala vald","2000","60-69 m²",838,"EE009","EE006",191
"haljala vald","2011","60-69 m²",796,"EE009","EE006",191
"haljala vald","2021","60-69 m²",786,"EE009","EE006",191
"haljala vald","2000","70-79 m²",762,"EE009","EE006",191
"haljala vald","2011","70-79 m²",704,"EE009","EE006",191
"haljala vald","2021","70-79 m²",820,"EE009","EE006",191
"haljala vald","2000","80-99 m²",786,"EE009","EE006",191
"haljala vald","2011","80-99 m²",662,"EE009","EE006",191
"haljala vald","2021","80-99 m²",858,"EE009","EE006",191
"haljala vald","2000","100-119 m²",472,"EE009","EE006",191
"haljala vald","2011","100-119 m²",490,"EE009","EE006",191
"haljala vald","2021","100-119 m²",580,"EE009","EE006",191
"haljala vald","2000","120-149 m²",344,"EE009","EE006",191
"haljala vald","2011","120-149 m²",414,"EE009","EE006",191
"haljala vald","2021","120-149 m²",448,"EE009","EE006",191
"haljala vald","2000","150 m² or more",214,"EE009","EE006",191
"haljala vald","2011","150 m² or more",562,"EE009","EE006",191
"haljala vald","2021","150 m² or more",482,"EE009","EE006",191
"haljala vald","2000","Area of dwelling unknown",98,"EE009","EE006",191
"haljala vald","2011","Area of dwelling unknown",164,"EE009","EE006",191
"haljala vald","2021","Area of dwelling unknown",46,"EE009","EE006",191
"harku vald","2000","Area of dwelling total",5048,"EE001","EE001",198
"harku vald","2011","Area of dwelling total",10956,"EE001","EE001",198
"harku vald","2021","Area of dwelling total",14250,"EE001","EE001",198
"harku vald","2000","Less than 30 m²",224,"EE001","EE001",198
"harku vald","2011","Less than 30 m²",154,"EE001","EE001",198
"harku vald","2021","Less than 30 m²",302,"EE001","EE001",198
"harku vald","2000","30-39 m²",586,"EE001","EE001",198
"harku vald","2011","30-39 m²",584,"EE001","EE001",198
"harku vald","2021","30-39 m²",922,"EE001","EE001",198
"harku vald","2000","40-49 m²",1056,"EE001","EE001",198
"harku vald","2011","40-49 m²",1074,"EE001","EE001",198
"harku vald","2021","40-49 m²",1578,"EE001","EE001",198
"harku vald","2000","50-59 m²",702,"EE001","EE001",198
"harku vald","2011","50-59 m²",900,"EE001","EE001",198
"harku vald","2021","50-59 m²",1240,"EE001","EE001",198
"harku vald","2000","60-69 m²",558,"EE001","EE001",198
"harku vald","2011","60-69 m²",808,"EE001","EE001",198
"harku vald","2021","60-69 m²",1110,"EE001","EE001",198
"harku vald","2000","70-79 m²",316,"EE001","EE001",198
"harku vald","2011","70-79 m²",578,"EE001","EE001",198
"harku vald","2021","70-79 m²",868,"EE001","EE001",198
"harku vald","2000","80-99 m²",384,"EE001","EE001",198
"harku vald","2011","80-99 m²",780,"EE001","EE001",198
"harku vald","2021","80-99 m²",1512,"EE001","EE001",198
"harku vald","2000","100-119 m²",276,"EE001","EE001",198
"harku vald","2011","100-119 m²",1188,"EE001","EE001",198
"harku vald","2021","100-119 m²",1674,"EE001","EE001",198
"harku vald","2000","120-149 m²",226,"EE001","EE001",198
"harku vald","2011","120-149 m²",1488,"EE001","EE001",198
"harku vald","2021","120-149 m²",1856,"EE001","EE001",198
"harku vald","2000","150 m² or more",484,"EE001","EE001",198
"harku vald","2011","150 m² or more",3326,"EE001","EE001",198
"harku vald","2021","150 m² or more",3060,"EE001","EE001",198
"harku vald","2000","Area of dwelling unknown",236,"EE001","EE001",198
"harku vald","2011","Area of dwelling unknown",76,"EE001","EE001",198
"harku vald","2021","Area of dwelling unknown",128,"EE001","EE001",198
"hiiumaa vald","2000","Area of dwelling total",10008,"EE004","EE004",205
"hiiumaa vald","2011","Area of dwelling total",9876,"EE004","EE004",205
"hiiumaa vald","2021","Area of dwelling total",10934,"EE004","EE004",205
"hiiumaa vald","2000","Less than 30 m²",300,"EE004","EE004",205
"hiiumaa vald","2011","Less than 30 m²",182,"EE004","EE004",205
"hiiumaa vald","2021","Less than 30 m²",262,"EE004","EE004",205
"hiiumaa vald","2000","30-39 m²",704,"EE004","EE004",205
"hiiumaa vald","2011","30-39 m²",560,"EE004","EE004",205
"hiiumaa vald","2021","30-39 m²",700,"EE004","EE004",205
"hiiumaa vald","2000","40-49 m²",1316,"EE004","EE004",205
"hiiumaa vald","2011","40-49 m²",1238,"EE004","EE004",205
"hiiumaa vald","2021","40-49 m²",1266,"EE004","EE004",205
