"municipality","year","type_of_building","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE"
"kuusalu vald","2011","Area of dwelling total",7030,"EE001","EE001",353
"kuusalu vald","2021","Area of dwelling total",7872,"EE001","EE001",353
"kuusalu vald","2000","Less than 30 m²",296,"EE001","EE001",353
"kuusalu vald","2011","Less than 30 m²",142,"EE001","EE001",353
"kuusalu vald","2021","Less than 30 m²",194,"EE001","EE001",353
"kuusalu vald","2000","30-39 m²",706,"EE001","EE001",353
"kuusalu vald","2011","30-39 m²",460,"EE001","EE001",353
"kuusalu vald","2021","30-39 m²",532,"EE001","EE001",353
"kuusalu vald","2000","40-49 m²",1284,"EE001","EE001",353
"kuusalu vald","2011","40-49 m²",826,"EE001","EE001",353
"kuusalu vald","2021","40-49 m²",972,"EE001","EE001",353
"kuusalu vald","2000","50-59 m²",962,"EE001","EE001",353
"kuusalu vald","2011","50-59 m²",744,"EE001","EE001",353
"kuusalu vald","2021","50-59 m²",934,"EE001","EE001",353
"kuusalu vald","2000","60-69 m²",1056,"EE001","EE001",353
"kuusalu vald","2011","60-69 m²",1034,"EE001","EE001",353
"kuusalu vald","2021","60-69 m²",1020,"EE001","EE001",353
"kuusalu vald","2000","70-79 m²",852,"EE001","EE001",353
"kuusalu vald","2011","70-79 m²",824,"EE001","EE001",353
"kuusalu vald","2021","70-79 m²",958,"EE001","EE001",353
"kuusalu vald","2000","80-99 m²",778,"EE001","EE001",353
"kuusalu vald","2011","80-99 m²",782,"EE001","EE001",353
"kuusalu vald","2021","80-99 m²",984,"EE001","EE001",353
"kuusalu vald","2000","100-119 m²",430,"EE001","EE001",353
"kuusalu vald","2011","100-119 m²",696,"EE001","EE001",353
"kuusalu vald","2021","100-119 m²",668,"EE001","EE001",353
"kuusalu vald","2000","120-149 m²",306,"EE001","EE001",353
"kuusalu vald","2011","120-149 m²",622,"EE001","EE001",353
"kuusalu vald","2021","120-149 m²",680,"EE001","EE001",353
"kuusalu vald","2000","150 m² or more",212,"EE001","EE001",353
"kuusalu vald","2011","150 m² or more",812,"EE001","EE001",353
"kuusalu vald","2021","150 m² or more",748,"EE001","EE001",353
"kuusalu vald","2000","Area of dwelling unknown",134,"EE001","EE001",353
"kuusalu vald","2011","Area of dwelling unknown",88,"EE001","EE001",353
"kuusalu vald","2021","Area of dwelling unknown",182,"EE001","EE001",353
"loksa linn","2000","Area of dwelling total",3186,"EE001","EE001",424
"loksa linn","2011","Area of dwelling total",3186,"EE001","EE001",424
"loksa linn","2021","Area of dwelling total",3338,"EE001","EE001",424
"loksa linn","2000","Less than 30 m²",258,"EE001","EE001",424
"loksa linn","2011","Less than 30 m²",234,"EE001","EE001",424
"loksa linn","2021","Less than 30 m²",262,"EE001","EE001",424
"loksa linn","2000","30-39 m²",382,"EE001","EE001",424
"loksa linn","2011","30-39 m²",364,"EE001","EE001",424
"loksa linn","2021","30-39 m²",400,"EE001","EE001",424
"loksa linn","2000","40-49 m²",1128,"EE001","EE001",424
"loksa linn","2011","40-49 m²",1160,"EE001","EE001",424
"loksa linn","2021","40-49 m²",1178,"EE001","EE001",424
"loksa linn","2000","50-59 m²",566,"EE001","EE001",424
"loksa linn","2011","50-59 m²",512,"EE001","EE001",424
"loksa linn","2021","50-59 m²",500,"EE001","EE001",424
"loksa linn","2000","60-69 m²",474,"EE001","EE001",424
"loksa linn","2011","60-69 m²",436,"EE001","EE001",424
"loksa linn","2021","60-69 m²",446,"EE001","EE001",424
"loksa linn","2000","70-79 m²",158,"EE001","EE001",424
"loksa linn","2011","70-79 m²",166,"EE001","EE001",424
"loksa linn","2021","70-79 m²",158,"EE001","EE001",424
"loksa linn","2000","80-99 m²",114,"EE001","EE001",424
"loksa linn","2011","80-99 m²",96,"EE001","EE001",424
"loksa linn","2021","80-99 m²",146,"EE001","EE001",424
"loksa linn","2000","100-119 m²",38,"EE001","EE001",424
"loksa linn","2011","100-119 m²",72,"EE001","EE001",424
"loksa linn","2021","100-119 m²",98,"EE001","EE001",424
"loksa linn","2000","120-149 m²",14,"EE001","EE001",424
"loksa linn","2011","120-149 m²",90,"EE001","EE001",424
"loksa linn","2021","120-149 m²",90,"EE001","EE001",424
"loksa linn","2000","150 m² or more",32,"EE001","EE001",424
"loksa linn","2011","150 m² or more",56,"EE001","EE001",424
"loksa linn","2021","150 m² or more",52,"EE001","EE001",424
"loksa linn","2000","Area of dwelling unknown",22,"EE001","EE001",424
"loksa linn","2011","Area of dwelling unknown",0,"EE001","EE001",424
"loksa linn","2021","Area of dwelling unknown",8,"EE001","EE001",424
"luunja vald","2000","Area of dwelling total",2060,"EE008","EE008",432
"luunja vald","2011","Area of dwelling total",3332,"EE008","EE008",432
"luunja vald","2021","Area of dwelling total",4990,"EE008","EE008",432
"luunja vald","2000","Less than 30 m²",62,"EE008","EE008",432
"luunja vald","2011","Less than 30 m²",40,"EE008","EE008",432
"luunja vald","2021","Less than 30 m²",78,"EE008","EE008",432
"luunja vald","2000","30-39 m²",196,"EE008","EE008",432
"luunja vald","2011","30-39 m²",198,"EE008","EE008",432
"luunja vald","2021","30-39 m²",302,"EE008","EE008",432
"luunja vald","2000","40-49 m²",454,"EE008","EE008",432
"luunja vald","2011","40-49 m²",494,"EE008","EE008",432
"luunja vald","2021","40-49 m²",666,"EE008","EE008",432
"luunja vald","2000","50-59 m²",222,"EE008","EE008",432
"luunja vald","2011","50-59 m²",358,"EE008","EE008",432
"luunja vald","2021","50-59 m²",532,"EE008","EE008",432
"luunja vald","2000","60-69 m²",378,"EE008","EE008",432
"luunja vald","2011","60-69 m²",486,"EE008","EE008",432
"luunja vald","2021","60-69 m²",488,"EE008","EE008",432
"luunja vald","2000","70-79 m²",188,"EE008","EE008",432
"luunja vald","2011","70-79 m²",266,"EE008","EE008",432
"luunja vald","2021","70-79 m²",520,"EE008","EE008",432
"luunja vald","2000","80-99 m²",186,"EE008","EE008",432
"luunja vald","2011","80-99 m²",284,"EE008","EE008",432
"luunja vald","2021","80-99 m²",676,"EE008","EE008",432
"luunja vald","2000","100-119 m²",130,"EE008","EE008",432
"luunja vald","2011","100-119 m²",260,"EE008","EE008",432
"luunja vald","2021","100-119 m²",478,"EE008","EE008",432
"luunja vald","2000","120-149 m²",110,"EE008","EE008",432
"luunja vald","2011","120-149 m²",302,"EE008","EE008",432
"luunja vald","2021","120-149 m²",480,"EE008","EE008",432
"luunja vald","2000","150 m² or more",56,"EE008","EE008",432
"luunja vald","2011","150 m² or more",620,"EE008","EE008",432
"luunja vald","2021","150 m² or more",744,"EE008","EE008",432
"luunja vald","2000","Area of dwelling unknown",78,"EE008","EE008",432
"luunja vald","2011","Area of dwelling unknown",24,"EE008","EE008",432
"luunja vald","2021","Area of dwelling unknown",26,"EE008","EE008",432
"lääne-harju vald","2000","Area of dwelling total",12588,"EE001","EE001",431
"lääne-harju vald","2011","Area of dwelling total",15214,"EE001","EE001",431
"lääne-harju vald","2021","Area of dwelling total",16666,"EE001","EE001",431
"lääne-harju vald","2000","Less than 30 m²",832,"EE001","EE001",431
"lääne-harju vald","2011","Less than 30 m²",832,"EE001","EE001",431
"lääne-harju vald","2021","Less than 30 m²",980,"EE001","EE001",431
"lääne-harju vald","2000","30-39 m²",1868,"EE001","EE001",431
"lääne-harju vald","2011","30-39 m²",2216,"EE001","EE001",431
"lääne-harju vald","2021","30-39 m²",2392,"EE001","EE001",431
"lääne-harju vald","2000","40-49 m²",3578,"EE001","EE001",431
"lääne-harju vald","2011","40-49 m²",3940,"EE001","EE001",431
"lääne-harju vald","2021","40-49 m²",4272,"EE001","EE001",431
"lääne-harju vald","2000","50-59 m²",1654,"EE001","EE001",431
"lääne-harju vald","2011","50-59 m²",1856,"EE001","EE001",431
"lääne-harju vald","2021","50-59 m²",1988,"EE001","EE001",431
"lääne-harju vald","2000","60-69 m²",1804,"EE001","EE001",431
"lääne-harju vald","2011","60-69 m²",1922,"EE001","EE001",431
"lääne-harju vald","2021","60-69 m²",2028,"EE001","EE001",431
"lääne-harju vald","2000","70-79 m²",776,"EE001","EE001",431
"lääne-harju vald","2011","70-79 m²",878,"EE001","EE001",431
"lääne-harju vald","2021","70-79 m²",896,"EE001","EE001",431
"lääne-harju vald","2000","80-99 m²",676,"EE001","EE001",431
"lääne-harju vald","2011","80-99 m²",886,"EE001","EE001",431
"lääne-harju vald","2021","80-99 m²",1110,"EE001","EE001",431
"lääne-harju vald","2000","100-119 m²",378,"EE001","EE001",431
"lääne-harju vald","2011","100-119 m²",796,"EE001","EE001",431
"lääne-harju vald","2021","100-119 m²",832,"EE001","EE001",431
"lääne-harju vald","2000","120-149 m²",222,"EE001","EE001",431
"lääne-harju vald","2011","120-149 m²",772,"EE001","EE001",431
"lääne-harju vald","2021","120-149 m²",878,"EE001","EE001",431
"lääne-harju vald","2000","150 m² or more",204,"EE001","EE001",431
"lääne-harju vald","2011","150 m² or more",1048,"EE001","EE001",431
"lääne-harju vald","2021","150 m² or more",1118,"EE001","EE001",431
"lääne-harju vald","2000","Area of dwelling unknown",596,"EE001","EE001",431
"lääne-harju vald","2011","Area of dwelling unknown",68,"EE001","EE001",431
"lääne-harju vald","2021","Area of dwelling unknown",172,"EE001","EE001",431
"lääne-nigula vald","2000","Area of dwelling total",9294,"EE004","EE004",441
"lääne-nigula vald","2011","Area of dwelling total",8066,"EE004","EE004",441
"lääne-nigula vald","2021","Area of dwelling total",9526,"EE004","EE004",441
"lääne-nigula vald","2000","Less than 30 m²",326,"EE004","EE004",441
"lääne-nigula vald","2011","Less than 30 m²",192,"EE004","EE004",441
"lääne-nigula vald","2021","Less than 30 m²",298,"EE004","EE004",441
"lääne-nigula vald","2000","30-39 m²",684,"EE004","EE004",441
"lääne-nigula vald","2011","30-39 m²",374,"EE004","EE004",441
"lääne-nigula vald","2021","30-39 m²",514,"EE004","EE004",441
"lääne-nigula vald","2000","40-49 m²",1436,"EE004","EE004",441
"lääne-nigula vald","2011","40-49 m²",1060,"EE004","EE004",441
"lääne-nigula vald","2021","40-49 m²",1346,"EE004","EE004",441
"lääne-nigula vald","2000","50-59 m²",1552,"EE004","EE004",441
"lääne-nigula vald","2011","50-59 m²",1210,"EE004","EE004",441
"lääne-nigula vald","2021","50-59 m²",1370,"EE004","EE004",441
"lääne-nigula vald","2000","60-69 m²",1718,"EE004","EE004",441
"lääne-nigula vald","2011","60-69 m²",1388,"EE004","EE004",441
"lääne-nigula vald","2021","60-69 m²",1610,"EE004","EE004",441
"lääne-nigula vald","2000","70-79 m²",1136,"EE004","EE004",441
"lääne-nigula vald","2011","70-79 m²",1010,"EE004","EE004",441
"lääne-nigula vald","2021","70-79 m²",1138,"EE004","EE004",441
"lääne-nigula vald","2000","80-99 m²",1074,"EE004","EE004",441
"lääne-nigula vald","2011","80-99 m²",1048,"EE004","EE004",441
"lääne-nigula vald","2021","80-99 m²",1298,"EE004","EE004",441
"lääne-nigula vald","2000","100-119 m²",486,"EE004","EE004",441
"lääne-nigula vald","2011","100-119 m²",692,"EE004","EE004",441
"lääne-nigula vald","2021","100-119 m²",708,"EE004","EE004",441
"lääne-nigula vald","2000","120-149 m²",326,"EE004","EE004",441
"lääne-nigula vald","2011","120-149 m²",422,"EE004","EE004",441
"lääne-nigula vald","2021","120-149 m²",592,"EE004","EE004",441
"lääne-nigula vald","2000","150 m² or more",152,"EE004","EE004",441
"lääne-nigula vald","2011","150 m² or more",594,"EE004","EE004",441
"lääne-nigula vald","2021","150 m² or more",592,"EE004","EE004",441
"lääne-nigula vald","2000","Area of dwelling unknown",404,"EE004","EE004",441
"lääne-nigula vald","2011","Area of dwelling unknown",76,"EE004","EE004",441
"lääne-nigula vald","2021","Area of dwelling unknown",60,"EE004","EE004",441
"lääneranna vald","2000","Area of dwelling total",8076,"EE004","EE004",430
"lääneranna vald","2011","Area of dwelling total",7496,"EE004","EE004",430
"lääneranna vald","2021","Area of dwelling total",8228,"EE004","EE004",430
"lääneranna vald","2000","Less than 30 m²",408,"EE004","EE004",430
"lääneranna vald","2011","Less than 30 m²",248,"EE004","EE004",430
"lääneranna vald","2021","Less than 30 m²",362,"EE004","EE004",430
"lääneranna vald","2000","30-39 m²",648,"EE004","EE004",430
"lääneranna vald","2011","30-39 m²",472,"EE004","EE004",430
"lääneranna vald","2021","30-39 m²",558,"EE004","EE004",430
"lääneranna vald","2000","40-49 m²",1154,"EE004","EE004",430
"lääneranna vald","2011","40-49 m²",1006,"EE004","EE004",430
"lääneranna vald","2021","40-49 m²",1072,"EE004","EE004",430
"lääneranna vald","2000","50-59 m²",1232,"EE004","EE004",430
"lääneranna vald","2011","50-59 m²",1046,"EE004","EE004",430
"lääneranna vald","2021","50-59 m²",1114,"EE004","EE004",430
"lääneranna vald","2000","60-69 m²",1238,"EE004","EE004",430
"lääneranna vald","2011","60-69 m²",1102,"EE004","EE004",430
"lääneranna vald","2021","60-69 m²",1178,"EE004","EE004",430
"lääneranna vald","2000","70-79 m²",770,"EE004","EE004",430
"lääneranna vald","2011","70-79 m²",812,"EE004","EE004",430
"lääneranna vald","2021","70-79 m²",786,"EE004","EE004",430
"lääneranna vald","2000","80-99 m²",1196,"EE004","EE004",430
"lääneranna vald","2011","80-99 m²",1010,"EE004","EE004",430
"lääneranna vald","2021","80-99 m²",1290,"EE004","EE004",430
"lääneranna vald","2000","100-119 m²",620,"EE004","EE004",430
"lääneranna vald","2011","100-119 m²",768,"EE004","EE004",430
"lääneranna vald","2021","100-119 m²",722,"EE004","EE004",430
"lääneranna vald","2000","120-149 m²",352,"EE004","EE004",430
"lääneranna vald","2011","120-149 m²",486,"EE004","EE004",430
"lääneranna vald","2021","120-149 m²",614,"EE004","EE004",430
"lääneranna vald","2000","150 m² or more",142,"EE004","EE004",430
"lääneranna vald","2011","150 m² or more",494,"EE004","EE004",430
"lääneranna vald","2021","150 m² or more",476,"EE004","EE004",430
"lääneranna vald","2000","Area of dwelling unknown",316,"EE004","EE004",430
"lääneranna vald","2011","Area of dwelling unknown",52,"EE004","EE004",430
"lääneranna vald","2021","Area of dwelling unknown",56,"EE004","EE004",430
"lüganuse vald","2000","Area of dwelling total",14012,"EE00A","EE007",442
"lüganuse vald","2011","Area of dwelling total",10942,"EE00A","EE007",442
"lüganuse vald","2021","Area of dwelling total",12226,"EE00A","EE007",442
"lüganuse vald","2000","Less than 30 m²",726,"EE00A","EE007",442
"lüganuse vald","2011","Less than 30 m²",524,"EE00A","EE007",442
"lüganuse vald","2021","Less than 30 m²",608,"EE00A","EE007",442
"lüganuse vald","2000","30-39 m²",2698,"EE00A","EE007",442
"lüganuse vald","2011","30-39 m²",1568,"EE00A","EE007",442
"lüganuse vald","2021","30-39 m²",1720,"EE00A","EE007",442
"lüganuse vald","2000","40-49 m²",3624,"EE00A","EE007",442
"lüganuse vald","2011","40-49 m²",2544,"EE00A","EE007",442
"lüganuse vald","2021","40-49 m²",2960,"EE00A","EE007",442
"lüganuse vald","2000","50-59 m²",2094,"EE00A","EE007",442
"lüganuse vald","2011","50-59 m²",1656,"EE00A","EE007",442
"lüganuse vald","2021","50-59 m²",1850,"EE00A","EE007",442
"lüganuse vald","2000","60-69 m²",2110,"EE00A","EE007",442
"lüganuse vald","2011","60-69 m²",1846,"EE00A","EE007",442
"lüganuse vald","2021","60-69 m²",1944,"EE00A","EE007",442
"lüganuse vald","2000","70-79 m²",868,"EE00A","EE007",442
"lüganuse vald","2011","70-79 m²",708,"EE00A","EE007",442
"lüganuse vald","2021","70-79 m²",888,"EE00A","EE007",442
"lüganuse vald","2000","80-99 m²",986,"EE00A","EE007",442
"lüganuse vald","2011","80-99 m²",784,"EE00A","EE007",442
"lüganuse vald","2021","80-99 m²",1050,"EE00A","EE007",442
"lüganuse vald","2000","100-119 m²",448,"EE00A","EE007",442
"lüganuse vald","2011","100-119 m²",548,"EE00A","EE007",442
"lüganuse vald","2021","100-119 m²",540,"EE00A","EE007",442
"lüganuse vald","2000","120-149 m²",222,"EE00A","EE007",442
"lüganuse vald","2011","120-149 m²",330,"EE00A","EE007",442
"lüganuse vald","2021","120-149 m²",356,"EE00A","EE007",442
"lüganuse vald","2000","150 m² or more",142,"EE00A","EE007",442
"lüganuse vald","2011","150 m² or more",324,"EE00A","EE007",442
"lüganuse vald","2021","150 m² or more",280,"EE00A","EE007",442
"lüganuse vald","2000","Area of dwelling unknown",94,"EE00A","EE007",442
"lüganuse vald","2011","Area of dwelling unknown",110,"EE00A","EE007",442
"lüganuse vald","2021","Area of dwelling unknown",30,"EE00A","EE007",442
"maardu linn","2000","Area of dwelling total",13182,"EE001","EE001",446
"maardu linn","2011","Area of dwelling total",15492,"EE001","EE001",446
"maardu linn","2021","Area of dwelling total",17218,"EE001","EE001",446
"maardu linn","2000","Less than 30 m²",916,"EE001","EE001",446
"maardu linn","2011","Less than 30 m²",644,"EE001","EE001",446
"maardu linn","2021","Less than 30 m²",1224,"EE001","EE001",446
"maardu linn","2000","30-39 m²",2886,"EE001","EE001",446
"maardu linn","2011","30-39 m²",3104,"EE001","EE001",446
"maardu linn","2021","30-39 m²",3502,"EE001","EE001",446
"maardu linn","2000","40-49 m²",3028,"EE001","EE001",446
"maardu linn","2011","40-49 m²",3344,"EE001","EE001",446
"maardu linn","2021","40-49 m²",3858,"EE001","EE001",446
"maardu linn","2000","50-59 m²",2230,"EE001","EE001",446
"maardu linn","2011","50-59 m²",2208,"EE001","EE001",446
"maardu linn","2021","50-59 m²",1942,"EE001","EE001",446
"maardu linn","2000","60-69 m²",2876,"EE001","EE001",446
"maardu linn","2011","60-69 m²",3018,"EE001","EE001",446
"maardu linn","2021","60-69 m²",3188,"EE001","EE001",446
"maardu linn","2000","70-79 m²",486,"EE001","EE001",446
"maardu linn","2011","70-79 m²",688,"EE001","EE001",446
"maardu linn","2021","70-79 m²",714,"EE001","EE001",446
"maardu linn","2000","80-99 m²",394,"EE001","EE001",446
"maardu linn","2011","80-99 m²",498,"EE001","EE001",446
"maardu linn","2021","80-99 m²",618,"EE001","EE001",446
"maardu linn","2000","100-119 m²",84,"EE001","EE001",446
"maardu linn","2011","100-119 m²",410,"EE001","EE001",446
"maardu linn","2021","100-119 m²",468,"EE001","EE001",446
"maardu linn","2000","120-149 m²",64,"EE001","EE001",446
"maardu linn","2011","120-149 m²",548,"EE001","EE001",446
"maardu linn","2021","120-149 m²",618,"EE001","EE001",446
"maardu linn","2000","150 m² or more",104,"EE001","EE001",446
"maardu linn","2011","150 m² or more",1014,"EE001","EE001",446
"maardu linn","2021","150 m² or more",786,"EE001","EE001",446
"maardu linn","2000","Area of dwelling unknown",114,"EE001","EE001",446
"maardu linn","2011","Area of dwelling unknown",16,"EE001","EE001",446
"maardu linn","2021","Area of dwelling unknown",300,"EE001","EE001",446
"muhu vald","2000","Area of dwelling total",2050,"EE004","EE004",478
"muhu vald","2011","Area of dwelling total",2124,"EE004","EE004",478
"muhu vald","2021","Area of dwelling total",2100,"EE004","EE004",478
"muhu vald","2000","Less than 30 m²",48,"EE004","EE004",478
"muhu vald","2011","Less than 30 m²",18,"EE004","EE004",478
"muhu vald","2021","Less than 30 m²",28,"EE004","EE004",478
"muhu vald","2000","30-39 m²",106,"EE004","EE004",478
"muhu vald","2011","30-39 m²",86,"EE004","EE004",478
"muhu vald","2021","30-39 m²",56,"EE004","EE004",478
"muhu vald","2000","40-49 m²",218,"EE004","EE004",478
"muhu vald","2011","40-49 m²",204,"EE004","EE004",478
"muhu vald","2021","40-49 m²",128,"EE004","EE004",478
"muhu vald","2000","50-59 m²",300,"EE004","EE004",478
"muhu vald","2011","50-59 m²",198,"EE004","EE004",478
"muhu vald","2021","50-59 m²",190,"EE004","EE004",478
"muhu vald","2000","60-69 m²",332,"EE004","EE004",478
"muhu vald","2011","60-69 m²",312,"EE004","EE004",478
"muhu vald","2021","60-69 m²",268,"EE004","EE004",478
"muhu vald","2000","70-79 m²",258,"EE004","EE004",478
"muhu vald","2011","70-79 m²",266,"EE004","EE004",478
"muhu vald","2021","70-79 m²",272,"EE004","EE004",478
"muhu vald","2000","80-99 m²",366,"EE004","EE004",478
"muhu vald","2011","80-99 m²",330,"EE004","EE004",478
"muhu vald","2021","80-99 m²",458,"EE004","EE004",478
"muhu vald","2000","100-119 m²",182,"EE004","EE004",478
"muhu vald","2011","100-119 m²",326,"EE004","EE004",478
"muhu vald","2021","100-119 m²",282,"EE004","EE004",478
"muhu vald","2000","120-149 m²",78,"EE004","EE004",478
"muhu vald","2011","120-149 m²",182,"EE004","EE004",478
"muhu vald","2021","120-149 m²",230,"EE004","EE004",478
"muhu vald","2000","150 m² or more",44,"EE004","EE004",478
"muhu vald","2011","150 m² or more",172,"EE004","EE004",478
"muhu vald","2021","150 m² or more",156,"EE004","EE004",478
"muhu vald","2000","Area of dwelling unknown",118,"EE004","EE004",478
"muhu vald","2011","Area of dwelling unknown",30,"EE004","EE004",478
"muhu vald","2021","Area of dwelling unknown",32,"EE004","EE004",478
"mulgi vald","2000","Area of dwelling total",9806,"EE008","EE008",480
"mulgi vald","2011","Area of dwelling total",8758,"EE008","EE008",480
"mulgi vald","2021","Area of dwelling total",9664,"EE008","EE008",480
"mulgi vald","2000","Less than 30 m²",414,"EE008","EE008",480
"mulgi vald","2011","Less than 30 m²",302,"EE008","EE008",480
"mulgi vald","2021","Less than 30 m²",358,"EE008","EE008",480
"mulgi vald","2000","30-39 m²",894,"EE008","EE008",480
"mulgi vald","2011","30-39 m²",614,"EE008","EE008",480
"mulgi vald","2021","30-39 m²",654,"EE008","EE008",480
"mulgi vald","2000","40-49 m²",1600,"EE008","EE008",480
"mulgi vald","2011","40-49 m²",1308,"EE008","EE008",480
"mulgi vald","2021","40-49 m²",1514,"EE008","EE008",480
"mulgi vald","2000","50-59 m²",1634,"EE008","EE008",480
"mulgi vald","2011","50-59 m²",1306,"EE008","EE008",480
"mulgi vald","2021","50-59 m²",1404,"EE008","EE008",480
"mulgi vald","2000","60-69 m²",1356,"EE008","EE008",480
"mulgi vald","2011","60-69 m²",1276,"EE008","EE008",480
"mulgi vald","2021","60-69 m²",1250,"EE008","EE008",480
"mulgi vald","2000","70-79 m²",1128,"EE008","EE008",480
"mulgi vald","2011","70-79 m²",928,"EE008","EE008",480
"mulgi vald","2021","70-79 m²",1062,"EE008","EE008",480
"mulgi vald","2000","80-99 m²",1288,"EE008","EE008",480
"mulgi vald","2011","80-99 m²",1014,"EE008","EE008",480
"mulgi vald","2021","80-99 m²",1312,"EE008","EE008",480
"mulgi vald","2000","100-119 m²",612,"EE008","EE008",480
"mulgi vald","2011","100-119 m²",802,"EE008","EE008",480
"mulgi vald","2021","100-119 m²",790,"EE008","EE008",480
"mulgi vald","2000","120-149 m²",484,"EE008","EE008",480
"mulgi vald","2011","120-149 m²",526,"EE008","EE008",480
"mulgi vald","2021","120-149 m²",626,"EE008","EE008",480
"mulgi vald","2000","150 m² or more",322,"EE008","EE008",480
"mulgi vald","2011","150 m² or more",636,"EE008","EE008",480
"mulgi vald","2021","150 m² or more",630,"EE008","EE008",480
"mulgi vald","2000","Area of dwelling unknown",74,"EE008","EE008",480
"mulgi vald","2011","Area of dwelling unknown",46,"EE008","EE008",480
"mulgi vald","2021","Area of dwelling unknown",64,"EE008","EE008",480
"mustvee vald","2000","Area of dwelling total",7918,"EE008","EE008",486
"mustvee vald","2011","Area of dwelling total",7338,"EE008","EE008",486
"mustvee vald","2021","Area of dwelling total",7700,"EE008","EE008",486
"mustvee vald","2000","Less than 30 m²",304,"EE008","EE008",486
"mustvee vald","2011","Less than 30 m²",208,"EE008","EE008",486
"mustvee vald","2021","Less than 30 m²",212,"EE008","EE008",486
"mustvee vald","2000","30-39 m²",628,"EE008","EE008",486
"mustvee vald","2011","30-39 m²",448,"EE008","EE008",486
"mustvee vald","2021","30-39 m²",452,"EE008","EE008",486
"mustvee vald","2000","40-49 m²",1262,"EE008","EE008",486
"mustvee vald","2011","40-49 m²",952,"EE008","EE008",486
"mustvee vald","2021","40-49 m²",1028,"EE008","EE008",486
"mustvee vald","2000","50-59 m²",1212,"EE008","EE008",486
"mustvee vald","2011","50-59 m²",1012,"EE008","EE008",486
"mustvee vald","2021","50-59 m²",1028,"EE008","EE008",486
"mustvee vald","2000","60-69 m²",1208,"EE008","EE008",486
"mustvee vald","2011","60-69 m²",1046,"EE008","EE008",486
"mustvee vald","2021","60-69 m²",974,"EE008","EE008",486
"mustvee vald","2000","70-79 m²",764,"EE008","EE008",486
"mustvee vald","2011","70-79 m²",708,"EE008","EE008",486
"mustvee vald","2021","70-79 m²",782,"EE008","EE008",486
"mustvee vald","2000","80-99 m²",1056,"EE008","EE008",486
"mustvee vald","2011","80-99 m²",920,"EE008","EE008",486
"mustvee vald","2021","80-99 m²",1174,"EE008","EE008",486
"mustvee vald","2000","100-119 m²",530,"EE008","EE008",486
"mustvee vald","2011","100-119 m²",802,"EE008","EE008",486
"mustvee vald","2021","100-119 m²",838,"EE008","EE008",486
"mustvee vald","2000","120-149 m²",366,"EE008","EE008",486
"mustvee vald","2011","120-149 m²",572,"EE008","EE008",486
"mustvee vald","2021","120-149 m²",586,"EE008","EE008",486
"mustvee vald","2000","150 m² or more",180,"EE008","EE008",486
"mustvee vald","2011","150 m² or more",596,"EE008","EE008",486
"mustvee vald","2021","150 m² or more",530,"EE008","EE008",486
"mustvee vald","2000","Area of dwelling unknown",408,"EE008","EE008",486
"mustvee vald","2011","Area of dwelling unknown",74,"EE008","EE008",486
"mustvee vald","2021","Area of dwelling unknown",96,"EE008","EE008",486
"märjamaa vald","2000","Area of dwelling total",9300,"EE009","EE006",503
"märjamaa vald","2011","Area of dwelling total",8428,"EE009","EE006",503
"märjamaa vald","2021","Area of dwelling total",9390,"EE009","EE006",503
"märjamaa vald","2000","Less than 30 m²",276,"EE009","EE006",503
"märjamaa vald","2011","Less than 30 m²",216,"EE009","EE006",503
"märjamaa vald","2021","Less than 30 m²",184,"EE009","EE006",503
"märjamaa vald","2000","30-39 m²",618,"EE009","EE006",503
"märjamaa vald","2011","30-39 m²",520,"EE009","EE006",503
"märjamaa vald","2021","30-39 m²",524,"EE009","EE006",503
"märjamaa vald","2000","40-49 m²",1458,"EE009","EE006",503
"märjamaa vald","2011","40-49 m²",1134,"EE009","EE006",503
"märjamaa vald","2021","40-49 m²",1298,"EE009","EE006",503
"märjamaa vald","2000","50-59 m²",1266,"EE009","EE006",503
"märjamaa vald","2011","50-59 m²",948,"EE009","EE006",503
"märjamaa vald","2021","50-59 m²",1052,"EE009","EE006",503
"märjamaa vald","2000","60-69 m²",1228,"EE009","EE006",503
"märjamaa vald","2011","60-69 m²",1024,"EE009","EE006",503
"märjamaa vald","2021","60-69 m²",1002,"EE009","EE006",503
"märjamaa vald","2000","70-79 m²",994,"EE009","EE006",503
"märjamaa vald","2011","70-79 m²",938,"EE009","EE006",503
"märjamaa vald","2021","70-79 m²",1052,"EE009","EE006",503
"märjamaa vald","2000","80-99 m²",1538,"EE009","EE006",503
"märjamaa vald","2011","80-99 m²",1076,"EE009","EE006",503
"märjamaa vald","2021","80-99 m²",1646,"EE009","EE006",503
"märjamaa vald","2000","100-119 m²",768,"EE009","EE006",503
"märjamaa vald","2011","100-119 m²",952,"EE009","EE006",503
"märjamaa vald","2021","100-119 m²",1072,"EE009","EE006",503
"märjamaa vald","2000","120-149 m²",466,"EE009","EE006",503
"märjamaa vald","2011","120-149 m²",644,"EE009","EE006",503
"märjamaa vald","2021","120-149 m²",750,"EE009","EE006",503
"märjamaa vald","2000","150 m² or more",266,"EE009","EE006",503
"märjamaa vald","2011","150 m² or more",884,"EE009","EE006",503
"märjamaa vald","2021","150 m² or more",696,"EE009","EE006",503
"märjamaa vald","2000","Area of dwelling unknown",422,"EE009","EE006",503
