"municipality","indicator","year","value","NUTS 3 CODE 2021","NUTS 3 CODE 2016","LAU CODE","county"
"järva vald","%change","2021",NA,"EE009","EE006",255,"Järva county"
"järva vald","%change","2022",8.5,"EE009","EE006",255,"Järva county"
"järva vald","%change","2023",9.4,"EE009","EE006",255,"Järva county"
"järva vald","%change","2024",9.4,"EE009","EE006",255,"Järva county"
"jõelähtme vald","avg_wage","2021",1409,"EE001","EE001",245,"Harju county"
"jõelähtme vald","avg_wage","2022",1520,"EE001","EE001",245,"Harju county"
"jõelähtme vald","avg_wage","2023",1667,"EE001","EE001",245,"Harju county"
"jõelähtme vald","avg_wage","2024",1753,"EE001","EE001",245,"Harju county"
"jõelähtme vald","employees","2021",4564,"EE001","EE001",245,"Harju county"
"jõelähtme vald","employees","2022",4665,"EE001","EE001",245,"Harju county"
"jõelähtme vald","employees","2023",4668,"EE001","EE001",245,"Harju county"
"jõelähtme vald","employees","2024",4585,"EE001","EE001",245,"Harju county"
"jõelähtme vald","median_wage","2021",1207,"EE001","EE001",245,"Harju county"
"jõelähtme vald","median_wage","2022",1308,"EE001","EE001",245,"Harju county"
"jõelähtme vald","median_wage","2023",1417,"EE001","EE001",245,"Harju county"
"jõelähtme vald","median_wage","2024",1489,"EE001","EE001",245,"Harju county"
"jõelähtme vald","%change","2021",NA,"EE001","EE001",245,"Harju county"
"jõelähtme vald","%change","2022",7.9,"EE001","EE001",245,"Harju county"
"jõelähtme vald","%change","2023",9.7,"EE001","EE001",245,"Harju county"
"jõelähtme vald","%change","2024",5.1,"EE001","EE001",245,"Harju county"
"jõgeva vald","avg_wage","2021",1197,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","avg_wage","2022",1335,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","avg_wage","2023",1500,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","avg_wage","2024",1610,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","employees","2021",4665,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","employees","2022",4616,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","employees","2023",4474,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","employees","2024",4387,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","median_wage","2021",1045,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","median_wage","2022",1170,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","median_wage","2023",1310,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","median_wage","2024",1402,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","%change","2021",NA,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","%change","2022",11.5,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","%change","2023",12.3,"EE008","EE008",247,"Jõgeva county"
"jõgeva vald","%change","2024",7.4,"EE008","EE008",247,"Jõgeva county"
"jõhvi vald","avg_wage","2021",1179,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","avg_wage","2022",1301,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","avg_wage","2023",1447,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","avg_wage","2024",1579,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","employees","2021",7396,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","employees","2022",7447,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","employees","2023",7198,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","employees","2024",6867,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","median_wage","2021",982,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","median_wage","2022",1072,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","median_wage","2023",1181,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","median_wage","2024",1287,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","%change","2021",NA,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","%change","2022",10.3,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","%change","2023",11.2,"EE00A","EE007",251,"Ida-Viru county"
"jõhvi vald","%change","2024",9.2,"EE00A","EE007",251,"Ida-Viru county"
"kadrina vald","avg_wage","2021",1269,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","avg_wage","2022",1414,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","avg_wage","2023",1548,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","avg_wage","2024",1672,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","employees","2021",1360,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","employees","2022",1359,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","employees","2023",1313,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","employees","2024",1286,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","median_wage","2021",1077,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","median_wage","2022",1232,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","median_wage","2023",1371,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","median_wage","2024",1491,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","%change","2021",NA,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","%change","2022",11.4,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","%change","2023",9.5,"EE009","EE006",272,"Lääne-Viru county"
"kadrina vald","%change","2024",8,"EE009","EE006",272,"Lääne-Viru county"
"kambja vald","avg_wage","2021",1400,"EE008","EE008",283,"Tartu county"
"kambja vald","avg_wage","2022",1541,"EE008","EE008",283,"Tartu county"
"kambja vald","avg_wage","2023",1706,"EE008","EE008",283,"Tartu county"
"kambja vald","avg_wage","2024",1812,"EE008","EE008",283,"Tartu county"
"kambja vald","employees","2021",5187,"EE008","EE008",283,"Tartu county"
"kambja vald","employees","2022",5414,"EE008","EE008",283,"Tartu county"
"kambja vald","employees","2023",5465,"EE008","EE008",283,"Tartu county"
"kambja vald","employees","2024",5677,"EE008","EE008",283,"Tartu county"
"kambja vald","median_wage","2021",1221,"EE008","EE008",283,"Tartu county"
"kambja vald","median_wage","2022",1337,"EE008","EE008",283,"Tartu county"
"kambja vald","median_wage","2023",1500,"EE008","EE008",283,"Tartu county"
"kambja vald","median_wage","2024",1569,"EE008","EE008",283,"Tartu county"
"kambja vald","%change","2021",NA,"EE008","EE008",283,"Tartu county"
"kambja vald","%change","2022",10.1,"EE008","EE008",283,"Tartu county"
"kambja vald","%change","2023",10.7,"EE008","EE008",283,"Tartu county"
"kambja vald","%change","2024",6.2,"EE008","EE008",283,"Tartu county"
"kanepi vald","avg_wage","2021",1147,"EE008","EE008",284,"Põlva county"
"kanepi vald","avg_wage","2022",1262,"EE008","EE008",284,"Põlva county"
"kanepi vald","avg_wage","2023",1380,"EE008","EE008",284,"Põlva county"
"kanepi vald","avg_wage","2024",1470,"EE008","EE008",284,"Põlva county"
"kanepi vald","employees","2021",1244,"EE008","EE008",284,"Põlva county"
"kanepi vald","employees","2022",1239,"EE008","EE008",284,"Põlva county"
"kanepi vald","employees","2023",1233,"EE008","EE008",284,"Põlva county"
"kanepi vald","employees","2024",1213,"EE008","EE008",284,"Põlva county"
"kanepi vald","median_wage","2021",1025,"EE008","EE008",284,"Põlva county"
"kanepi vald","median_wage","2022",1133,"EE008","EE008",284,"Põlva county"
"kanepi vald","median_wage","2023",1220,"EE008","EE008",284,"Põlva county"
"kanepi vald","median_wage","2024",1314,"EE008","EE008",284,"Põlva county"
"kanepi vald","%change","2021",NA,"EE008","EE008",284,"Põlva county"
"kanepi vald","%change","2022",10,"EE008","EE008",284,"Põlva county"
"kanepi vald","%change","2023",9.3,"EE008","EE008",284,"Põlva county"
"kanepi vald","%change","2024",6.6,"EE008","EE008",284,"Põlva county"
"kastre vald","avg_wage","2021",1219,"EE008","EE008",291,"Tartu county"
"kastre vald","avg_wage","2022",1379,"EE008","EE008",291,"Tartu county"
"kastre vald","avg_wage","2023",1541,"EE008","EE008",291,"Tartu county"
"kastre vald","avg_wage","2024",1590,"EE008","EE008",291,"Tartu county"
"kastre vald","employees","2021",1148,"EE008","EE008",291,"Tartu county"
"kastre vald","employees","2022",1184,"EE008","EE008",291,"Tartu county"
"kastre vald","employees","2023",1186,"EE008","EE008",291,"Tartu county"
"kastre vald","employees","2024",1270,"EE008","EE008",291,"Tartu county"
"kastre vald","median_wage","2021",1144,"EE008","EE008",291,"Tartu county"
"kastre vald","median_wage","2022",1288,"EE008","EE008",291,"Tartu county"
"kastre vald","median_wage","2023",1437,"EE008","EE008",291,"Tartu county"
"kastre vald","median_wage","2024",1494,"EE008","EE008",291,"Tartu county"
"kastre vald","%change","2021",NA,"EE008","EE008",291,"Tartu county"
"kastre vald","%change","2022",13.1,"EE008","EE008",291,"Tartu county"
"kastre vald","%change","2023",11.7,"EE008","EE008",291,"Tartu county"
"kastre vald","%change","2024",3.2,"EE008","EE008",291,"Tartu county"
"kehtna vald","avg_wage","2021",1274,"EE009","EE006",293,"Rapla county"
"kehtna vald","avg_wage","2022",1391,"EE009","EE006",293,"Rapla county"
"kehtna vald","avg_wage","2023",1564,"EE009","EE006",293,"Rapla county"
"kehtna vald","avg_wage","2024",1674,"EE009","EE006",293,"Rapla county"
"kehtna vald","employees","2021",1485,"EE009","EE006",293,"Rapla county"
"kehtna vald","employees","2022",1493,"EE009","EE006",293,"Rapla county"
"kehtna vald","employees","2023",1405,"EE009","EE006",293,"Rapla county"
"kehtna vald","employees","2024",1400,"EE009","EE006",293,"Rapla county"
"kehtna vald","median_wage","2021",1088,"EE009","EE006",293,"Rapla county"
"kehtna vald","median_wage","2022",1173,"EE009","EE006",293,"Rapla county"
"kehtna vald","median_wage","2023",1335,"EE009","EE006",293,"Rapla county"
"kehtna vald","median_wage","2024",1453,"EE009","EE006",293,"Rapla county"
"kehtna vald","%change","2021",NA,"EE009","EE006",293,"Rapla county"
"kehtna vald","%change","2022",9.1,"EE009","EE006",293,"Rapla county"
"kehtna vald","%change","2023",12.5,"EE009","EE006",293,"Rapla county"
"kehtna vald","%change","2024",7.1,"EE009","EE006",293,"Rapla county"
"keila linn","avg_wage","2021",1341,"EE001","EE001",296,"Harju county"
"keila linn","avg_wage","2022",1469,"EE001","EE001",296,"Harju county"
"keila linn","avg_wage","2023",1597,"EE001","EE001",296,"Harju county"
"keila linn","avg_wage","2024",1785,"EE001","EE001",296,"Harju county"
"keila linn","employees","2021",4389,"EE001","EE001",296,"Harju county"
"keila linn","employees","2022",4620,"EE001","EE001",296,"Harju county"
"keila linn","employees","2023",4350,"EE001","EE001",296,"Harju county"
"keila linn","employees","2024",4181,"EE001","EE001",296,"Harju county"
"keila linn","median_wage","2021",1166,"EE001","EE001",296,"Harju county"
"keila linn","median_wage","2022",1262,"EE001","EE001",296,"Harju county"
"keila linn","median_wage","2023",1352,"EE001","EE001",296,"Harju county"
"keila linn","median_wage","2024",1490,"EE001","EE001",296,"Harju county"
"keila linn","%change","2021",NA,"EE001","EE001",296,"Harju county"
