"nuts","year","indicator","value","level"
"284",2021,"avg_gross_wage",1147,"laucode"
"284",2022,"avg_gross_wage",1262,"laucode"
"284",2023,"avg_gross_wage",1380,"laucode"
"284",2024,"avg_gross_wage",1470,"laucode"
"291",2000,"avg_gross_wage",272.193393559017,"laucode"
"291",2001,"avg_gross_wage",313.269378451399,"laucode"
"291",2002,"avg_gross_wage",359.544855102312,"laucode"
"291",2003,"avg_gross_wage",397.761119527503,"laucode"
"291",2004,"avg_gross_wage",439.877002771592,"laucode"
"291",2005,"avg_gross_wage",503.310802225651,"laucode"
"291",2006,"avg_gross_wage",602.361120225637,"laucode"
"291",2007,"avg_gross_wage",738.847778887035,"laucode"
"291",2008,"avg_gross_wage",838.158071474948,"laucode"
"291",2009,"avg_gross_wage",775.504195784668,"laucode"
"291",2010,"avg_gross_wage",798.90190869805,"laucode"
"291",2011,"avg_gross_wage",831.658706776786,"laucode"
"291",2012,"avg_gross_wage",865.97535238308,"laucode"
"291",2013,"avg_gross_wage",945.007627112728,"laucode"
"291",2014,"avg_gross_wage",1006.10165527545,"laucode"
"291",2015,"avg_gross_wage",1081.2343111862,"laucode"
"291",2016,"avg_gross_wage",1190.16366352739,"laucode"
"291",2017,"avg_gross_wage",1258.79695473998,"laucode"
"291",2018,"avg_gross_wage",1345.10851793157,"laucode"
"291",2021,"avg_gross_wage",1219,"laucode"
"291",2022,"avg_gross_wage",1379,"laucode"
"291",2023,"avg_gross_wage",1541,"laucode"
"291",2024,"avg_gross_wage",1590,"laucode"
"293",2000,"avg_gross_wage",291.169891906611,"laucode"
"293",2001,"avg_gross_wage",308.205034097367,"laucode"
"293",2002,"avg_gross_wage",335.199182491949,"laucode"
"293",2003,"avg_gross_wage",369.531545984088,"laucode"
"293",2004,"avg_gross_wage",385.780450842963,"laucode"
"293",2005,"avg_gross_wage",446.058646287176,"laucode"
"293",2006,"avg_gross_wage",509.219711948286,"laucode"
"293",2007,"avg_gross_wage",617.982542858496,"laucode"
"293",2008,"avg_gross_wage",721.503791556166,"laucode"
"293",2009,"avg_gross_wage",668.825890320137,"laucode"
"293",2010,"avg_gross_wage",625.844916177306,"laucode"
"293",2011,"avg_gross_wage",693.723405829703,"laucode"
"293",2012,"avg_gross_wage",705.779044918545,"laucode"
"293",2013,"avg_gross_wage",783.092382553514,"laucode"
"293",2014,"avg_gross_wage",842.846419776473,"laucode"
"293",2015,"avg_gross_wage",920.159757411442,"laucode"
"293",2016,"avg_gross_wage",969.954788430574,"laucode"
"293",2017,"avg_gross_wage",1080.55217311517,"laucode"
"293",2018,"avg_gross_wage",1201.63272222485,"laucode"
"293",2021,"avg_gross_wage",1274,"laucode"
"293",2022,"avg_gross_wage",1391,"laucode"
"293",2023,"avg_gross_wage",1564,"laucode"
"293",2024,"avg_gross_wage",1674,"laucode"
"296",2000,"avg_gross_wage",373.488653012408,"laucode"
"296",2001,"avg_gross_wage",417.675347585588,"laucode"
"296",2002,"avg_gross_wage",466.799103004933,"laucode"
"296",2003,"avg_gross_wage",508.764120197339,"laucode"
"296",2004,"avg_gross_wage",540.114456570489,"laucode"
"296",2005,"avg_gross_wage",586.029122439827,"laucode"
"296",2006,"avg_gross_wage",679.092719390043,"laucode"
"296",2007,"avg_gross_wage",806.962595305726,"laucode"
"296",2008,"avg_gross_wage",905.210106144416,"laucode"
"296",2009,"avg_gross_wage",869.663268052026,"laucode"
"296",2010,"avg_gross_wage",869.910121094334,"laucode"
"296",2011,"avg_gross_wage",923.970937359844,"laucode"
"296",2012,"avg_gross_wage",978.77231275228,"laucode"
"296",2013,"avg_gross_wage",1057.27158020631,"laucode"
"296",2014,"avg_gross_wage",1109.85127821797,"laucode"
"296",2015,"avg_gross_wage",1164.89950665271,"laucode"
"296",2016,"avg_gross_wage",1246.85471669906,"laucode"
"296",2017,"avg_gross_wage",1332.01901629541,"laucode"
"296",2018,"avg_gross_wage",1436.93155927642,"laucode"
"296",2021,"avg_gross_wage",1341,"laucode"
"296",2022,"avg_gross_wage",1469,"laucode"
"296",2023,"avg_gross_wage",1597,"laucode"
"296",2024,"avg_gross_wage",1785,"laucode"
"303",2000,"avg_gross_wage",275.252826034423,"laucode"
"303",2001,"avg_gross_wage",299.765137072739,"laucode"
"303",2002,"avg_gross_wage",324.277448111054,"laucode"
"303",2003,"avg_gross_wage",363.088607255055,"laucode"
"303",2004,"avg_gross_wage",387.345581720055,"laucode"
"303",2005,"avg_gross_wage",445.562320436055,"laucode"
"303",2006,"avg_gross_wage",516.801224391161,"laucode"
"303",2007,"avg_gross_wage",614.084458824477,"laucode"
"303",2008,"avg_gross_wage",719.538463603899,"laucode"
"303",2009,"avg_gross_wage",671.53518782053,"laucode"
"303",2010,"avg_gross_wage",708.814327524636,"laucode"
"303",2011,"avg_gross_wage",704.984278924899,"laucode"
"303",2012,"avg_gross_wage",760.392315334425,"laucode"
"303",2013,"avg_gross_wage",786.691982385952,"laucode"
"303",2014,"avg_gross_wage",841.078672502215,"laucode"
"303",2015,"avg_gross_wage",875.549109899847,"laucode"
"303",2016,"avg_gross_wage",940.915272668689,"laucode"
"303",2017,"avg_gross_wage",1021.8569664098,"laucode"
"303",2018,"avg_gross_wage",1085.18043659211,"laucode"
"303",2021,"avg_gross_wage",1157,"laucode"
"303",2022,"avg_gross_wage",1253,"laucode"
"303",2023,"avg_gross_wage",1506,"laucode"
"303",2024,"avg_gross_wage",1518,"laucode"
"304",2000,"avg_gross_wage",375.780734539293,"laucode"
"304",2001,"avg_gross_wage",420.238600687696,"laucode"
"304",2002,"avg_gross_wage",469.663826182289,"laucode"
"304",2003,"avg_gross_wage",511.886380624907,"laucode"
"304",2004,"avg_gross_wage",543.429112473215,"laucode"
"304",2005,"avg_gross_wage",589.625554392784,"laucode"
"304",2006,"avg_gross_wage",683.260278068471,"laucode"
"304",2007,"avg_gross_wage",811.914885134798,"laucode"
"304",2008,"avg_gross_wage",910.765336123985,"laucode"
"304",2009,"avg_gross_wage",875.000348831415,"laucode"
"304",2010,"avg_gross_wage",875.248716798724,"laucode"
"304",2011,"avg_gross_wage",929.641301639508,"laucode"
"304",2012,"avg_gross_wage",984.77899038222,"laucode"
"304",2013,"avg_gross_wage",1063.76000398664,"laucode"
"304",2014,"avg_gross_wage",1116.66238102357,"laucode"
"304",2015,"avg_gross_wage",1172.04843773359,"laucode"
"304",2016,"avg_gross_wage",1254.50660288035,"laucode"
"304",2017,"avg_gross_wage",1340.19355160213,"laucode"
"304",2018,"avg_gross_wage",1445.74993770868,"laucode"
"304",2021,"avg_gross_wage",1348,"laucode"
"304",2022,"avg_gross_wage",1511,"laucode"
"304",2023,"avg_gross_wage",1644,"laucode"
"304",2024,"avg_gross_wage",1727,"laucode"
"317",2000,"avg_gross_wage",293.833482311991,"laucode"
"317",2001,"avg_gross_wage",311.024460125024,"laucode"
"317",2002,"avg_gross_wage",338.265548044137,"laucode"
"317",2003,"avg_gross_wage",372.911980251942,"laucode"
"317",2004,"avg_gross_wage",389.309528319758,"laucode"
"317",2005,"avg_gross_wage",450.13914211972,"laucode"
