"nuts","year","variable","nuts2021","nuts2016","value","type"
247,2023,"ppm2_offer","EE008","EE008",492.22544774736,"all"
247,2024,"ppm2_offer","EE008","EE008",578.635973129311,"all"
247,2025,"ppm2_offer","EE008","EE008",609.610233855627,"all"
251,2007,"ppm2_offer","EE00A","EE007",541.515859970352,"all"
251,2008,"ppm2_offer","EE00A","EE007",529.556082932602,"all"
251,2009,"ppm2_offer","EE00A","EE007",411.865347587002,"all"
251,2010,"ppm2_offer","EE00A","EE007",379.673998425415,"all"
251,2011,"ppm2_offer","EE00A","EE007",355.559627168126,"all"
251,2012,"ppm2_offer","EE00A","EE007",349.842502533915,"all"
251,2013,"ppm2_offer","EE00A","EE007",371.931466385518,"all"
251,2014,"ppm2_offer","EE00A","EE007",383.797661441075,"all"
251,2015,"ppm2_offer","EE00A","EE007",383.182132576735,"all"
251,2016,"ppm2_offer","EE00A","EE007",425.793722893506,"all"
251,2017,"ppm2_offer","EE00A","EE007",434.950786350569,"all"
251,2018,"ppm2_offer","EE00A","EE007",463.510296404191,"all"
251,2019,"ppm2_offer","EE00A","EE007",474.727266059959,"all"
251,2020,"ppm2_offer","EE00A","EE007",497.629988349844,"all"
251,2021,"ppm2_offer","EE00A","EE007",485.418809444,"all"
251,2022,"ppm2_offer","EE00A","EE007",586.333253646613,"all"
251,2023,"ppm2_offer","EE00A","EE007",720.917695497813,"all"
251,2024,"ppm2_offer","EE00A","EE007",851.474570042152,"all"
251,2025,"ppm2_offer","EE00A","EE007",769.35319196612,"all"
255,2007,"ppm2_offer","EE009","EE006",535.372314475933,"all"
255,2008,"ppm2_offer","EE009","EE006",318.269224082715,"all"
255,2009,"ppm2_offer","EE009","EE006",272.814515466522,"all"
255,2010,"ppm2_offer","EE009","EE006",294.088185981973,"all"
255,2011,"ppm2_offer","EE009","EE006",257.94647380202,"all"
255,2012,"ppm2_offer","EE009","EE006",153.716707420074,"all"
255,2013,"ppm2_offer","EE009","EE006",152.070300324008,"all"
255,2014,"ppm2_offer","EE009","EE006",150.062585706457,"all"
255,2015,"ppm2_offer","EE009","EE006",154.121360216344,"all"
255,2016,"ppm2_offer","EE009","EE006",178.902603329274,"all"
255,2017,"ppm2_offer","EE009","EE006",207.259964696175,"all"
255,2018,"ppm2_offer","EE009","EE006",211.120998317414,"all"
255,2019,"ppm2_offer","EE009","EE006",175.937521436225,"all"
255,2020,"ppm2_offer","EE009","EE006",169.773308180002,"all"
255,2021,"ppm2_offer","EE009","EE006",174.023170367174,"all"
255,2022,"ppm2_offer","EE009","EE006",221.450209604586,"all"
255,2023,"ppm2_offer","EE009","EE006",391.238384218462,"all"
255,2024,"ppm2_offer","EE009","EE006",414.486853508448,"all"
255,2025,"ppm2_offer","EE009","EE006",394.972806205457,"all"
272,2007,"ppm2_offer","EE009","EE006",407.020979455941,"all"
272,2008,"ppm2_offer","EE009","EE006",505.690602072978,"all"
272,2009,"ppm2_offer","EE009","EE006",392.609564118417,"all"
272,2010,"ppm2_offer","EE009","EE006",290.829827864681,"all"
272,2011,"ppm2_offer","EE009","EE006",270.367164798672,"all"
272,2012,"ppm2_offer","EE009","EE006",305.532871821588,"all"
272,2013,"ppm2_offer","EE009","EE006",322.290509296294,"all"
272,2014,"ppm2_offer","EE009","EE006",380.622536574032,"all"
272,2015,"ppm2_offer","EE009","EE006",342.902310479772,"all"
272,2016,"ppm2_offer","EE009","EE006",366.487162890612,"all"
272,2017,"ppm2_offer","EE009","EE006",390.547915619847,"all"
272,2018,"ppm2_offer","EE009","EE006",455.386142266694,"all"
272,2019,"ppm2_offer","EE009","EE006",394.51421887097,"all"
272,2020,"ppm2_offer","EE009","EE006",416.069765198881,"all"
272,2021,"ppm2_offer","EE009","EE006",433.040505852676,"all"
272,2022,"ppm2_offer","EE009","EE006",513.992997196064,"all"
272,2023,"ppm2_offer","EE009","EE006",858.619344126193,"all"
272,2024,"ppm2_offer","EE009","EE006",775.156704026567,"all"
272,2025,"ppm2_offer","EE009","EE006",745.660855126609,"all"
283,2007,"ppm2_offer","EE008","EE008",869.427291240201,"all"
283,2008,"ppm2_offer","EE008","EE008",833.186335682788,"all"
283,2009,"ppm2_offer","EE008","EE008",617.406477176846,"all"
283,2010,"ppm2_offer","EE008","EE008",573.836559892314,"all"
283,2011,"ppm2_offer","EE008","EE008",590.507027219896,"all"
283,2012,"ppm2_offer","EE008","EE008",626.677896227036,"all"
283,2013,"ppm2_offer","EE008","EE008",695.210582305525,"all"
