"Year","Object","Location of the object","Indicator","Quarter","value"
"2011","Real estate objects total","Lääne county","Number of transactions","1st quarter",189
"2011","Real estate objects total","Lääne county","Number of transactions","2nd quarter",283
"2011","Real estate objects total","Lääne county","Number of transactions","3rd quarter",298
"2011","Real estate objects total","Lääne county","Number of transactions","4th quarter",208
"2011","Real estate objects total","Lääne county","Value of transactions, euros","1st-4th quarters",19185800
"2011","Real estate objects total","Lääne county","Value of transactions, euros","1st quarter",3806902
"2011","Real estate objects total","Lääne county","Value of transactions, euros","2nd quarter",4808170
"2011","Real estate objects total","Lääne county","Value of transactions, euros","3rd quarter",6064610
"2011","Real estate objects total","Lääne county","Value of transactions, euros","4th quarter",4506118
"2011","Real estate objects total","Lääne-Viru county","Number of transactions","1st-4th quarters",1452
"2011","Real estate objects total","Lääne-Viru county","Number of transactions","1st quarter",282
"2011","Real estate objects total","Lääne-Viru county","Number of transactions","2nd quarter",383
"2011","Real estate objects total","Lääne-Viru county","Number of transactions","3rd quarter",361
"2011","Real estate objects total","Lääne-Viru county","Number of transactions","4th quarter",426
"2011","Real estate objects total","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",30405137
"2011","Real estate objects total","Lääne-Viru county","Value of transactions, euros","1st quarter",4806546
"2011","Real estate objects total","Lääne-Viru county","Value of transactions, euros","2nd quarter",8356116
"2011","Real estate objects total","Lääne-Viru county","Value of transactions, euros","3rd quarter",7260802
"2011","Real estate objects total","Lääne-Viru county","Value of transactions, euros","4th quarter",9981673
"2011","Real estate objects total","Põlva county","Number of transactions","1st-4th quarters",863
"2011","Real estate objects total","Põlva county","Number of transactions","1st quarter",153
"2011","Real estate objects total","Põlva county","Number of transactions","2nd quarter",237
"2011","Real estate objects total","Põlva county","Number of transactions","3rd quarter",241
"2011","Real estate objects total","Põlva county","Number of transactions","4th quarter",232
"2011","Real estate objects total","Põlva county","Value of transactions, euros","1st-4th quarters",14184251
"2011","Real estate objects total","Põlva county","Value of transactions, euros","1st quarter",2358036
"2011","Real estate objects total","Põlva county","Value of transactions, euros","2nd quarter",4614743
"2011","Real estate objects total","Põlva county","Value of transactions, euros","3rd quarter",3484976
"2011","Real estate objects total","Põlva county","Value of transactions, euros","4th quarter",3726496
"2011","Real estate objects total","Pärnu county","Number of transactions","1st-4th quarters",2152
"2011","Real estate objects total","Pärnu county","Number of transactions","1st quarter",453
"2011","Real estate objects total","Pärnu county","Number of transactions","2nd quarter",520
"2011","Real estate objects total","Pärnu county","Number of transactions","3rd quarter",554
"2011","Real estate objects total","Pärnu county","Number of transactions","4th quarter",625
"2011","Real estate objects total","Pärnu county","Value of transactions, euros","1st-4th quarters",61723550
"2011","Real estate objects total","Pärnu county","Value of transactions, euros","1st quarter",11901767
"2011","Real estate objects total","Pärnu county","Value of transactions, euros","2nd quarter",13859430
"2011","Real estate objects total","Pärnu county","Value of transactions, euros","3rd quarter",16469644
"2011","Real estate objects total","Pärnu county","Value of transactions, euros","4th quarter",19492709
"2011","Real estate objects total","Pärnu","Number of transactions","1st-4th quarters",703
"2011","Real estate objects total","Pärnu","Number of transactions","1st quarter",134
"2011","Real estate objects total","Pärnu","Number of transactions","2nd quarter",189
"2011","Real estate objects total","Pärnu","Number of transactions","3rd quarter",199
"2011","Real estate objects total","Pärnu","Number of transactions","4th quarter",181
"2011","Real estate objects total","Pärnu","Value of transactions, euros","1st-4th quarters",32024691
"2011","Real estate objects total","Pärnu","Value of transactions, euros","1st quarter",5718346
"2011","Real estate objects total","Pärnu","Value of transactions, euros","2nd quarter",7580214
"2011","Real estate objects total","Pärnu","Value of transactions, euros","3rd quarter",9511970
"2011","Real estate objects total","Pärnu","Value of transactions, euros","4th quarter",9214161
"2011","Real estate objects total","Rapla county","Number of transactions","1st-4th quarters",907
"2011","Real estate objects total","Rapla county","Number of transactions","1st quarter",137
"2011","Real estate objects total","Rapla county","Number of transactions","2nd quarter",223
"2011","Real estate objects total","Rapla county","Number of transactions","3rd quarter",266
"2011","Real estate objects total","Rapla county","Number of transactions","4th quarter",281
"2011","Real estate objects total","Rapla county","Value of transactions, euros","1st-4th quarters",24564149
"2011","Real estate objects total","Rapla county","Value of transactions, euros","1st quarter",5844806
"2011","Real estate objects total","Rapla county","Value of transactions, euros","2nd quarter",4976233
"2011","Real estate objects total","Rapla county","Value of transactions, euros","3rd quarter",5718198
"2011","Real estate objects total","Rapla county","Value of transactions, euros","4th quarter",8024912
"2011","Real estate objects total","Saare county","Number of transactions","1st-4th quarters",1869
"2011","Real estate objects total","Saare county","Number of transactions","1st quarter",523
"2011","Real estate objects total","Saare county","Number of transactions","2nd quarter",432
"2011","Real estate objects total","Saare county","Number of transactions","3rd quarter",434
"2011","Real estate objects total","Saare county","Number of transactions","4th quarter",480
"2011","Real estate objects total","Saare county","Value of transactions, euros","1st-4th quarters",33015844
"2011","Real estate objects total","Saare county","Value of transactions, euros","1st quarter",6606271
"2011","Real estate objects total","Saare county","Value of transactions, euros","2nd quarter",8833716
"2011","Real estate objects total","Saare county","Value of transactions, euros","3rd quarter",8535366
"2011","Real estate objects total","Saare county","Value of transactions, euros","4th quarter",9040491
"2011","Real estate objects total","Tartu county","Number of transactions","1st-4th quarters",2976
"2011","Real estate objects total","Tartu county","Number of transactions","1st quarter",546
"2011","Real estate objects total","Tartu county","Number of transactions","2nd quarter",762
"2011","Real estate objects total","Tartu county","Number of transactions","3rd quarter",829
"2011","Real estate objects total","Tartu county","Number of transactions","4th quarter",839
"2011","Real estate objects total","Tartu county","Value of transactions, euros","1st-4th quarters",134766589
"2011","Real estate objects total","Tartu county","Value of transactions, euros","1st quarter",25712599
"2011","Real estate objects total","Tartu county","Value of transactions, euros","2nd quarter",34015689
"2011","Real estate objects total","Tartu county","Value of transactions, euros","3rd quarter",35664353
"2011","Real estate objects total","Tartu county","Value of transactions, euros","4th quarter",39373948
"2011","Real estate objects total","Tartu","Number of transactions","1st-4th quarters",1549
"2011","Real estate objects total","Tartu","Number of transactions","1st quarter",269
"2011","Real estate objects total","Tartu","Number of transactions","2nd quarter",417
"2011","Real estate objects total","Tartu","Number of transactions","3rd quarter",441
"2011","Real estate objects total","Tartu","Number of transactions","4th quarter",422
"2011","Real estate objects total","Tartu","Value of transactions, euros","1st-4th quarters",90549757
"2011","Real estate objects total","Tartu","Value of transactions, euros","1st quarter",17806484
"2011","Real estate objects total","Tartu","Value of transactions, euros","2nd quarter",24253682
"2011","Real estate objects total","Tartu","Value of transactions, euros","3rd quarter",22855275
"2011","Real estate objects total","Tartu","Value of transactions, euros","4th quarter",25634316
"2011","Real estate objects total","Valga county","Number of transactions","1st-4th quarters",726
"2011","Real estate objects total","Valga county","Number of transactions","1st quarter",137
"2011","Real estate objects total","Valga county","Number of transactions","2nd quarter",205
"2011","Real estate objects total","Valga county","Number of transactions","3rd quarter",180
"2011","Real estate objects total","Valga county","Number of transactions","4th quarter",204
"2011","Real estate objects total","Valga county","Value of transactions, euros","1st-4th quarters",16579417
"2011","Real estate objects total","Valga county","Value of transactions, euros","1st quarter",2405984
"2011","Real estate objects total","Valga county","Value of transactions, euros","2nd quarter",3533563
"2011","Real estate objects total","Valga county","Value of transactions, euros","3rd quarter",4520709
"2011","Real estate objects total","Valga county","Value of transactions, euros","4th quarter",6119161
"2011","Real estate objects total","Viljandi county","Number of transactions","1st-4th quarters",1205
"2011","Real estate objects total","Viljandi county","Number of transactions","1st quarter",233
"2011","Real estate objects total","Viljandi county","Number of transactions","2nd quarter",266
"2011","Real estate objects total","Viljandi county","Number of transactions","3rd quarter",265
"2011","Real estate objects total","Viljandi county","Number of transactions","4th quarter",441
"2011","Real estate objects total","Viljandi county","Value of transactions, euros","1st-4th quarters",26746154
"2011","Real estate objects total","Viljandi county","Value of transactions, euros","1st quarter",5349086
"2011","Real estate objects total","Viljandi county","Value of transactions, euros","2nd quarter",5756430
"2011","Real estate objects total","Viljandi county","Value of transactions, euros","3rd quarter",6094997
"2011","Real estate objects total","Viljandi county","Value of transactions, euros","4th quarter",9545641
"2011","Real estate objects total","Võru county","Number of transactions","1st-4th quarters",814
"2011","Real estate objects total","Võru county","Number of transactions","1st quarter",125
"2011","Real estate objects total","Võru county","Number of transactions","2nd quarter",230
"2011","Real estate objects total","Võru county","Number of transactions","3rd quarter",208
"2011","Real estate objects total","Võru county","Number of transactions","4th quarter",251
"2011","Real estate objects total","Võru county","Value of transactions, euros","1st-4th quarters",19488453
"2011","Real estate objects total","Võru county","Value of transactions, euros","1st quarter",2539845
"2011","Real estate objects total","Võru county","Value of transactions, euros","2nd quarter",4063362
"2011","Real estate objects total","Võru county","Value of transactions, euros","3rd quarter",3709629
"2011","Real estate objects total","Võru county","Value of transactions, euros","4th quarter",9175617
"2011","Unimproved registered immovables","Whole country","Number of transactions","1st-4th quarters",10450
"2011","Unimproved registered immovables","Whole country","Number of transactions","1st quarter",2069
"2011","Unimproved registered immovables","Whole country","Number of transactions","2nd quarter",2856
"2011","Unimproved registered immovables","Whole country","Number of transactions","3rd quarter",2405
"2011","Unimproved registered immovables","Whole country","Number of transactions","4th quarter",3120
"2011","Unimproved registered immovables","Whole country","Value of transactions, euros","1st-4th quarters",249957719
"2011","Unimproved registered immovables","Whole country","Value of transactions, euros","1st quarter",53271540
"2011","Unimproved registered immovables","Whole country","Value of transactions, euros","2nd quarter",68231219
"2011","Unimproved registered immovables","Whole country","Value of transactions, euros","3rd quarter",54105895
"2011","Unimproved registered immovables","Whole country","Value of transactions, euros","4th quarter",74349065
"2011","Unimproved registered immovables","Harju county","Number of transactions","1st-4th quarters",1963
"2011","Unimproved registered immovables","Harju county","Number of transactions","1st quarter",409
"2011","Unimproved registered immovables","Harju county","Number of transactions","2nd quarter",675
"2011","Unimproved registered immovables","Harju county","Number of transactions","3rd quarter",366
"2011","Unimproved registered immovables","Harju county","Number of transactions","4th quarter",513
"2011","Unimproved registered immovables","Harju county","Value of transactions, euros","1st-4th quarters",105359066
"2011","Unimproved registered immovables","Harju county","Value of transactions, euros","1st quarter",27129954
"2011","Unimproved registered immovables","Harju county","Value of transactions, euros","2nd quarter",30614791
"2011","Unimproved registered immovables","Harju county","Value of transactions, euros","3rd quarter",20387450
"2011","Unimproved registered immovables","Harju county","Value of transactions, euros","4th quarter",27226871
"2011","Unimproved registered immovables","..Tallinn","Number of transactions","1st-4th quarters",265
"2011","Unimproved registered immovables","..Tallinn","Number of transactions","1st quarter",64
"2011","Unimproved registered immovables","..Tallinn","Number of transactions","2nd quarter",61
"2011","Unimproved registered immovables","..Tallinn","Number of transactions","3rd quarter",59
"2011","Unimproved registered immovables","..Tallinn","Number of transactions","4th quarter",81
"2011","Unimproved registered immovables","..Tallinn","Value of transactions, euros","1st-4th quarters",39602193
"2011","Unimproved registered immovables","..Tallinn","Value of transactions, euros","1st quarter",15532909
"2011","Unimproved registered immovables","..Tallinn","Value of transactions, euros","2nd quarter",7085923
"2011","Unimproved registered immovables","..Tallinn","Value of transactions, euros","3rd quarter",5456330
"2011","Unimproved registered immovables","..Tallinn","Value of transactions, euros","4th quarter",11527031
"2011","Unimproved registered immovables","Hiiu county","Number of transactions","1st-4th quarters",281
"2011","Unimproved registered immovables","Hiiu county","Number of transactions","1st quarter",59
"2011","Unimproved registered immovables","Hiiu county","Number of transactions","2nd quarter",64
"2011","Unimproved registered immovables","Hiiu county","Number of transactions","3rd quarter",80
"2011","Unimproved registered immovables","Hiiu county","Number of transactions","4th quarter",78
"2011","Unimproved registered immovables","Hiiu county","Value of transactions, euros","1st-4th quarters",3834786
"2011","Unimproved registered immovables","Hiiu county","Value of transactions, euros","1st quarter",657372
"2011","Unimproved registered immovables","Hiiu county","Value of transactions, euros","2nd quarter",1005882
"2011","Unimproved registered immovables","Hiiu county","Value of transactions, euros","3rd quarter",1022090
"2011","Unimproved registered immovables","Hiiu county","Value of transactions, euros","4th quarter",1149442
"2011","Unimproved registered immovables","Ida-Viru county","Number of transactions","1st-4th quarters",494
"2011","Unimproved registered immovables","Ida-Viru county","Number of transactions","1st quarter",71
"2011","Unimproved registered immovables","Ida-Viru county","Number of transactions","2nd quarter",186
"2011","Unimproved registered immovables","Ida-Viru county","Number of transactions","3rd quarter",118
"2011","Unimproved registered immovables","Ida-Viru county","Number of transactions","4th quarter",119
"2011","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","1st-4th quarters",11751736
"2011","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","1st quarter",1110869
"2011","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","2nd quarter",5188145
"2011","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","3rd quarter",2691062
"2011","Unimproved registered immovables","Ida-Viru county","Value of transactions, euros","4th quarter",2761660
"2011","Unimproved registered immovables","Jõgeva county","Number of transactions","1st-4th quarters",661
"2011","Unimproved registered immovables","Jõgeva county","Number of transactions","1st quarter",93
"2011","Unimproved registered immovables","Jõgeva county","Number of transactions","2nd quarter",150
"2011","Unimproved registered immovables","Jõgeva county","Number of transactions","3rd quarter",169
"2011","Unimproved registered immovables","Jõgeva county","Number of transactions","4th quarter",249
"2011","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","1st-4th quarters",12204043
"2011","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","1st quarter",1813057
"2011","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","2nd quarter",2990261
"2011","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","3rd quarter",3055461
"2011","Unimproved registered immovables","Jõgeva county","Value of transactions, euros","4th quarter",4345264
"2011","Unimproved registered immovables","Järva county","Number of transactions","1st-4th quarters",569
"2011","Unimproved registered immovables","Järva county","Number of transactions","1st quarter",96
"2011","Unimproved registered immovables","Järva county","Number of transactions","2nd quarter",144
"2011","Unimproved registered immovables","Järva county","Number of transactions","3rd quarter",154
"2011","Unimproved registered immovables","Järva county","Number of transactions","4th quarter",175
"2011","Unimproved registered immovables","Järva county","Value of transactions, euros","1st-4th quarters",9011922
"2011","Unimproved registered immovables","Järva county","Value of transactions, euros","1st quarter",1337803
"2011","Unimproved registered immovables","Järva county","Value of transactions, euros","2nd quarter",2654540
"2011","Unimproved registered immovables","Järva county","Value of transactions, euros","3rd quarter",1920572
"2011","Unimproved registered immovables","Järva county","Value of transactions, euros","4th quarter",3099007
"2011","Unimproved registered immovables","Lääne county","Number of transactions","1st-4th quarters",627
"2011","Unimproved registered immovables","Lääne county","Number of transactions","1st quarter",118
"2011","Unimproved registered immovables","Lääne county","Number of transactions","2nd quarter",212
"2011","Unimproved registered immovables","Lääne county","Number of transactions","3rd quarter",191
"2011","Unimproved registered immovables","Lääne county","Number of transactions","4th quarter",106
"2011","Unimproved registered immovables","Lääne county","Value of transactions, euros","1st-4th quarters",9964464
"2011","Unimproved registered immovables","Lääne county","Value of transactions, euros","1st quarter",1974147
"2011","Unimproved registered immovables","Lääne county","Value of transactions, euros","2nd quarter",3009858
"2011","Unimproved registered immovables","Lääne county","Value of transactions, euros","3rd quarter",3116877
"2011","Unimproved registered immovables","Lääne county","Value of transactions, euros","4th quarter",1863582
"2011","Unimproved registered immovables","Lääne-Viru county","Number of transactions","1st-4th quarters",648
"2011","Unimproved registered immovables","Lääne-Viru county","Number of transactions","1st quarter",126
"2011","Unimproved registered immovables","Lääne-Viru county","Number of transactions","2nd quarter",176
"2011","Unimproved registered immovables","Lääne-Viru county","Number of transactions","3rd quarter",131
"2011","Unimproved registered immovables","Lääne-Viru county","Number of transactions","4th quarter",215
"2011","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","1st-4th quarters",11272416
"2011","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","1st quarter",2015989
"2011","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","2nd quarter",3494720
"2011","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","3rd quarter",2014841
"2011","Unimproved registered immovables","Lääne-Viru county","Value of transactions, euros","4th quarter",3746866
"2011","Unimproved registered immovables","Põlva county","Number of transactions","1st-4th quarters",517
"2011","Unimproved registered immovables","Põlva county","Number of transactions","1st quarter",94
"2011","Unimproved registered immovables","Põlva county","Number of transactions","2nd quarter",158
"2011","Unimproved registered immovables","Põlva county","Number of transactions","3rd quarter",137
"2011","Unimproved registered immovables","Põlva county","Number of transactions","4th quarter",128
"2011","Unimproved registered immovables","Põlva county","Value of transactions, euros","1st-4th quarters",6894899
"2011","Unimproved registered immovables","Põlva county","Value of transactions, euros","1st quarter",1374502
"2011","Unimproved registered immovables","Põlva county","Value of transactions, euros","2nd quarter",1924172
"2011","Unimproved registered immovables","Põlva county","Value of transactions, euros","3rd quarter",1860381
"2011","Unimproved registered immovables","Põlva county","Value of transactions, euros","4th quarter",1735844
"2011","Unimproved registered immovables","Pärnu county","Number of transactions","1st-4th quarters",794
"2011","Unimproved registered immovables","Pärnu county","Number of transactions","1st quarter",130
"2011","Unimproved registered immovables","Pärnu county","Number of transactions","2nd quarter",173
"2011","Unimproved registered immovables","Pärnu county","Number of transactions","3rd quarter",202
"2011","Unimproved registered immovables","Pärnu county","Number of transactions","4th quarter",289
"2011","Unimproved registered immovables","Pärnu county","Value of transactions, euros","1st-4th quarters",14374470
"2011","Unimproved registered immovables","Pärnu county","Value of transactions, euros","1st quarter",2447149
"2011","Unimproved registered immovables","Pärnu county","Value of transactions, euros","2nd quarter",3255825
"2011","Unimproved registered immovables","Pärnu county","Value of transactions, euros","3rd quarter",2999762
"2011","Unimproved registered immovables","Pärnu county","Value of transactions, euros","4th quarter",5671734
"2011","Unimproved registered immovables","Pärnu","Number of transactions","1st-4th quarters",20
"2011","Unimproved registered immovables","Pärnu","Number of transactions","1st quarter",3
"2011","Unimproved registered immovables","Pärnu","Number of transactions","2nd quarter",4
"2011","Unimproved registered immovables","Pärnu","Number of transactions","3rd quarter",3
"2011","Unimproved registered immovables","Pärnu","Number of transactions","4th quarter",10
"2011","Unimproved registered immovables","Pärnu","Value of transactions, euros","1st-4th quarters",944051
"2011","Unimproved registered immovables","Pärnu","Value of transactions, euros","1st quarter",NA
"2011","Unimproved registered immovables","Pärnu","Value of transactions, euros","2nd quarter",NA
"2011","Unimproved registered immovables","Pärnu","Value of transactions, euros","3rd quarter",NA
"2011","Unimproved registered immovables","Pärnu","Value of transactions, euros","4th quarter",624458
"2011","Unimproved registered immovables","Rapla county","Number of transactions","1st-4th quarters",482
"2011","Unimproved registered immovables","Rapla county","Number of transactions","1st quarter",79
"2011","Unimproved registered immovables","Rapla county","Number of transactions","2nd quarter",108
"2011","Unimproved registered immovables","Rapla county","Number of transactions","3rd quarter",128
"2011","Unimproved registered immovables","Rapla county","Number of transactions","4th quarter",167
"2011","Unimproved registered immovables","Rapla county","Value of transactions, euros","1st-4th quarters",9754171
"2011","Unimproved registered immovables","Rapla county","Value of transactions, euros","1st quarter",1668356
"2011","Unimproved registered immovables","Rapla county","Value of transactions, euros","2nd quarter",1720508
"2011","Unimproved registered immovables","Rapla county","Value of transactions, euros","3rd quarter",2696127
"2011","Unimproved registered immovables","Rapla county","Value of transactions, euros","4th quarter",3669180
"2011","Unimproved registered immovables","Saare county","Number of transactions","1st-4th quarters",1420
"2011","Unimproved registered immovables","Saare county","Number of transactions","1st quarter",433
"2011","Unimproved registered immovables","Saare county","Number of transactions","2nd quarter",304
"2011","Unimproved registered immovables","Saare county","Number of transactions","3rd quarter",324
"2011","Unimproved registered immovables","Saare county","Number of transactions","4th quarter",359
"2011","Unimproved registered immovables","Saare county","Value of transactions, euros","1st-4th quarters",17282091
"2011","Unimproved registered immovables","Saare county","Value of transactions, euros","1st quarter",4111928
"2011","Unimproved registered immovables","Saare county","Value of transactions, euros","2nd quarter",3667515
"2011","Unimproved registered immovables","Saare county","Value of transactions, euros","3rd quarter",4881797
"2011","Unimproved registered immovables","Saare county","Value of transactions, euros","4th quarter",4620851
"2011","Unimproved registered immovables","Tartu county","Number of transactions","1st-4th quarters",713
"2011","Unimproved registered immovables","Tartu county","Number of transactions","1st quarter",146
"2011","Unimproved registered immovables","Tartu county","Number of transactions","2nd quarter",173
"2011","Unimproved registered immovables","Tartu county","Number of transactions","3rd quarter",153
"2011","Unimproved registered immovables","Tartu county","Number of transactions","4th quarter",241
"2011","Unimproved registered immovables","Tartu county","Value of transactions, euros","1st-4th quarters",14210706
"2011","Unimproved registered immovables","Tartu county","Value of transactions, euros","1st quarter",3464110
"2011","Unimproved registered immovables","Tartu county","Value of transactions, euros","2nd quarter",2891196
"2011","Unimproved registered immovables","Tartu county","Value of transactions, euros","3rd quarter",3106250
"2011","Unimproved registered immovables","Tartu county","Value of transactions, euros","4th quarter",4749150
"2011","Unimproved registered immovables","Tartu","Number of transactions","1st-4th quarters",55
"2011","Unimproved registered immovables","Tartu","Number of transactions","1st quarter",16
"2011","Unimproved registered immovables","Tartu","Number of transactions","2nd quarter",15
"2011","Unimproved registered immovables","Tartu","Number of transactions","3rd quarter",10
"2011","Unimproved registered immovables","Tartu","Number of transactions","4th quarter",14
"2011","Unimproved registered immovables","Tartu","Value of transactions, euros","1st-4th quarters",3767893
"2011","Unimproved registered immovables","Tartu","Value of transactions, euros","1st quarter",1518945
"2011","Unimproved registered immovables","Tartu","Value of transactions, euros","2nd quarter",658958
"2011","Unimproved registered immovables","Tartu","Value of transactions, euros","3rd quarter",1119892
"2011","Unimproved registered immovables","Tartu","Value of transactions, euros","4th quarter",470098
"2011","Unimproved registered immovables","Valga county","Number of transactions","1st-4th quarters",336
"2011","Unimproved registered immovables","Valga county","Number of transactions","1st quarter",60
"2011","Unimproved registered immovables","Valga county","Number of transactions","2nd quarter",105
"2011","Unimproved registered immovables","Valga county","Number of transactions","3rd quarter",70
"2011","Unimproved registered immovables","Valga county","Number of transactions","4th quarter",101
"2011","Unimproved registered immovables","Valga county","Value of transactions, euros","1st-4th quarters",5953216
"2011","Unimproved registered immovables","Valga county","Value of transactions, euros","1st quarter",887426
"2011","Unimproved registered immovables","Valga county","Value of transactions, euros","2nd quarter",1676424
"2011","Unimproved registered immovables","Valga county","Value of transactions, euros","3rd quarter",1223144
"2011","Unimproved registered immovables","Valga county","Value of transactions, euros","4th quarter",2166222
"2011","Unimproved registered immovables","Viljandi county","Number of transactions","1st-4th quarters",539
"2011","Unimproved registered immovables","Viljandi county","Number of transactions","1st quarter",94
"2011","Unimproved registered immovables","Viljandi county","Number of transactions","2nd quarter",105
"2011","Unimproved registered immovables","Viljandi county","Number of transactions","3rd quarter",83
"2011","Unimproved registered immovables","Viljandi county","Number of transactions","4th quarter",257
"2011","Unimproved registered immovables","Viljandi county","Value of transactions, euros","1st-4th quarters",9796167
"2011","Unimproved registered immovables","Viljandi county","Value of transactions, euros","1st quarter",1717740
"2011","Unimproved registered immovables","Viljandi county","Value of transactions, euros","2nd quarter",2029098
"2011","Unimproved registered immovables","Viljandi county","Value of transactions, euros","3rd quarter",1721734
"2011","Unimproved registered immovables","Viljandi county","Value of transactions, euros","4th quarter",4327595
"2011","Unimproved registered immovables","Võru county","Number of transactions","1st-4th quarters",406
"2011","Unimproved registered immovables","Võru county","Number of transactions","1st quarter",61
"2011","Unimproved registered immovables","Võru county","Number of transactions","2nd quarter",123
"2011","Unimproved registered immovables","Võru county","Number of transactions","3rd quarter",99
"2011","Unimproved registered immovables","Võru county","Number of transactions","4th quarter",123
"2011","Unimproved registered immovables","Võru county","Value of transactions, euros","1st-4th quarters",8293566
"2011","Unimproved registered immovables","Võru county","Value of transactions, euros","1st quarter",1561138
"2011","Unimproved registered immovables","Võru county","Value of transactions, euros","2nd quarter",2108284
"2011","Unimproved registered immovables","Võru county","Value of transactions, euros","3rd quarter",1408347
"2011","Unimproved registered immovables","Võru county","Value of transactions, euros","4th quarter",3215797
"2011","..forest land","Whole country","Number of transactions","1st-4th quarters",2484
"2011","..forest land","Whole country","Number of transactions","1st quarter",555
"2011","..forest land","Whole country","Number of transactions","2nd quarter",738
"2011","..forest land","Whole country","Number of transactions","3rd quarter",558
"2011","..forest land","Whole country","Number of transactions","4th quarter",633
"2011","..forest land","Whole country","Value of transactions, euros","1st-4th quarters",47620366
"2011","..forest land","Whole country","Value of transactions, euros","1st quarter",10224093
"2011","..forest land","Whole country","Value of transactions, euros","2nd quarter",12867644
"2011","..forest land","Whole country","Value of transactions, euros","3rd quarter",11538977
"2011","..forest land","Whole country","Value of transactions, euros","4th quarter",12989652
"2011","..forest land","Harju county","Number of transactions","1st-4th quarters",264
"2011","..forest land","Harju county","Number of transactions","1st quarter",68
"2011","..forest land","Harju county","Number of transactions","2nd quarter",98
"2011","..forest land","Harju county","Number of transactions","3rd quarter",45
"2011","..forest land","Harju county","Number of transactions","4th quarter",53
"2011","..forest land","Harju county","Value of transactions, euros","1st-4th quarters",5150401
"2011","..forest land","Harju county","Value of transactions, euros","1st quarter",1925579
"2011","..forest land","Harju county","Value of transactions, euros","2nd quarter",2452239
"2011","..forest land","Harju county","Value of transactions, euros","3rd quarter",NA
"2011","..forest land","Harju county","Value of transactions, euros","4th quarter",772583
"2011","..forest land","..Tallinn","Number of transactions","1st-4th quarters",0
"2011","..forest land","..Tallinn","Number of transactions","1st quarter",0
"2011","..forest land","..Tallinn","Number of transactions","2nd quarter",0
"2011","..forest land","..Tallinn","Number of transactions","3rd quarter",0
"2011","..forest land","..Tallinn","Number of transactions","4th quarter",0
"2011","..forest land","..Tallinn","Value of transactions, euros","1st-4th quarters",0
"2011","..forest land","..Tallinn","Value of transactions, euros","1st quarter",0
"2011","..forest land","..Tallinn","Value of transactions, euros","2nd quarter",0
"2011","..forest land","..Tallinn","Value of transactions, euros","3rd quarter",0
"2011","..forest land","..Tallinn","Value of transactions, euros","4th quarter",0
"2011","..forest land","Hiiu county","Number of transactions","1st-4th quarters",101
"2011","..forest land","Hiiu county","Number of transactions","1st quarter",16
"2011","..forest land","Hiiu county","Number of transactions","2nd quarter",21
"2011","..forest land","Hiiu county","Number of transactions","3rd quarter",39
"2011","..forest land","Hiiu county","Number of transactions","4th quarter",25
"2011","..forest land","Hiiu county","Value of transactions, euros","1st-4th quarters",1430052
"2011","..forest land","Hiiu county","Value of transactions, euros","1st quarter",144329
"2011","..forest land","Hiiu county","Value of transactions, euros","2nd quarter",201526
"2011","..forest land","Hiiu county","Value of transactions, euros","3rd quarter",519343
"2011","..forest land","Hiiu county","Value of transactions, euros","4th quarter",564854
"2011","..forest land","Ida-Viru county","Number of transactions","1st-4th quarters",162
"2011","..forest land","Ida-Viru county","Number of transactions","1st quarter",25
"2011","..forest land","Ida-Viru county","Number of transactions","2nd quarter",74
"2011","..forest land","Ida-Viru county","Number of transactions","3rd quarter",36
"2011","..forest land","Ida-Viru county","Number of transactions","4th quarter",27
"2011","..forest land","Ida-Viru county","Value of transactions, euros","1st-4th quarters",3323685
"2011","..forest land","Ida-Viru county","Value of transactions, euros","1st quarter",NA
"2011","..forest land","Ida-Viru county","Value of transactions, euros","2nd quarter",NA
"2011","..forest land","Ida-Viru county","Value of transactions, euros","3rd quarter",NA
"2011","..forest land","Ida-Viru county","Value of transactions, euros","4th quarter",644504
"2011","..forest land","Jõgeva county","Number of transactions","1st-4th quarters",162
"2011","..forest land","Jõgeva county","Number of transactions","1st quarter",31
"2011","..forest land","Jõgeva county","Number of transactions","2nd quarter",41
"2011","..forest land","Jõgeva county","Number of transactions","3rd quarter",35
"2011","..forest land","Jõgeva county","Number of transactions","4th quarter",55
"2011","..forest land","Jõgeva county","Value of transactions, euros","1st-4th quarters",2873609
"2011","..forest land","Jõgeva county","Value of transactions, euros","1st quarter",465765
"2011","..forest land","Jõgeva county","Value of transactions, euros","2nd quarter",765661
"2011","..forest land","Jõgeva county","Value of transactions, euros","3rd quarter",704147
"2011","..forest land","Jõgeva county","Value of transactions, euros","4th quarter",938036
