"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",9
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",656.4
"2003","2nd quarter","Lääne-Viru county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","2nd quarter","Lääne-Viru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","2nd quarter","Lääne-Viru county","Purchase-sale contracts of movable assets**","Number of contracts",144
"2003","2nd quarter","Lääne-Viru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",563.2
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of residential buildings**","Number of contracts",23
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",194.2
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of dwellings**","Number of contracts",100
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",218.5
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",21
"2003","2nd quarter","Lääne-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",150.5
"2003","2nd quarter","Põlva county","Purchase-sale contracts total","Number of contracts",190
"2003","2nd quarter","Põlva county","Purchase-sale contracts total","Value of contracts, thousand euros",1289.4
"2003","2nd quarter","Põlva county","Purchase-sale contracts of real estate","Number of contracts",139
"2003","2nd quarter","Põlva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",1190.2
"2003","2nd quarter","Põlva county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",57
"2003","2nd quarter","Põlva county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",376.6
"2003","2nd quarter","Põlva county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",37
"2003","2nd quarter","Põlva county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",483.4
"2003","2nd quarter","Põlva county","..purchase-sale contracts of ownership of dwellings","Number of contracts",39
"2003","2nd quarter","Põlva county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",115.4
"2003","2nd quarter","Põlva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",6
"2003","2nd quarter","Põlva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",214.7
"2003","2nd quarter","Põlva county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","2nd quarter","Põlva county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","2nd quarter","Põlva county","Purchase-sale contracts of movable assets**","Number of contracts",51
"2003","2nd quarter","Põlva county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",99.3
"2003","2nd quarter","Põlva county","..purchase-sale contracts of residential buildings**","Number of contracts",17
"2003","2nd quarter","Põlva county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",31.4
"2003","2nd quarter","Põlva county","..purchase-sale contracts of dwellings**","Number of contracts",25
"2003","2nd quarter","Põlva county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",32.1
"2003","2nd quarter","Põlva county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",9
"2003","2nd quarter","Põlva county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",35.7
"2003","2nd quarter","Pärnu county","Purchase-sale contracts total","Number of contracts",790
"2003","2nd quarter","Pärnu county","Purchase-sale contracts total","Value of contracts, thousand euros",22922.1
"2003","2nd quarter","Pärnu county","Purchase-sale contracts of real estate","Number of contracts",670
"2003","2nd quarter","Pärnu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",20709.9
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",180
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",5528.4
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",201
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",7141
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",271
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",6798.1
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",18
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",1242.4
"2003","2nd quarter","Pärnu county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","2nd quarter","Pärnu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","2nd quarter","Pärnu county","Purchase-sale contracts of movable assets**","Number of contracts",120
"2003","2nd quarter","Pärnu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",2212.2
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of residential buildings**","Number of contracts",35
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",508.4
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of dwellings**","Number of contracts",70
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",1036
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",15
"2003","2nd quarter","Pärnu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",667.7
"2003","2nd quarter","Rapla county","Purchase-sale contracts total","Number of contracts",382
"2003","2nd quarter","Rapla county","Purchase-sale contracts total","Value of contracts, thousand euros",5551.1
"2003","2nd quarter","Rapla county","Purchase-sale contracts of real estate","Number of contracts",301
"2003","2nd quarter","Rapla county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",4553.6
"2003","2nd quarter","Rapla county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",118
"2003","2nd quarter","Rapla county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1809
"2003","2nd quarter","Rapla county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",69
"2003","2nd quarter","Rapla county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1299
"2003","2nd quarter","Rapla county","..purchase-sale contracts of ownership of dwellings","Number of contracts",84
"2003","2nd quarter","Rapla county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1180.6
"2003","2nd quarter","Rapla county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",30
"2003","2nd quarter","Rapla county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",265
"2003","2nd quarter","Rapla county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","2nd quarter","Rapla county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","2nd quarter","Rapla county","Purchase-sale contracts of movable assets**","Number of contracts",81
"2003","2nd quarter","Rapla county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",997.5
"2003","2nd quarter","Rapla county","..purchase-sale contracts of residential buildings**","Number of contracts",35
"2003","2nd quarter","Rapla county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",485.6
"2003","2nd quarter","Rapla county","..purchase-sale contracts of dwellings**","Number of contracts",34
"2003","2nd quarter","Rapla county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",425.9
"2003","2nd quarter","Rapla county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",12
"2003","2nd quarter","Rapla county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",86
"2003","2nd quarter","Saare county","Purchase-sale contracts total","Number of contracts",169
"2003","2nd quarter","Saare county","Purchase-sale contracts total","Value of contracts, thousand euros",2234.1
"2003","2nd quarter","Saare county","Purchase-sale contracts of real estate","Number of contracts",135
"2003","2nd quarter","Saare county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",1946
"2003","2nd quarter","Saare county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",79
"2003","2nd quarter","Saare county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",874.3
"2003","2nd quarter","Saare county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",17
"2003","2nd quarter","Saare county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",314
"2003","2nd quarter","Saare county","..purchase-sale contracts of ownership of dwellings","Number of contracts",36
"2003","2nd quarter","Saare county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",654.5
"2003","2nd quarter","Saare county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",3
"2003","2nd quarter","Saare county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",103.2
"2003","2nd quarter","Saare county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","2nd quarter","Saare county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","2nd quarter","Saare county","Purchase-sale contracts of movable assets**","Number of contracts",34
"2003","2nd quarter","Saare county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",288
"2003","2nd quarter","Saare county","..purchase-sale contracts of residential buildings**","Number of contracts",13
"2003","2nd quarter","Saare county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",103
"2003","2nd quarter","Saare county","..purchase-sale contracts of dwellings**","Number of contracts",9
"2003","2nd quarter","Saare county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",22.1
"2003","2nd quarter","Saare county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",12
"2003","2nd quarter","Saare county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",163
"2003","2nd quarter","Tartu county","Purchase-sale contracts total","Number of contracts",1142
"2003","2nd quarter","Tartu county","Purchase-sale contracts total","Value of contracts, thousand euros",23582.8
"2003","2nd quarter","Tartu county","Purchase-sale contracts of real estate","Number of contracts",954
"2003","2nd quarter","Tartu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",20525.5
"2003","2nd quarter","Tartu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",174
"2003","2nd quarter","Tartu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1856.2
"2003","2nd quarter","Tartu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",186
"2003","2nd quarter","Tartu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",5330.1
"2003","2nd quarter","Tartu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",556
"2003","2nd quarter","Tartu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",10749.9
"2003","2nd quarter","Tartu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",38
"2003","2nd quarter","Tartu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",2589.3
"2003","2nd quarter","Tartu county","Purchase-sale contracts of right of superficies","Number of contracts",4
"2003","2nd quarter","Tartu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",202
"2003","2nd quarter","Tartu county","Purchase-sale contracts of movable assets**","Number of contracts",184
"2003","2nd quarter","Tartu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",2855.4
"2003","2nd quarter","Tartu county","..purchase-sale contracts of residential buildings**","Number of contracts",72
"2003","2nd quarter","Tartu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",1184.7
"2003","2nd quarter","Tartu county","..purchase-sale contracts of dwellings**","Number of contracts",83
"2003","2nd quarter","Tartu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",679.3
"2003","2nd quarter","Tartu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",29
"2003","2nd quarter","Tartu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",991.5
"2003","2nd quarter","Valga county","Purchase-sale contracts total","Number of contracts",344
"2003","2nd quarter","Valga county","Purchase-sale contracts total","Value of contracts, thousand euros",3040.3
"2003","2nd quarter","Valga county","Purchase-sale contracts of real estate","Number of contracts",264
"2003","2nd quarter","Valga county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",2603.1
"2003","2nd quarter","Valga county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",77
"2003","2nd quarter","Valga county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1074.7
"2003","2nd quarter","Valga county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",74
"2003","2nd quarter","Valga county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",923.9
"2003","2nd quarter","Valga county","..purchase-sale contracts of ownership of dwellings","Number of contracts",106
"2003","2nd quarter","Valga county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",537.8
"2003","2nd quarter","Valga county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",7
"2003","2nd quarter","Valga county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",66.7
"2003","2nd quarter","Valga county","Purchase-sale contracts of right of superficies","Number of contracts",1
"2003","2nd quarter","Valga county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",1.9
"2003","2nd quarter","Valga county","Purchase-sale contracts of movable assets**","Number of contracts",79
"2003","2nd quarter","Valga county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",435.2
"2003","2nd quarter","Valga county","..purchase-sale contracts of residential buildings**","Number of contracts",24
"2003","2nd quarter","Valga county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",319.9
"2003","2nd quarter","Valga county","..purchase-sale contracts of dwellings**","Number of contracts",46
"2003","2nd quarter","Valga county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",47.6
"2003","2nd quarter","Valga county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",9
"2003","2nd quarter","Valga county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",67.7
"2003","2nd quarter","Viljandi county","Purchase-sale contracts total","Number of contracts",422
"2003","2nd quarter","Viljandi county","Purchase-sale contracts total","Value of contracts, thousand euros",4962.7
"2003","2nd quarter","Viljandi county","Purchase-sale contracts of real estate","Number of contracts",339
"2003","2nd quarter","Viljandi county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",4360.1
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",73
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",1052.6
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",119
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1693.7
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of ownership of dwellings","Number of contracts",132
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",978.9
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",15
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",634.9
"2003","2nd quarter","Viljandi county","Purchase-sale contracts of right of superficies","Number of contracts",3
"2003","2nd quarter","Viljandi county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",27.2
"2003","2nd quarter","Viljandi county","Purchase-sale contracts of movable assets**","Number of contracts",80
"2003","2nd quarter","Viljandi county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",575.4
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of residential buildings**","Number of contracts",41
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",158.4
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of dwellings**","Number of contracts",24
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",100.9
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",15
"2003","2nd quarter","Viljandi county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",316
"2003","2nd quarter","Võru county","Purchase-sale contracts total","Number of contracts",350
"2003","2nd quarter","Võru county","Purchase-sale contracts total","Value of contracts, thousand euros",1477.6
"2003","2nd quarter","Võru county","Purchase-sale contracts of real estate","Number of contracts",262
"2003","2nd quarter","Võru county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",1331.7
"2003","2nd quarter","Võru county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",116
"2003","2nd quarter","Võru county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",645.5
"2003","2nd quarter","Võru county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",68
"2003","2nd quarter","Võru county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",383.8
"2003","2nd quarter","Võru county","..purchase-sale contracts of ownership of dwellings","Number of contracts",73
"2003","2nd quarter","Võru county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",298
"2003","2nd quarter","Võru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",5
"2003","2nd quarter","Võru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",4.5
"2003","2nd quarter","Võru county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","2nd quarter","Võru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","2nd quarter","Võru county","Purchase-sale contracts of movable assets**","Number of contracts",88
"2003","2nd quarter","Võru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",145.8
"2003","2nd quarter","Võru county","..purchase-sale contracts of residential buildings**","Number of contracts",26
"2003","2nd quarter","Võru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",24.9
"2003","2nd quarter","Võru county","..purchase-sale contracts of dwellings**","Number of contracts",36
"2003","2nd quarter","Võru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",68.6
"2003","2nd quarter","Võru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",26
"2003","2nd quarter","Võru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",52.3
"2003","3rd quarter","Whole country","Purchase-sale contracts total","Number of contracts",11989
"2003","3rd quarter","Whole country","Purchase-sale contracts total","Value of contracts, thousand euros",378317
"2003","3rd quarter","Whole country","Purchase-sale contracts of real estate","Number of contracts",9344
"2003","3rd quarter","Whole country","Purchase-sale contracts of real estate","Value of contracts, thousand euros",324099.7
"2003","3rd quarter","Whole country","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",2403
"2003","3rd quarter","Whole country","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",108335.8
"2003","3rd quarter","Whole country","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",1696
"2003","3rd quarter","Whole country","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",76294.1
"2003","3rd quarter","Whole country","..purchase-sale contracts of ownership of dwellings","Number of contracts",4851
"2003","3rd quarter","Whole country","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",121293.3
"2003","3rd quarter","Whole country","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",394
"2003","3rd quarter","Whole country","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",18176.5
"2003","3rd quarter","Whole country","Purchase-sale contracts of right of superficies","Number of contracts",37
"2003","3rd quarter","Whole country","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",3558.2
"2003","3rd quarter","Whole country","Purchase-sale contracts of movable assets**","Number of contracts",2608
"2003","3rd quarter","Whole country","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",50659.2
"2003","3rd quarter","Whole country","..purchase-sale contracts of residential buildings**","Number of contracts",543
"2003","3rd quarter","Whole country","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",8687.5
"2003","3rd quarter","Whole country","..purchase-sale contracts of dwellings**","Number of contracts",1698
"2003","3rd quarter","Whole country","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",22808.9
"2003","3rd quarter","Whole country","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",367
"2003","3rd quarter","Whole country","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",19162.8
"2003","3rd quarter","Harju county","Purchase-sale contracts total","Number of contracts",5059
"2003","3rd quarter","Harju county","Purchase-sale contracts total","Value of contracts, thousand euros",281646.6
"2003","3rd quarter","Harju county","Purchase-sale contracts of real estate","Number of contracts",3998
"2003","3rd quarter","Harju county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",237786.7
"2003","3rd quarter","Harju county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",949
"2003","3rd quarter","Harju county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",89855.3
"2003","3rd quarter","Harju county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",497
"2003","3rd quarter","Harju county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",51048.3
"2003","3rd quarter","Harju county","..purchase-sale contracts of ownership of dwellings","Number of contracts",2432
"2003","3rd quarter","Harju county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",86734.9
"2003","3rd quarter","Harju county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",120
"2003","3rd quarter","Harju county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",10148.1
"2003","3rd quarter","Harju county","Purchase-sale contracts of right of superficies","Number of contracts",27
"2003","3rd quarter","Harju county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",2908.6
"2003","3rd quarter","Harju county","Purchase-sale contracts of movable assets**","Number of contracts",1034
"2003","3rd quarter","Harju county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",40951.3
"2003","3rd quarter","Harju county","..purchase-sale contracts of residential buildings**","Number of contracts",134
"2003","3rd quarter","Harju county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",5934.8
"2003","3rd quarter","Harju county","..purchase-sale contracts of dwellings**","Number of contracts",780
"2003","3rd quarter","Harju county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",19249.7
"2003","3rd quarter","Harju county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",120
"2003","3rd quarter","Harju county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",15766.8
"2003","3rd quarter","Hiiu county","Purchase-sale contracts total","Number of contracts",77
"2003","3rd quarter","Hiiu county","Purchase-sale contracts total","Value of contracts, thousand euros",500.9
"2003","3rd quarter","Hiiu county","Purchase-sale contracts of real estate","Number of contracts",73
"2003","3rd quarter","Hiiu county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",483.2
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",42
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",180.8
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",10
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",91.6
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of ownership of dwellings","Number of contracts",13
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",46.7
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",8
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",164.1
"2003","3rd quarter","Hiiu county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2003","3rd quarter","Hiiu county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2003","3rd quarter","Hiiu county","Purchase-sale contracts of movable assets**","Number of contracts",4
"2003","3rd quarter","Hiiu county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",17.7
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of residential buildings**","Number of contracts",1
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",0.6
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of dwellings**","Number of contracts",2
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",13.5
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",1
"2003","3rd quarter","Hiiu county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",3.6
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts total","Number of contracts",1203
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts total","Value of contracts, thousand euros",7160.1
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts of real estate","Number of contracts",730
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",5132.7
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",71
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",842.9
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",122
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with residential buildings","Value of contracts, thousand euros",1843.3
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of ownership of dwellings","Number of contracts",498
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",1568.5
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",39
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",878
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts of right of superficies","Number of contracts",2
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",135.4
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts of movable assets**","Number of contracts",471
"2003","3rd quarter","Ida-Viru county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",1892.1
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of residential buildings**","Number of contracts",67
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",512.9
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of dwellings**","Number of contracts",353
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",820.5
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",51
"2003","3rd quarter","Ida-Viru county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",558.7
"2003","3rd quarter","Jõgeva county","Purchase-sale contracts total","Number of contracts",273
"2003","3rd quarter","Jõgeva county","Purchase-sale contracts total","Value of contracts, thousand euros",1588.3
"2003","3rd quarter","Jõgeva county","Purchase-sale contracts of real estate","Number of contracts",205
"2003","3rd quarter","Jõgeva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",1453.4
