"Year","Quarter","County","Type of purchase-sale contract","Indicator","value"
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of ownership of dwellings","Number of contracts",179
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of ownership of dwellings","Value of contracts, thousand euros",322.6
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Number of contracts",26
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of registered immovables with non-residential buildings (premises)","Value of contracts, thousand euros",378
"2001","Ascending total","Jõgeva county","Purchase-sale contracts of right of superficies","Number of contracts",0
"2001","Ascending total","Jõgeva county","Purchase-sale contracts of right of superficies","Value of contracts, thousand euros",0
"2001","Ascending total","Jõgeva county","Purchase-sale contracts of movable assets**","Number of contracts",325
"2001","Ascending total","Jõgeva county","Purchase-sale contracts of movable assets**","Value of contracts, thousand euros",712.2
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of residential buildings**","Number of contracts",83
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of residential buildings**","Value of contracts, thousand euros",242
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of dwellings**","Number of contracts",165
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of dwellings**","Value of contracts, thousand euros",134.8
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of non-residential buildings (premises)**","Number of contracts",77
"2001","Ascending total","Jõgeva county","..purchase-sale contracts of non-residential buildings (premises)**","Value of contracts, thousand euros",335.4
"2001","Ascending total","Järva county","Purchase-sale contracts total","Number of contracts",984
"2001","Ascending total","Järva county","Purchase-sale contracts total","Value of contracts, thousand euros",6640.1
"2001","Ascending total","Järva county","Purchase-sale contracts of real estate","Number of contracts",602
"2001","Ascending total","Järva county","Purchase-sale contracts of real estate","Value of contracts, thousand euros",5438.2
"2001","Ascending total","Järva county","..purchase-sale contracts of unimproved registered immovables*","Number of contracts",254
"2001","Ascending total","Järva county","..purchase-sale contracts of unimproved registered immovables*","Value of contracts, thousand euros",3441.5
"2001","Ascending total","Järva county","..purchase-sale contracts of registered immovables with residential buildings","Number of contracts",118
