nuts,year,type,indicator,value,level
EE_0191,2015,flat,ppm2,293,laucode
EE_0191,2015,house,ppm2,697,laucode
EE_0191,2016,all,ppm2,436,laucode
EE_0191,2016,flat,ppm2,325,laucode
EE_0191,2016,house,ppm2,561,laucode
EE_0191,2017,all,ppm2,527,laucode
EE_0191,2017,flat,ppm2,317,laucode
EE_0191,2017,house,ppm2,675,laucode
EE_0191,2018,all,ppm2,450,laucode
EE_0191,2018,flat,ppm2,384,laucode
EE_0191,2018,house,ppm2,526,laucode
EE_0191,2019,all,ppm2,693,laucode
EE_0191,2019,flat,ppm2,430,laucode
EE_0191,2019,house,ppm2,835,laucode
EE_0191,2020,all,ppm2,661,laucode
EE_0191,2020,flat,ppm2,436,laucode
EE_0191,2020,house,ppm2,837,laucode
EE_0191,2021,all,ppm2,709,laucode
EE_0191,2021,flat,ppm2,411,laucode
EE_0191,2021,house,ppm2,1086,laucode
EE_0191,2022,all,ppm2,803,laucode
EE_0191,2022,flat,ppm2,603,laucode
EE_0191,2022,house,ppm2,1026,laucode
EE_0191,2023,all,ppm2,879,laucode
EE_0191,2023,flat,ppm2,538,laucode
EE_0191,2023,house,ppm2,1697,laucode
EE_0191,2024,all,ppm2,888,laucode
EE_0191,2024,flat,ppm2,740,laucode
EE_0191,2024,house,ppm2,1002,laucode
EE_0191,2025,all,ppm2,1041,laucode
EE_0191,2025,flat,ppm2,825,laucode
EE_0191,2025,house,ppm2,1293,laucode
EE_0198,2005,all,ppm2,780,laucode
EE_0198,2005,flat,ppm2,793,laucode
EE_0198,2005,house,ppm2,669,laucode
EE_0198,2006,all,ppm2,1107,laucode
EE_0198,2006,flat,ppm2,1172,laucode
EE_0198,2006,house,ppm2,1002,laucode
EE_0198,2007,all,ppm2,1326,laucode
EE_0198,2007,flat,ppm2,1382,laucode
EE_0198,2007,house,ppm2,1188,laucode
EE_0198,2008,all,ppm2,1174,laucode
EE_0198,2008,flat,ppm2,1242,laucode
EE_0198,2008,house,ppm2,947,laucode
EE_0198,2009,all,ppm2,787,laucode
EE_0198,2009,flat,ppm2,822,laucode
EE_0198,2009,house,ppm2,704,laucode
EE_0198,2010,all,ppm2,757,laucode
EE_0198,2010,flat,ppm2,774,laucode
EE_0198,2010,house,ppm2,701,laucode
EE_0198,2011,all,ppm2,845,laucode
EE_0198,2011,flat,ppm2,844,laucode
