date_adscrape,date_adcreate,date_adadjust,idhref,type,postcode,city_name,ad_price,ad_price_fx,ad_fx,rooms,floor_m2,construct_year,price_m2,LAU_code,GEOnat_code,NUTS_code,isnew,plot_m2,ad_details,scraper
2018-11-27,,,15332155,flat,,Stockholm,1995000,199500,EUR,"1,5",34,1936,58676.4705882353,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-1,5rum-lilla-essingen-kungsholmen-stockholms-kommun-luxgatan-5-15332155",luca
2018-11-27,,,15332255,flat,,Upplands Väsby,1295000,129500,EUR,1,27,1966,47962.962962963,SE_0114,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-centralt-upplands-vasby-kommun-herrgardsvagen-29-15332255,luca
2018-11-27,,,15332335,flat,,Täby,2695000,269500,EUR,3,81,1962,33271.6049382716,SE_0160,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-grindtorp-taby-kommun-kometvagen-27-15332335,luca
2018-11-27,,,15331756,flat,,Botkyrka,2095000,209500,EUR,3,78.5,1971,26687.898089172,SE_0127,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-3rum-hallunda-botkyrka-kommun-tradesvagen-11,2tr-15331756",luca
2018-11-27,,,15332475,house,,Vaxholm,3500000,350000,EUR,4,80,1943,43750,SE_0187,,SE110,FALSE,,https://www.hemnet.se/bostad/radhus-4rum-vaxholm-centralt-vaxholms-kommun-larkvagen-6-15332475,luca
2018-11-27,,,15332415,flat,,Stockholm,2975000,297500,EUR,3,56,1943,53125,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-johanneshov-stockholms-kommun-lidkopingsvagen-19-15332415,luca
2018-11-27,,,15332315,flat,,Stockholm,3195000,319500,EUR,2,54,1951,59166.6666666667,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-tallkrogen-stockholms-kommun-hagervagen-19b-15332315,luca
2018-11-27,,,15332375,flat,,Stockholm,4950000,495000,EUR,2,73,1932,67808.2191780822,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-sodermalm-katarina-stockholms-kommun-gotgatan-90a,-5-tr-15332375",luca
2018-11-27,,,15331996,flat,,Stockholm,3295000,329500,EUR,2,50,1944,65900,SE_0180,,SE110,FALSE,,"https://www.hemnet.se/bostad/bostadsratt-2rum-kungsholmen-stockholms-kommun-lagerlofsgatan-4,-5-tr-15331996",luca
2018-11-27,,,15332036,flat,,Stockholm,2295000,229500,EUR,2,56,2011,40982.1428571429,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-bromma-stockholms-kommun-limonitvagen-6-15332036,luca
2018-11-27,,,15332215,house,,Stockholm,7350000,735000,EUR,5,103,1932,71359.2233009709,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-5rum-enskedefaltet-stockholms-kommun-revalsgatan-16-15332215,luca
2018-11-27,,,14838655,house,,Täby,7500000,750000,EUR,8,219,1976,34246.5753424658,SE_0160,,SE110,FALSE,,https://www.hemnet.se/bostad/villa-8rum-taby-kyrkby-taby-kommun-ingefasts-vag-27-14838655,luca
2018-11-27,,,15332995,flat,,Huddinge,1850000,185000,EUR,1,43,1956,43023.2558139535,SE_0126,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-1rum-huddinge-huddinge-kommun-lagmansvagen-29-15332995,luca
2018-11-27,,,15332935,flat,,Södertälje,1195000,119500,EUR,2,57.5,1954,20782.6086956522,SE_0181,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-mariekall-sodertalje-kommun-linnegatan-12-15332935,luca
2018-11-27,,,15332955,flat,,Stockholm,2475000,247500,EUR,2,53.5,1942,46261.6822429907,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-2rum-bromma-riksby-stockholms-kommun-kvarnbacksvagen-131-1tr-15332955,luca
2018-11-27,,,14882977,flat,,Stockholm,5395000,539500,EUR,3,70,1905,77071.4285714286,SE_0180,,SE110,FALSE,,https://www.hemnet.se/bostad/bostadsratt-3rum-katarina-sofia-stockholms-kommun-skanegatan-59-14882977,luca
2018-11-27,,,15329235,house,,Nacka,3725000,372500,EUR,4,105,1979,35476.1904761905,SE_0182,,SE110,FALSE,,https://www.hemnet.se/bostad/radhus-4rum-ostra-orminge-nacka-kommun-bjorkholmsvagen-97-15329235,luca
